type;from;to;direct;marker;constants;systemType
CC;cs+class://Gallio/Echo/EchoProgram;cs+class://Gallio/Runtime/ConsoleSupport/ConsoleProgram[1];True;False;False;True
CC;cs+class://Gallio/Icarus/AboutDialog;cs+class://System/Windows/Forms/Form;True;False;False;False
CI;cs+class://Gallio/Icarus/Annotations/AnnotationsPackage;cs+interface://Gallio/Icarus/IPackage;True;False;False;True
CC;cs+class://Gallio/Icarus/Annotations/AnnotationsWindow;cs+class://System/Windows/Forms/UserControl;True;False;False;False
CI;cs+class://Gallio/Icarus/Commands/AddFilesCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;True;False;False;True
CI;cs+class://Gallio/Icarus/Commands/ApplyFilterCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;True;False;False;True
CI;cs+class://Gallio/Icarus/Commands/CommandFactory;cs+interface://Gallio/Icarus/Commands/ICommandFactory;True;False;False;True
CI;cs+class://Gallio/Icarus/Commands/ConvertSavedReportCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;True;False;False;True
CI;cs+class://Gallio/Icarus/Commands/LoadPackageCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;True;False;False;True
CI;cs+class://Gallio/Icarus/Commands/DeleteAllReportsCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;True;False;False;True
CI;cs+class://Gallio/Icarus/Commands/DelegateCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;True;False;False;True
CI;cs+class://Gallio/Icarus/Commands/DeleteFilterCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;True;False;False;True
CI;cs+class://Gallio/Icarus/Commands/DeleteReportCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;True;False;False;True
CI;cs+class://Gallio/Icarus/Commands/GenerateReportCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;True;False;False;True
CI;cs+class://Gallio/Icarus/Commands/NewProjectCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;True;False;False;True
CI;cs+class://Gallio/Icarus/Commands/OpenProjectCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;True;False;False;True
CI;cs+class://Gallio/Icarus/Commands/OpenReportCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;True;False;False;True
CI;cs+class://Gallio/Icarus/Commands/RefreshTestTreeCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;True;False;False;True
CI;cs+class://Gallio/Icarus/Commands/ReloadCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;True;False;False;True
CC;cs+class://Gallio/Icarus/Controllers/ProgressEvent;cs+class://System/EventArgs;True;False;False;False
CC;cs+class://Gallio/Icarus/Controllers/SavingProject;cs+class://Gallio/UI/Events/Event;True;False;False;True
CC;cs+class://Gallio/Icarus/ControlPanel/ShutdownPane;cs+class://Gallio/UI/ControlPanel/Preferences/PreferencePane;True;False;False;True
CI;cs+class://Gallio/Icarus/ControlPanel/ShutdownPaneProvider;cs+interface://Gallio/UI/ControlPanel/Preferences/IPreferencePaneProvider;True;False;False;True
CC;cs+class://Gallio/Icarus/ControlPanel/ExecutionLogPane;cs+class://Gallio/UI/ControlPanel/Preferences/PreferencePane;True;False;False;True
CI;cs+class://Gallio/Icarus/ControlPanel/ExecutionLogPaneProvider;cs+interface://Gallio/UI/ControlPanel/Preferences/IPreferencePaneProvider;True;False;False;True
CC;cs+class://Gallio/Icarus/Events/OptionsChanged;cs+class://Gallio/UI/Events/Event;True;False;False;True
CI;cs+class://Gallio/Icarus/ExecutionLog/ExecutionLogController;cs+interface://Gallio/Icarus/ExecutionLog/IExecutionLogController;True;False;False;True
CI;cs+class://Gallio/Icarus/ExecutionLog/ExecutionLogController;cs+interface://Gallio/UI/Events/Handles[1];True;False;False;True
CI;cs+class://Gallio/Icarus/ExecutionLog/ExecutionLogPackage;cs+interface://Gallio/Icarus/IPackage;True;False;False;True
CC;cs+class://Gallio/Icarus/ExecutionLog/ExecutionLogWindow;cs+class://System/Windows/Forms/UserControl;True;False;False;False
CI;cs+class://Gallio/Icarus/Filters/FilterController;cs+interface://Gallio/Icarus/Filters/IFilterController;True;False;False;True
CI;cs+class://Gallio/Icarus/Filters/FiltersPackage;cs+interface://Gallio/Icarus/IPackage;True;False;False;True
CC;cs+class://Gallio/Icarus/Filters/FiltersView;cs+class://System/Windows/Forms/UserControl;True;False;False;False
CI;cs+class://Gallio/Icarus/Models/AlphanumComparatorFast;cs+interface://System/Collections/IComparer;True;False;False;False
CC;cs+class://Gallio/Icarus/ProjectExplorer/ProjectExplorerView;cs+class://System/Windows/Forms/UserControl;True;False;False;False
CI;cs+class://Gallio/Icarus/ProjectExplorer/ProjectExplorerPackage;cs+interface://Gallio/Icarus/IPackage;True;False;False;True
CI;cs+class://Gallio/Icarus/ProjectProperties/Controller;cs+interface://Gallio/Icarus/ProjectProperties/IController;True;False;False;True
CI;cs+class://Gallio/Icarus/ProjectProperties/Controller;cs+interface://Gallio/UI/Events/Handles[1];True;False;False;True
CI;cs+class://Gallio/Icarus/ProjectProperties/Model;cs+interface://Gallio/Icarus/ProjectProperties/IModel;True;False;False;True
CI;cs+class://Gallio/Icarus/ProjectProperties/Package;cs+interface://Gallio/Icarus/IPackage;True;False;False;True
CC;cs+class://Gallio/Icarus/ProjectProperties/View;cs+class://System/Windows/Forms/UserControl;True;False;False;False
CI;cs+class://Gallio/Icarus/ProjectProperties/View;cs+interface://Gallio/Icarus/ProjectProperties/IView;True;False;False;True
CI;cs+class://Gallio/Icarus/Projects/ProjectReloadPackage;cs+interface://Gallio/Icarus/IPackage;True;False;False;True
CI;cs+class://Gallio/Icarus/Projects/ProjectUserOptionsController;cs+interface://Gallio/Icarus/Projects/IProjectUserOptionsController;True;False;False;True
CI;cs+class://Gallio/Icarus/Projects/ProjectUserOptionsController;cs+interface://Gallio/UI/Events/Handles[1];True;False;False;True
CC;cs+class://Gallio/Icarus/Projects/UserOptionsLoaded;cs+class://Gallio/UI/Events/Event;True;False;False;True
