direct?;source;from;to;from declaration;to declaration
True;FieldAccess;cs+class://Gallio/Echo/EchoProgram;cs+class://Gallio/Runtime/ConsoleSupport/ConsoleProgram[1];ApplicationName;cs+class://Gallio/Echo/EchoProgram/(field initializer)
True;MethodCall;cs+class://Gallio/Echo/EchoProgram;cs+class://Gallio/Runtime/ConsoleSupport/ConsoleProgram[1];HandleFatalException;cs+class://Gallio/Echo/EchoProgram/HandleFatalException
True;MethodCall;cs+class://Gallio/Echo/EchoProgram;cs+class://Gallio/Runtime/ConsoleSupport/ConsoleProgram[1];ParseArguments;cs+class://Gallio/Echo/EchoProgram/RunImpl
True;FieldAccess;cs+class://Gallio/Echo/EchoProgram;cs+class://Gallio/Runtime/ConsoleSupport/ConsoleProgram[1];Arguments;cs+class://Gallio/Echo/EchoProgram/RunTests
True;FieldAccess;cs+class://Gallio/Echo/EchoProgram;cs+class://Gallio/Runtime/ConsoleSupport/ConsoleProgram[1];Console;cs+class://Gallio/Echo/EchoProgram/CreateLogger
True;FieldAccess;cs+class://Gallio/Echo/EchoProgram;cs+class://Gallio/Runtime/ConsoleSupport/ConsoleProgram[1];Console;cs+class://Gallio/Echo/EchoProgram/CreateProgressMonitorProvider
True;FieldAccess;cs+class://Gallio/Echo/EchoProgram;cs+class://Gallio/Runtime/ConsoleSupport/ConsoleProgram[1];ApplicationTitle;cs+class://Gallio/Echo/EchoProgram/ShowBanner
True;MethodCall;cs+class://Gallio/Echo/EchoProgram;cs+class://Gallio/Runtime/ConsoleSupport/ConsoleProgram[1];ShowHelp;cs+class://Gallio/Echo/EchoProgram/ShowHelp
True;FieldAccess;cs+class://Gallio/Echo/EchoProgram;cs+class://Gallio/Runtime/ConsoleSupport/ConsoleProgram[1];Arguments;cs+class://Gallio/Echo/EchoProgram/ShowHelp
True;MethodCall;cs+class://Gallio/Echo/EchoProgram;cs+class://Gallio/Runtime/ConsoleSupport/ConsoleProgram[1];Run;cs+class://Gallio/Echo/EchoProgram/Main
True;MethodCall;cs+class://Gallio/Icarus/AboutDialog;cs+class://System/Windows/Forms/Form;Close;cs+class://Gallio/Icarus/AboutDialog/buttonClose_Click
True;MethodCall;cs+class://Gallio/Icarus/AboutDialog;cs+class://System/Windows/Forms/Form;Dispose;cs+class://Gallio/Icarus/AboutDialog/Dispose
True;MethodCall;cs+class://Gallio/Icarus/AboutDialog;cs+class://System/Windows/Forms/Form;ClientSize;cs+class://Gallio/Icarus/AboutDialog/InitializeComponent
True;MethodCall;cs+class://Gallio/Icarus/AboutDialog;cs+class://System/Windows/Forms/Form;FormBorderStyle;cs+class://Gallio/Icarus/AboutDialog/InitializeComponent
True;MethodCall;cs+class://Gallio/Icarus/AboutDialog;cs+class://System/Windows/Forms/Form;MaximizeBox;cs+class://Gallio/Icarus/AboutDialog/InitializeComponent
True;MethodCall;cs+class://Gallio/Icarus/AboutDialog;cs+class://System/Windows/Forms/Form;MinimizeBox;cs+class://Gallio/Icarus/AboutDialog/InitializeComponent
True;MethodCall;cs+class://Gallio/Icarus/AboutDialog;cs+class://System/Windows/Forms/Form;ShowInTaskbar;cs+class://Gallio/Icarus/AboutDialog/InitializeComponent
True;MethodCall;cs+class://Gallio/Icarus/AboutDialog;cs+class://System/Windows/Forms/Form;StartPosition;cs+class://Gallio/Icarus/AboutDialog/InitializeComponent
True;MethodCall;cs+class://Gallio/Icarus/AboutDialog;cs+class://System/Windows/Forms/Form;Text;cs+class://Gallio/Icarus/AboutDialog/InitializeComponent
True;MethodCall;cs+class://Gallio/Icarus/Annotations/AnnotationsWindow;cs+class://System/Windows/Forms/UserControl;Text;cs+class://Gallio/Icarus/Annotations/AnnotationsWindow/InitializeComponent
False;MethodCall;cs+class://Gallio/Icarus/ControlPanel/ShutdownPane;cs+class://Gallio/UI/ControlPanel/Preferences/PreferencePane;ApplyPendingSettingsChanges;cs+class://Gallio/Icarus/ControlPanel/ShutdownPane/ApplyPendingSettingsChanges
False;FieldAccess;cs+class://Gallio/Icarus/ControlPanel/ShutdownPane;cs+class://Gallio/UI/ControlPanel/Preferences/PreferencePane;PendingSettingsChanges;cs+class://Gallio/Icarus/ControlPanel/ShutdownPane/autoSave_CheckedChanged
True;MethodCall;cs+class://Gallio/Icarus/ControlPanel/ShutdownPane;cs+class://Gallio/UI/ControlPanel/Preferences/PreferencePane;Dispose;cs+class://Gallio/Icarus/ControlPanel/ShutdownPane/Dispose
