direct?;source;from;to;from declaration
True;Return;cs+class://Gallio/Icarus/Commands/AddFilesCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;CreateAddFilesCommand in Gallio.Icarus.Commands.CommandFactory
True;Return;cs+class://Gallio/Icarus/Commands/ApplyFilterCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;CreateApplyFilterCommand in Gallio.Icarus.Commands.CommandFactory
True;Return;cs+class://Gallio/Icarus/Commands/ConvertSavedReportCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;CreateConvertSavedReportCommand in Gallio.Icarus.Commands.CommandFactory
True;Return;cs+class://Gallio/Icarus/Commands/LoadPackageCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;CreateLoadPackageCommand in Gallio.Icarus.Commands.CommandFactory
True;Parameter;cs+class://Gallio/Icarus/Commands/DelegateCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;Update in Gallio.Icarus.ExecutionLog.ExecutionLogController
True;Parameter;cs+class://Gallio/Icarus/Commands/DelegateCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;ChangeTreeCategory in Gallio.Icarus.TestExplorer.TestExplorerController
True;Return;cs+class://Gallio/Icarus/Commands/DeleteFilterCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;CreateDeleteFilterCommand in Gallio.Icarus.Commands.CommandFactory
True;Return;cs+class://Gallio/Icarus/Commands/DeleteReportCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;CreateDeleteReportCommand in Gallio.Icarus.Commands.CommandFactory
True;Return;cs+class://Gallio/Icarus/Commands/NewProjectCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;CreateNewProjectCommand in Gallio.Icarus.Commands.CommandFactory
True;Return;cs+class://Gallio/Icarus/Commands/OpenProjectCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;CreateOpenProjectCommand in Gallio.Icarus.Commands.CommandFactory
True;Return;cs+class://Gallio/Icarus/Commands/RefreshTestTreeCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;CreateRefreshTestTreeCommand in Gallio.Icarus.Commands.CommandFactory
True;Return;cs+class://Gallio/Icarus/Commands/ReloadCommand;cs+interface://Gallio/UI/ProgressMonitoring/ICommand;CreateReloadCommand in Gallio.Icarus.Commands.CommandFactory
True;Return;cs+class://Gallio/Icarus/ControlPanel/ShutdownPane;cs+class://Gallio/UI/ControlPanel/Preferences/PreferencePane;CreatePreferencePane in Gallio.Icarus.ControlPanel.ShutdownPaneProvider
False;ThisChangingType;cs+class://Gallio/Icarus/ControlPanel/ShutdownPane;cs+class://Gallio/UI/ControlPanel/Preferences/PreferencePane;OnPendingSettingsChangesChanged in Gallio.UI.ControlPanel.SettingsEditor
False;ThisChangingType;cs+class://Gallio/Icarus/ControlPanel/ShutdownPane;cs+class://Gallio/UI/ControlPanel/Preferences/PreferencePane;OnRequiresElevationChanged in Gallio.UI.ControlPanel.SettingsEditor
True;Return;cs+class://Gallio/Icarus/ControlPanel/ExecutionLogPane;cs+class://Gallio/UI/ControlPanel/Preferences/PreferencePane;CreatePreferencePane in Gallio.Icarus.ControlPanel.ExecutionLogPaneProvider
False;ThisChangingType;cs+class://Gallio/Icarus/ControlPanel/ExecutionLogPane;cs+class://Gallio/UI/ControlPanel/Preferences/PreferencePane;OnPendingSettingsChangesChanged in Gallio.UI.ControlPanel.SettingsEditor
False;ThisChangingType;cs+class://Gallio/Icarus/ControlPanel/ExecutionLogPane;cs+class://Gallio/UI/ControlPanel/Preferences/PreferencePane;OnRequiresElevationChanged in Gallio.UI.ControlPanel.SettingsEditor
True;VariableInitializer;cs+class://Gallio/Icarus/Models/AlphanumComparatorFast;cs+interface://System/Collections/IComparer;(field initializer) in Gallio.Icarus.Models.TestTreeNode
True;Parameter;cs+class://Gallio/Icarus/ProjectProperties/Model;cs+interface://Gallio/Icarus/ProjectProperties/IModel;SetUp in Gallio.Icarus.Tests.ProjectProperties.ControllerTest
True;Parameter;cs+class://Gallio/Icarus/Reload/ReloadDialog;cs+class://System/Windows/Forms/Form;FileChanged in Gallio.Icarus.Reload.ReloadPackage
True;Parameter;cs+class://Gallio/Icarus/Reload/ReloadDialog;cs+class://System/Windows/Forms/Form;File_changes_trigger_a_reload_if_user_wants_to in Gallio.Icarus.Tests.Reload.ReloadPackageTest
True;Parameter;cs+class://Gallio/Icarus/Reload/ReloadDialog;cs+class://System/Windows/Forms/Form;File_changes_do_not_trigger_a_reload_if_user_does_not_want_to in Gallio.Icarus.Tests.Reload.ReloadPackageTest
False;Return;cs+class://Gallio/Icarus/Specifications/MetadataSpecification;cs+class://Gallio/Icarus/Specifications/Specification[1];Create in Gallio.Icarus.Specifications.SpecificationFactory
True;ThisChangingType;cs+class://Gallio/Icarus/Specifications/MetadataSpecification;cs+class://Gallio/Icarus/Specifications/Specification[1];And in Gallio.Icarus.Specifications.Specification
True;ThisChangingType;cs+class://Gallio/Icarus/Specifications/MetadataSpecification;cs+class://Gallio/Icarus/Specifications/Specification[1];Or in Gallio.Icarus.Specifications.Specification
False;Return;cs+class://Gallio/Icarus/Specifications/NameSpecification;cs+class://Gallio/Icarus/Specifications/Specification[1];Create in Gallio.Icarus.Specifications.SpecificationFactory
True;ThisChangingType;cs+class://Gallio/Icarus/Specifications/NameSpecification;cs+class://Gallio/Icarus/Specifications/Specification[1];And in Gallio.Icarus.Specifications.Specification
True;ThisChangingType;cs+class://Gallio/Icarus/Specifications/NameSpecification;cs+class://Gallio/Icarus/Specifications/Specification[1];Or in Gallio.Icarus.Specifications.Specification
True;Parameter;cs+class://Gallio/Icarus/Search/Model;cs+interface://Gallio/Icarus/Search/IModel;SetUp in Gallio.Icarus.Tests.Search.SearchControllerTest
False;Return;cs+class://Gallio/Icarus/Specifications/NamespaceSpecification;cs+class://Gallio/Icarus/Specifications/Specification[1];Create in Gallio.Icarus.Specifications.SpecificationFactory
True;ThisChangingType;cs+class://Gallio/Icarus/Specifications/NamespaceSpecification;cs+class://Gallio/Icarus/Specifications/Specification[1];And in Gallio.Icarus.Specifications.Specification
True;ThisChangingType;cs+class://Gallio/Icarus/Specifications/NamespaceSpecification;cs+class://Gallio/Icarus/Specifications/Specification[1];Or in Gallio.Icarus.Specifications.Specification
True;Parameter;cs+class://Gallio/Icarus/TestExplorer/TestExplorerModel;cs+interface://Gallio/Icarus/TestExplorer/ITestExplorerModel;SetUp in Gallio.Icarus.Tests.TestExplorer.ControllerTest
