type;from;to;direct;marker;constants;systemType
CI;cs+class://MathNet/Numerics/Distributions/Triangular;cs+interface://MathNet/Numerics/Distributions/IContinuousDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Interpolation/Barycentric;cs+interface://MathNet/Numerics/Interpolation/IInterpolation;True;False;False;True
CI;cs+class://MathNet/Numerics/Interpolation/CubicSpline;cs+interface://MathNet/Numerics/Interpolation/IInterpolation;True;False;False;True
CI;cs+class://MathNet/Numerics/Interpolation/LogLinear;cs+interface://MathNet/Numerics/Interpolation/IInterpolation;True;False;False;True
CI;cs+class://MathNet/Numerics/Interpolation/QuadraticSpline;cs+interface://MathNet/Numerics/Interpolation/IInterpolation;True;False;False;True
CI;cs+class://MathNet/Numerics/Interpolation/StepInterpolation;cs+interface://MathNet/Numerics/Interpolation/IInterpolation;True;False;False;True
CI;cs+class://MathNet/Numerics/Interpolation/TransformedInterpolation;cs+interface://MathNet/Numerics/Interpolation/IInterpolation;True;False;False;True
CI;cs+class://MathNet/Numerics/LinearAlgebra/Solvers/DelegateStopCriterion[1];cs+interface://MathNet/Numerics/LinearAlgebra/Solvers/IIterationStopCriterion[1];True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/Bernoulli;cs+interface://MathNet/Numerics/Distributions/IDiscreteDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/Beta;cs+interface://MathNet/Numerics/Distributions/IContinuousDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/Binomial;cs+interface://MathNet/Numerics/Distributions/IDiscreteDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/Categorical;cs+interface://MathNet/Numerics/Distributions/IDiscreteDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/Cauchy;cs+interface://MathNet/Numerics/Distributions/IContinuousDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/Chi;cs+interface://MathNet/Numerics/Distributions/IContinuousDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/ChiSquared;cs+interface://MathNet/Numerics/Distributions/IContinuousDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/ContinuousUniform;cs+interface://MathNet/Numerics/Distributions/IContinuousDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/ConwayMaxwellPoisson;cs+interface://MathNet/Numerics/Distributions/IDiscreteDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/Dirichlet;cs+interface://MathNet/Numerics/Distributions/IDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/DiscreteUniform;cs+interface://MathNet/Numerics/Distributions/IDiscreteDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/Erlang;cs+interface://MathNet/Numerics/Distributions/IContinuousDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/Exponential;cs+interface://MathNet/Numerics/Distributions/IContinuousDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/FisherSnedecor;cs+interface://MathNet/Numerics/Distributions/IContinuousDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/Gamma;cs+interface://MathNet/Numerics/Distributions/IContinuousDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/Geometric;cs+interface://MathNet/Numerics/Distributions/IDiscreteDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/Hypergeometric;cs+interface://MathNet/Numerics/Distributions/IDiscreteDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/InverseGamma;cs+interface://MathNet/Numerics/Distributions/IContinuousDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/InverseWishart;cs+interface://MathNet/Numerics/Distributions/IDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/Laplace;cs+interface://MathNet/Numerics/Distributions/IContinuousDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/LogNormal;cs+interface://MathNet/Numerics/Distributions/IContinuousDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/MatrixNormal;cs+interface://MathNet/Numerics/Distributions/IDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/Multinomial;cs+interface://MathNet/Numerics/Distributions/IDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/NegativeBinomial;cs+interface://MathNet/Numerics/Distributions/IDiscreteDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/Normal;cs+interface://MathNet/Numerics/Distributions/IContinuousDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/NormalGamma;cs+interface://MathNet/Numerics/Distributions/IDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/Pareto;cs+interface://MathNet/Numerics/Distributions/IContinuousDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/Poisson;cs+interface://MathNet/Numerics/Distributions/IDiscreteDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/Rayleigh;cs+interface://MathNet/Numerics/Distributions/IContinuousDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/Stable;cs+interface://MathNet/Numerics/Distributions/IContinuousDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/StudentT;cs+interface://MathNet/Numerics/Distributions/IContinuousDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/Weibull;cs+interface://MathNet/Numerics/Distributions/IContinuousDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/Wishart;cs+interface://MathNet/Numerics/Distributions/IDistribution;True;False;False;True
CI;cs+class://MathNet/Numerics/Distributions/Zipf;cs+interface://MathNet/Numerics/Distributions/IDiscreteDistribution;True;False;False;True
