direct?;source;from;to;from declaration
True;Return;cs+class://MathNet/Numerics/Interpolation/Barycentric;cs+interface://MathNet/Numerics/Interpolation/IInterpolation;Common in MathNet.Numerics.Interpolate
True;Return;cs+class://MathNet/Numerics/Interpolation/Barycentric;cs+interface://MathNet/Numerics/Interpolation/IInterpolation;RationalWithoutPoles in MathNet.Numerics.Interpolate
True;Return;cs+class://MathNet/Numerics/Interpolation/Barycentric;cs+interface://MathNet/Numerics/Interpolation/IInterpolation;PolynomialEquidistant in MathNet.Numerics.Interpolate
True;VariableInitializer;cs+class://MathNet/Numerics/Interpolation/Barycentric;cs+interface://MathNet/Numerics/Interpolation/IInterpolation;PolyomnialFitsAtSamplePoints in MathNet.Numerics.UnitTests.InterpolationTests.FloaterHormannRationalTest
True;VariableInitializer;cs+class://MathNet/Numerics/Interpolation/Barycentric;cs+interface://MathNet/Numerics/Interpolation/IInterpolation;PolynomialFitsAtArbitraryPointsWithMaple in MathNet.Numerics.UnitTests.InterpolationTests.FloaterHormannRationalTest
True;VariableInitializer;cs+class://MathNet/Numerics/Interpolation/Barycentric;cs+interface://MathNet/Numerics/Interpolation/IInterpolation;RationalFitsAtSamplePoints in MathNet.Numerics.UnitTests.InterpolationTests.FloaterHormannRationalTest
True;VariableInitializer;cs+class://MathNet/Numerics/Interpolation/Barycentric;cs+interface://MathNet/Numerics/Interpolation/IInterpolation;SupportsLinearCase in MathNet.Numerics.UnitTests.InterpolationTests.FloaterHormannRationalTest
True;VariableInitializer;cs+class://MathNet/Numerics/Interpolation/Barycentric;cs+interface://MathNet/Numerics/Interpolation/IInterpolation;FitsAtSamplePoints in MathNet.Numerics.UnitTests.InterpolationTests.EquidistantPolynomialTest
True;VariableInitializer;cs+class://MathNet/Numerics/Interpolation/Barycentric;cs+interface://MathNet/Numerics/Interpolation/IInterpolation;FitsAtArbitraryPoints in MathNet.Numerics.UnitTests.InterpolationTests.EquidistantPolynomialTest
True;VariableInitializer;cs+class://MathNet/Numerics/Interpolation/Barycentric;cs+interface://MathNet/Numerics/Interpolation/IInterpolation;SupportsLinearCase in MathNet.Numerics.UnitTests.InterpolationTests.EquidistantPolynomialTest
True;Return;cs+class://MathNet/Numerics/Interpolation/CubicSpline;cs+interface://MathNet/Numerics/Interpolation/IInterpolation;CubicSpline in MathNet.Numerics.Interpolate
