TypeName;SystemType
cs+class://MathNet/Numerics/Distributions/Triangular;True
cs+interface://MathNet/Numerics/Distributions/IContinuousDistribution;True
cs+class://MathNet/Numerics/Euclid;True
cs+class://MathNet/Numerics/Generate;True
cs+class://MathNet/Numerics/GoodnessOfFit;True
cs+class://MathNet/Numerics/IntegralTransforms/Fourier;True
cs+class://MathNet/Numerics/IntegralTransforms/Hartley;True
cs+class://MathNet/Numerics/Interpolation/Barycentric;True
cs+interface://MathNet/Numerics/Interpolation/IInterpolation;True
cs+class://MathNet/Numerics/Interpolation/CubicSpline;True
cs+class://MathNet/Numerics/Interpolation/LogLinear;True
cs+class://MathNet/Numerics/Interpolation/QuadraticSpline;True
cs+class://MathNet/Numerics/Interpolation/StepInterpolation;True
cs+class://MathNet/Numerics/Interpolation/TransformedInterpolation;True
cs+class://MathNet/Numerics/LinearAlgebra/Solvers/DelegateStopCriterion[1];True
cs+interface://MathNet/Numerics/LinearAlgebra/Solvers/IIterationStopCriterion[1];True
cs+class://MathNet/Numerics/Precision;True
cs+class://MathNet/Numerics/Distributions/Bernoulli;True
cs+interface://MathNet/Numerics/Distributions/IDiscreteDistribution;True
cs+class://MathNet/Numerics/Distributions/Beta;True
cs+class://MathNet/Numerics/Distributions/Binomial;True
cs+class://MathNet/Numerics/Distributions/Categorical;True
cs+class://MathNet/Numerics/Distributions/Cauchy;True
cs+class://MathNet/Numerics/Distributions/Chi;True
cs+class://MathNet/Numerics/Distributions/ChiSquared;True
cs+class://MathNet/Numerics/Distributions/ContinuousUniform;True
cs+class://MathNet/Numerics/Distributions/ConwayMaxwellPoisson;True
cs+interface://MathNet/Numerics/Distributions/IDistribution;True
cs+class://MathNet/Numerics/Distributions/Dirichlet;True
cs+class://MathNet/Numerics/Distributions/DiscreteUniform;True
cs+class://MathNet/Numerics/Distributions/Erlang;True
cs+class://MathNet/Numerics/Distributions/Exponential;True
cs+class://MathNet/Numerics/Distributions/FisherSnedecor;True
cs+class://MathNet/Numerics/Distributions/Gamma;True
cs+class://MathNet/Numerics/Distributions/Geometric;True
cs+class://MathNet/Numerics/Distributions/Hypergeometric;True
cs+class://MathNet/Numerics/Distributions/InverseGamma;True
cs+class://MathNet/Numerics/Distributions/InverseWishart;True
cs+class://MathNet/Numerics/Distributions/Laplace;True
cs+class://MathNet/Numerics/Distributions/LogNormal;True
cs+class://MathNet/Numerics/Distributions/MatrixNormal;True
cs+class://MathNet/Numerics/Distributions/Multinomial;True
cs+class://MathNet/Numerics/Distributions/NegativeBinomial;True
cs+class://MathNet/Numerics/Distributions/Normal;True
