fromType;toType;fromMethod;toMethod;calledFrom
cs+class://NHibernate/AdoNet/MySqlClientBatchingBatcher;cs+class://NHibernate/AdoNet/AbstractBatcher;Void DoExecuteBatch(IDbCommand);Void DoExecuteBatch(IDbCommand);ExecuteBatchWithTiming
cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;String GetDropSequenceString(String);String GetDropSequenceString(String);GetDropSequenceStrings
cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;String GetCreateSequenceString(String);String GetCreateSequenceString(String);GetCreateSequenceString
cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;SqlString GetLimitString(SqlString, SqlString, SqlString);SqlString GetLimitString(SqlString, SqlString, SqlString);GetLimitString
cs+class://NHibernate/Dialect/FirebirdDialect;cs+class://NHibernate/Dialect/Dialect;String GetTypeName(SqlType, Int32, Int32, Int32);String GetTypeName(SqlType, Int32, Int32, Int32);GetCastTypeName
cs+class://NHibernate/Dialect/FirebirdDialect;cs+class://NHibernate/Dialect/Dialect;String GetDropSequenceString(String);String GetDropSequenceString(String);GetDropSequenceStrings
cs+class://NHibernate/Dialect/FirebirdDialect;cs+class://NHibernate/Dialect/Dialect;String GetCreateSequenceString(String);String GetCreateSequenceString(String);GetCreateSequenceString
cs+class://NHibernate/Dialect/FirebirdDialect;cs+class://NHibernate/Dialect/Dialect;SqlString GetLimitString(SqlString, SqlString, SqlString);SqlString GetLimitString(SqlString, SqlString, SqlString);GetLimitString
cs+class://NHibernate/Dialect/Ingres9Dialect;cs+class://NHibernate/Dialect/IngresDialect;SqlString GetLimitString(SqlString, SqlString, SqlString);SqlString GetLimitString(SqlString, SqlString, SqlString);GetLimitString
cs+class://NHibernate/Dialect/MsSql2000Dialect;cs+class://NHibernate/Dialect/Dialect;SqlString GetLimitString(SqlString, SqlString, SqlString);SqlString GetLimitString(SqlString, SqlString, SqlString);GetLimitString
cs+class://NHibernate/Dialect/MsSql2000Dialect;cs+class://NHibernate/Dialect/Dialect;String Quote(String);String Quote(String);QuoteForAliasName
cs+class://NHibernate/Dialect/MsSql2000Dialect;cs+class://NHibernate/Dialect/Dialect;String Quote(String);String Quote(String);QuoteForColumnName
cs+class://NHibernate/Dialect/MsSql2000Dialect;cs+class://NHibernate/Dialect/Dialect;String Quote(String);String Quote(String);QuoteForTableName
cs+class://NHibernate/Dialect/MsSql2000Dialect;cs+class://NHibernate/Dialect/Dialect;String Quote(String);String Quote(String);QuoteForSchemaName
cs+class://NHibernate/Dialect/MsSql2000Dialect;cs+class://NHibernate/Dialect/Dialect;String UnQuote(String);String UnQuote(String);UnQuote
cs+class://NHibernate/Dialect/MsSql2012Dialect;cs+class://NHibernate/Dialect/MsSql2008Dialect;String GetDropSequenceString(String);String GetDropSequenceString(String);GetDropSequenceStrings
cs+class://NHibernate/Dialect/MsSql2012Dialect;cs+class://NHibernate/Dialect/MsSql2008Dialect;String GetCreateSequenceString(String, Int32, Int32);String GetCreateSequenceString(String, Int32, Int32);GetCreateSequenceStrings
cs+class://NHibernate/Dialect/MsSql2012Dialect;cs+class://NHibernate/Dialect/MsSql2008Dialect;String GetCreateSequenceString(String);String GetCreateSequenceString(String);GetCreateSequenceString
cs+class://NHibernate/Dialect/MsSql2012Dialect;cs+class://NHibernate/Dialect/MsSql2008Dialect;SqlString GetLimitString(SqlString, SqlString, SqlString);SqlString GetLimitString(SqlString, SqlString, SqlString);GetLimitString
cs+class://NHibernate/Dialect/MsSql2012Dialect;cs+class://NHibernate/Dialect/MsSql2008Dialect;Void RegisterFunctions();Void RegisterFunctions();(field initializer)
cs+class://NHibernate/Dialect/MySQLDialect;cs+class://NHibernate/Dialect/Dialect;SqlString GetLimitString(SqlString, SqlString, SqlString);SqlString GetLimitString(SqlString, SqlString, SqlString);GetLimitString
cs+class://NHibernate/Dialect/PostgreSQLDialect;cs+class://NHibernate/Dialect/Dialect;String GetForUpdateString(String);String GetForUpdateString(String);GetForUpdateNowaitString
cs+class://NHibernate/Dialect/PostgreSQLDialect;cs+class://NHibernate/Dialect/Dialect;String GetDropSequenceString(String);String GetDropSequenceString(String);GetDropSequenceStrings
cs+class://NHibernate/Dialect/PostgreSQLDialect;cs+class://NHibernate/Dialect/Dialect;String GetCreateSequenceString(String);String GetCreateSequenceString(String);GetCreateSequenceString
