direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://NHibernate/Dialect/FirebirdDialect;cs+class://NHibernate/Dialect/Dialect;GetCastTypeName;cs+class://NHibernate/Driver/FirebirdClientDriver/GetFbTypeFromDbType
True;MethodCall;cs+class://NHibernate/Driver/OracleClientDriver;cs+class://NHibernate/Driver/ReflectionBasedDriver;CreateCommand;cs+class://NHibernate/Test/DriverTest/OracleClientDriverFixture/CommandClassName
False;MethodCall;cs+class://NHibernate/Driver/OracleDataClientDriver;cs+class://NHibernate/Driver/ReflectionBasedDriver;GenerateCommand;cs+class://NHibernate/Test/DriverTest/OracleDataClientDriverFixture/NoBooleanParameters
True;MethodCall;cs+class://NHibernate/Criterion/Conjunction;cs+class://NHibernate/Criterion/Junction;Add;cs+class://NHibernate/Criterion/Restrictions/AllEq
True;MethodCall;cs+class://NHibernate/Criterion/Conjunction;cs+class://NHibernate/Criterion/Junction;Add;cs+class://NHibernate/Test/Criteria/DetachedCriteriaSerializable/Junctions
True;MethodCall;cs+class://NHibernate/Criterion/Conjunction;cs+class://NHibernate/Criterion/Junction;Add;cs+class://NHibernate/Test/Criteria/DetachedCriteriaSerializable/ExecutableCriteria
True;MethodCall;cs+class://NHibernate/Criterion/Conjunction;cs+class://NHibernate/Criterion/Junction;Add;cs+class://NHibernate/Test/Criteria/Lambda/RestrictionsFixture/Junction
True;MethodCall;cs+class://NHibernate/Criterion/Conjunction;cs+class://NHibernate/Criterion/Junction;Add;cs+class://NHibernate/Test/Criteria/Lambda/RestrictionsFixture/Junction
True;MethodCall;cs+class://NHibernate/Criterion/Conjunction;cs+class://NHibernate/Criterion/Junction;Add;cs+class://NHibernate/Test/ExpressionTest/JunctionFixture/SetUp
True;MethodCall;cs+class://NHibernate/Criterion/Conjunction;cs+class://NHibernate/Criterion/Junction;ToSqlString;cs+class://NHibernate/Test/ExpressionTest/JunctionFixture/SqlString
True;MethodCall;cs+class://NHibernate/Criterion/Conjunction;cs+class://NHibernate/Criterion/Junction;GetTypedValues;cs+class://NHibernate/Test/ExpressionTest/JunctionFixture/GetTypedValues
