type;from;to;direct;marker;constants;systemType
CC;cs+class://NHibernate/ADOException;cs+class://NHibernate/HibernateException;True;False;False;True
CC;cs+class://NHibernate/AdoNet/MySqlClientBatchingBatcher;cs+class://NHibernate/AdoNet/AbstractBatcher;True;False;False;True
CI;cs+class://NHibernate/AdoNet/MySqlClientBatchingBatcherFactory;cs+interface://NHibernate/AdoNet/IBatcherFactory;True;False;False;True
CI;cs+class://NHibernate/AdoNet/MySqlClientSqlCommandSet;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://NHibernate/AssertionFailure;cs+class://System/ApplicationException;True;False;False;False
CI;cs+class://NHibernate/Bytecode/DefaultProxyFactoryFactory;cs+interface://NHibernate/Bytecode/IProxyFactoryFactory;True;False;False;True
CI;cs+class://NHibernate/Cache/CachedItem;cs+interface://NHibernate/Cache/ReadWriteCache/ILockable;True;False;False;True
CC;cs+class://NHibernate/Cache/CacheException;cs+class://NHibernate/HibernateException;True;False;False;True
CI;cs+class://NHibernate/Cache/CacheLock;cs+interface://NHibernate/Cache/ReadWriteCache/ILockable;True;False;False;True
CI;cs+class://NHibernate/Cache/CacheLock;cs+interface://NHibernate/Cache/Access/ISoftLock;True;False;False;True
CI;cs+class://NHibernate/Cache/HashtableCache;cs+interface://NHibernate/Cache/ICache;True;False;False;True
CI;cs+class://NHibernate/Cache/HashtableCacheProvider;cs+interface://NHibernate/Cache/ICacheProvider;True;False;False;True
CI;cs+class://NHibernate/Cache/NonstrictReadWriteCache;cs+interface://NHibernate/Cache/ICacheConcurrencyStrategy;True;False;False;True
CI;cs+class://NHibernate/Cache/ReadOnlyCache;cs+interface://NHibernate/Cache/ICacheConcurrencyStrategy;True;False;False;True
CI;cs+class://NHibernate/Cache/ReadWriteCache;cs+interface://NHibernate/Cache/ICacheConcurrencyStrategy;True;False;False;True
CI;cs+class://NHibernate/Cache/StandardQueryCache;cs+interface://NHibernate/Cache/IQueryCache;True;False;False;True
CI;cs+class://NHibernate/Cache/StandardQueryCacheFactory;cs+interface://NHibernate/Cache/IQueryCacheFactory;True;False;False;True
CC;cs+class://NHibernate/CallbackException;cs+class://NHibernate/HibernateException;True;False;False;True
CI;cs+class://NHibernate/Cfg/Loquacious/DbIntegrationConfigurationProperties;cs+interface://NHibernate/Cfg/Loquacious/IDbIntegrationConfigurationProperties;True;False;False;True
CI;cs+class://NHibernate/Cfg/Loquacious/NamedQueryDefinitionBuilder;cs+interface://NHibernate/Cfg/Loquacious/INamedQueryDefinitionBuilder;True;False;False;True
CI;cs+class://NHibernate/Cfg/Configuration;cs+interface://System/Runtime/Serialization/ISerializable;True;False;False;False
CI;cs+class://NHibernate/Cfg/Configuration/Mapping;cs+interface://NHibernate/Engine/IMapping;True;False;False;True
CI;cs+class://NHibernate/Cfg/ConfigurationSectionHandler;cs+interface://System/Configuration/IConfigurationSectionHandler;True;False;False;False
CI;cs+class://NHibernate/Cfg/DefaultNamingStrategy;cs+interface://NHibernate/Cfg/INamingStrategy;True;False;False;True
CI;cs+class://NHibernate/Cfg/ImprovedNamingStrategy;cs+interface://NHibernate/Cfg/INamingStrategy;True;False;False;True
II;cs+interface://NHibernate/Collection/Generic/SetHelpers/ISetSnapshot[1];cs+interface://System/Collections/Generic/ICollection[1];True;False;False;False
II;cs+interface://NHibernate/Collection/Generic/SetHelpers/ISetSnapshot[1];cs+interface://System/Collections/ICollection;True;False;False;False
CI;cs+class://NHibernate/Collection/Generic/SetHelpers/SetSnapShot[1];cs+interface://NHibernate/Collection/Generic/SetHelpers/ISetSnapshot[1];True;False;False;True
CI;cs+class://NHibernate/Connection/ConnectionProvider;cs+interface://NHibernate/Connection/IConnectionProvider;True;False;False;True
CC;cs+class://NHibernate/Connection/DriverConnectionProvider;cs+class://NHibernate/Connection/ConnectionProvider;True;False;False;True
II;cs+interface://NHibernate/Connection/IConnectionProvider;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://NHibernate/Connection/UserSuppliedConnectionProvider;cs+class://NHibernate/Connection/ConnectionProvider;True;False;False;True
CC;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;True;False;False;True
CI;cs+class://NHibernate/Dialect/Dialect/QuotedAndParenthesisStringTokenizer;cs+interface://System/Collections/Generic/IEnumerable[1];True;False;False;False
CC;cs+class://NHibernate/Dialect/FirebirdDialect;cs+class://NHibernate/Dialect/Dialect;True;False;False;True
CC;cs+class://NHibernate/Dialect/FirebirdDialect/CastedFunction;cs+class://NHibernate/Dialect/Function/NoArgSQLFunction;True;False;False;True
CC;cs+class://NHibernate/Dialect/FirebirdDialect/CurrentTimeStamp;cs+class://NHibernate/Dialect/Function/NoArgSQLFunction;True;False;False;True
CI;cs+class://NHibernate/Dialect/FirebirdDialect/PositionFunction;cs+interface://NHibernate/Dialect/Function/ISQLFunction;True;False;False;True
CC;cs+class://NHibernate/Dialect/Function/AvgQueryFunctionInfo;cs+class://NHibernate/Dialect/Function/ClassicAggregateFunction;True;False;False;True
CC;cs+class://NHibernate/Dialect/Function/EmulatedLengthSubstringFunction;cs+class://NHibernate/Dialect/Function/StandardSQLFunction;True;False;False;True
CC;cs+class://NHibernate/Dialect/Function/CountQueryFunctionInfo;cs+class://NHibernate/Dialect/Function/ClassicAggregateFunction;True;False;False;True
CC;cs+class://NHibernate/Dialect/Function/SumQueryFunctionInfo;cs+class://NHibernate/Dialect/Function/ClassicAggregateFunction;True;False;False;True
CC;cs+class://NHibernate/Dialect/GenericDialect;cs+class://NHibernate/Dialect/Dialect;True;False;False;True
CC;cs+class://NHibernate/Dialect/Ingres9Dialect;cs+class://NHibernate/Dialect/IngresDialect;True;False;False;True
CC;cs+class://NHibernate/Dialect/MsSql2000Dialect;cs+class://NHibernate/Dialect/Dialect;True;False;False;True
CC;cs+class://NHibernate/Dialect/MsSql2000Dialect/CountBigQueryFunction;cs+class://NHibernate/Dialect/Function/ClassicAggregateFunction;True;False;False;True
CC;cs+class://NHibernate/Dialect/MsSql2012Dialect;cs+class://NHibernate/Dialect/MsSql2008Dialect;True;False;False;True
CC;cs+class://NHibernate/Dialect/MsSql7Dialect;cs+class://NHibernate/Dialect/MsSql2000Dialect;True;False;False;True
CC;cs+class://NHibernate/Dialect/MsSqlAzure2008Dialect;cs+class://NHibernate/Dialect/MsSql2008Dialect;True;False;False;True
CC;cs+class://NHibernate/Dialect/MySQL55Dialect;cs+class://NHibernate/Dialect/MySQL5Dialect;True;False;False;True
CC;cs+class://NHibernate/Dialect/MySQL55InnoDBDialect;cs+class://NHibernate/Dialect/MySQL55Dialect;True;False;False;True
CC;cs+class://NHibernate/Dialect/MySQL5InnoDBDialect;cs+class://NHibernate/Dialect/MySQL5Dialect;True;False;False;True
CC;cs+class://NHibernate/Dialect/MySQLDialect;cs+class://NHibernate/Dialect/Dialect;True;False;False;True
CC;cs+class://NHibernate/Dialect/PostgreSQLDialect;cs+class://NHibernate/Dialect/Dialect;True;False;False;True
CC;cs+class://NHibernate/Dialect/Schema/PostgreSQLDataBaseMetadata;cs+class://NHibernate/Dialect/Schema/AbstractDataBaseSchema;True;False;False;True
CC;cs+class://NHibernate/Dialect/Schema/PostgreSQLTableMetadata;cs+class://NHibernate/Dialect/Schema/AbstractTableMetadata;True;False;False;True
CC;cs+class://NHibernate/Dialect/Schema/PostgreSQLColumnMetadata;cs+class://NHibernate/Dialect/Schema/AbstractColumnMetaData;True;False;False;True
CC;cs+class://NHibernate/Dialect/Schema/PostgreSQLIndexMetadata;cs+class://NHibernate/Dialect/Schema/AbstractIndexMetadata;True;False;False;True
CC;cs+class://NHibernate/Dialect/Schema/PostgreSQLForeignKeyMetadata;cs+class://NHibernate/Dialect/Schema/AbstractForeignKeyMetadata;True;False;False;True
CC;cs+class://NHibernate/Dialect/SQLiteDialect;cs+class://NHibernate/Dialect/Dialect;True;False;False;True
CC;cs+class://NHibernate/Dialect/SQLiteDialect/SQLiteCastFunction;cs+class://NHibernate/Dialect/Function/CastFunction;True;False;False;True
CC;cs+class://NHibernate/Dialect/SybaseASE15Dialect;cs+class://NHibernate/Dialect/Dialect;True;False;False;True
CC;cs+class://NHibernate/Dialect/SybaseSQLAnywhere10Dialect;cs+class://NHibernate/Dialect/Dialect;True;False;False;True
CC;cs+class://NHibernate/Dialect/SybaseSQLAnywhere11Dialect;cs+class://NHibernate/Dialect/SybaseSQLAnywhere10Dialect;True;False;False;True
CC;cs+class://NHibernate/Dialect/SybaseSQLAnywhere12Dialect;cs+class://NHibernate/Dialect/SybaseSQLAnywhere11Dialect;True;False;False;True
CC;cs+class://NHibernate/Driver/DB2Driver;cs+class://NHibernate/Driver/ReflectionBasedDriver;True;False;False;True
CC;cs+class://NHibernate/Driver/DotConnectMySqlDriver;cs+class://NHibernate/Driver/ReflectionBasedDriver;True;False;False;True
CI;cs+class://NHibernate/Driver/DriverBase;cs+interface://NHibernate/Driver/IDriver;True;False;False;True
CI;cs+class://NHibernate/Driver/DriverBase;cs+interface://NHibernate/Driver/ISqlParameterFormatter;True;False;False;True
CC;cs+class://NHibernate/Driver/MySqlDataDriver;cs+class://NHibernate/Driver/ReflectionBasedDriver;True;False;False;True
CI;cs+class://NHibernate/Driver/NDataReader;cs+interface://System/Data/IDataReader;True;False;False;False
CI;cs+class://NHibernate/Driver/NHybridDataReader;cs+interface://System/Data/IDataReader;True;False;False;False
CC;cs+class://NHibernate/Driver/NpgsqlDriver;cs+class://NHibernate/Driver/ReflectionBasedDriver;True;False;False;True
CC;cs+class://NHibernate/Driver/OdbcDriver;cs+class://NHibernate/Driver/DriverBase;True;False;False;True
CC;cs+class://NHibernate/Driver/OleDbDriver;cs+class://NHibernate/Driver/DriverBase;True;False;False;True
CC;cs+class://NHibernate/Driver/OracleClientDriver;cs+class://NHibernate/Driver/ReflectionBasedDriver;True;False;False;True
CC;cs+class://NHibernate/Driver/OracleDataClientDriver;cs+class://NHibernate/Driver/ReflectionBasedDriver;True;False;False;True
CI;cs+class://NHibernate/Driver/OracleDataClientDriver;cs+interface://NHibernate/AdoNet/IEmbeddedBatcherFactoryProvider;True;False;False;True
CC;cs+class://NHibernate/Driver/OracleManagedDataClientDriver;cs+class://NHibernate/Driver/ReflectionBasedDriver;True;False;False;True
CI;cs+class://NHibernate/Driver/OracleManagedDataClientDriver;cs+interface://NHibernate/AdoNet/IEmbeddedBatcherFactoryProvider;True;False;False;True
CC;cs+class://NHibernate/Driver/Sql2008ClientDriver;cs+class://NHibernate/Driver/SqlClientDriver;True;False;False;True
CC;cs+class://NHibernate/Driver/SqlClientDriver;cs+class://NHibernate/Driver/DriverBase;True;False;False;True
CI;cs+class://NHibernate/Driver/SqlClientDriver;cs+interface://NHibernate/AdoNet/IEmbeddedBatcherFactoryProvider;True;False;False;True
CI;cs+class://NHibernate/Driver/BasicResultSetsCommand;cs+interface://NHibernate/Driver/IResultSetsCommand;True;False;False;True
CI;cs+class://NHibernate/Driver/BatcherDataReaderWrapper;cs+interface://System/Data/IDataReader;True;False;False;False
CC;cs+class://NHibernate/Driver/SybaseAsaClientDriver;cs+class://NHibernate/Driver/ReflectionBasedDriver;True;False;False;True
CC;cs+class://NHibernate/Driver/SybaseAseClientDriver;cs+class://NHibernate/Driver/ReflectionBasedDriver;True;False;False;True
CC;cs+class://NHibernate/Driver/SybaseSQLAnywhereDotNet4Driver;cs+class://NHibernate/Driver/ReflectionBasedDriver;True;False;False;True
CC;cs+class://NHibernate/Driver/SybaseSQLAnywhereDriver;cs+class://NHibernate/Driver/ReflectionBasedDriver;True;False;False;True
II;cs+interface://NHibernate/Engine/IBatcher;cs+interface://System/IDisposable;True;False;False;False
II;cs+interface://NHibernate/Engine/ISessionFactoryImplementor;cs+interface://NHibernate/Engine/IMapping;True;False;False;True
II;cs+interface://NHibernate/Engine/ISessionFactoryImplementor;cs+interface://NHibernate/ISessionFactory;True;False;False;True
CI;cs+class://NHibernate/Engine/TypedValue/ParameterListComparer;cs+interface://System/Collections/Generic/IEqualityComparer[1];True;False;False;False
CI;cs+class://NHibernate/Engine/TypedValue/DefaultComparer;cs+interface://System/Collections/Generic/IEqualityComparer[1];True;False;False;False
CI;cs+class://NHibernate/Event/Default/EventCache;cs+interface://System/Collections/IDictionary;True;False;False;False
CI;cs+class://NHibernate/Criterion/AbstractCriterion;cs+interface://NHibernate/Criterion/ICriterion;True;False;False;True
CC;cs+class://NHibernate/Criterion/AndExpression;cs+class://NHibernate/Criterion/LogicalExpression;True;False;False;True
CC;cs+class://NHibernate/Criterion/BetweenExpression;cs+class://NHibernate/Criterion/AbstractCriterion;True;False;False;True
