direct?;source;from;to;from declaration;to declaration
True;FieldAccess;cs+class://NHibernate/AdoNet/MySqlClientBatchingBatcher;cs+class://NHibernate/AdoNet/AbstractBatcher;CurrentCommand;cs+class://NHibernate/AdoNet/MySqlClientBatchingBatcher/AddToBatch
True;MethodCall;cs+class://NHibernate/AdoNet/MySqlClientBatchingBatcher;cs+class://NHibernate/AdoNet/AbstractBatcher;Prepare;cs+class://NHibernate/AdoNet/MySqlClientBatchingBatcher/AddToBatch
True;MethodCall;cs+class://NHibernate/AdoNet/MySqlClientBatchingBatcher;cs+class://NHibernate/AdoNet/AbstractBatcher;CheckReaders;cs+class://NHibernate/AdoNet/MySqlClientBatchingBatcher/DoExecuteBatch
True;MethodCall;cs+class://NHibernate/Connection/DriverConnectionProvider;cs+class://NHibernate/Connection/ConnectionProvider;CloseConnection;cs+class://NHibernate/Connection/DriverConnectionProvider/CloseConnection
False;MethodCall;cs+class://NHibernate/Connection/DriverConnectionProvider;cs+class://NHibernate/Connection/ConnectionProvider;Dispose;cs+class://NHibernate/Connection/DriverConnectionProvider/CloseConnection
True;FieldAccess;cs+class://NHibernate/Connection/DriverConnectionProvider;cs+class://NHibernate/Connection/ConnectionProvider;ConnectionString;cs+class://NHibernate/Connection/DriverConnectionProvider/GetConnection
False;MethodCall;cs+class://NHibernate/Connection/DriverConnectionProvider;cs+class://NHibernate/Connection/ConnectionProvider;Dispose;cs+class://NHibernate/Connection/DriverConnectionProvider/GetConnection
True;MethodCall;cs+class://NHibernate/Connection/UserSuppliedConnectionProvider;cs+class://NHibernate/Connection/ConnectionProvider;ConfigureDriver;cs+class://NHibernate/Connection/UserSuppliedConnectionProvider/Configure
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
True;MethodCall;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;RegisterColumnType;cs+class://NHibernate/Dialect/DB2Dialect/(field initializer)
