direct?;source;from;to;from declaration
False;Return;cs+class://NHibernate/AdoNet/MySqlClientBatchingBatcher;cs+class://NHibernate/AdoNet/AbstractBatcher;CreateBatcher in NHibernate.AdoNet.MySqlClientBatchingBatcherFactory
True;ThisChangingType;cs+class://NHibernate/AdoNet/MySqlClientBatchingBatcher;cs+class://NHibernate/AdoNet/AbstractBatcher;Dispose in NHibernate.AdoNet.AbstractBatcher
True;Return;cs+class://NHibernate/Cache/CacheLock;cs+interface://NHibernate/Cache/Access/ISoftLock;Lock in NHibernate.Cache.ReadWriteCache
True;Return;cs+class://NHibernate/Cache/HashtableCache;cs+interface://NHibernate/Cache/ICache;BuildCache in NHibernate.Cache.HashtableCacheProvider
True;Parameter;cs+class://NHibernate/Cache/HashtableCacheProvider;cs+interface://NHibernate/Cache/ICacheProvider;TestSimpleCache in NHibernate.Test.CacheTest.CacheFixture
True;Assignment;cs+class://NHibernate/Cache/NonstrictReadWriteCache;cs+interface://NHibernate/Cache/ICacheConcurrencyStrategy;CreateCache in NHibernate.Cache.CacheFactory
True;Parameter;cs+class://NHibernate/Cache/NonstrictReadWriteCache;cs+interface://NHibernate/Cache/ICacheConcurrencyStrategy;MinValueTimestamp in NHibernate.Test.CacheTest.CacheFixture
True;Assignment;cs+class://NHibernate/Cache/ReadOnlyCache;cs+interface://NHibernate/Cache/ICacheConcurrencyStrategy;CreateCache in NHibernate.Cache.CacheFactory
True;Parameter;cs+class://NHibernate/Cache/ReadOnlyCache;cs+interface://NHibernate/Cache/ICacheConcurrencyStrategy;MinValueTimestamp in NHibernate.Test.CacheTest.CacheFixture
True;Assignment;cs+class://NHibernate/Cache/ReadWriteCache;cs+interface://NHibernate/Cache/ICacheConcurrencyStrategy;CreateCache in NHibernate.Cache.CacheFactory
True;VariableInitializer;cs+class://NHibernate/Cache/ReadWriteCache;cs+interface://NHibernate/Cache/ICacheConcurrencyStrategy;DoTestCache in NHibernate.Test.CacheTest.CacheFixture
True;VariableInitializer;cs+class://NHibernate/Cache/ReadWriteCache;cs+interface://NHibernate/Cache/ICacheConcurrencyStrategy;MinValueTimestamp in NHibernate.Test.CacheTest.CacheFixture
True;Parameter;cs+class://NHibernate/Cache/ReadWriteCache;cs+interface://NHibernate/Cache/ICacheConcurrencyStrategy;MinValueTimestamp in NHibernate.Test.CacheTest.CacheFixture
True;Return;cs+class://NHibernate/Cache/StandardQueryCache;cs+interface://NHibernate/Cache/IQueryCache;GetQueryCache in NHibernate.Cache.StandardQueryCacheFactory
True;Parameter;cs+class://NHibernate/Cfg/Loquacious/DbIntegrationConfigurationProperties;cs+interface://NHibernate/Cfg/Loquacious/IDbIntegrationConfigurationProperties;DataBaseIntegration in NHibernate.Cfg.ConfigurationExtensions
True;Parameter;cs+class://NHibernate/Cfg/Loquacious/NamedQueryDefinitionBuilder;cs+interface://NHibernate/Cfg/Loquacious/INamedQueryDefinitionBuilder;AddNamedQuery in NHibernate.Cfg.ConfigurationExtensions
True;Return;cs+class://NHibernate/Cfg/Configuration/Mapping;cs+interface://NHibernate/Engine/IMapping;BuildMapping in NHibernate.Cfg.Configuration
True;VariableInitializer;cs+class://NHibernate/Cfg/DefaultNamingStrategy;cs+interface://NHibernate/Cfg/INamingStrategy;(field initializer) in NHibernate.Cfg.DefaultNamingStrategy
True;VariableInitializer;cs+class://NHibernate/Cfg/ImprovedNamingStrategy;cs+interface://NHibernate/Cfg/INamingStrategy;(field initializer) in NHibernate.Cfg.ImprovedNamingStrategy
True;Cast;cs+interface://NHibernate/Collection/Generic/SetHelpers/ISetSnapshot[1];cs+interface://System/Collections/Generic/ICollection[1];GetDeletes in NHibernate.Collection.Generic.PersistentGenericSet
True;Cast;cs+interface://NHibernate/Collection/Generic/SetHelpers/ISetSnapshot[1];cs+interface://System/Collections/ICollection;EqualsSnapshot in NHibernate.Collection.Generic.PersistentGenericSet
False;Return;cs+class://NHibernate/Collection/Generic/SetHelpers/SetSnapShot[1];cs+interface://NHibernate/Collection/Generic/SetHelpers/ISetSnapshot[1];GetOrphans in NHibernate.Collection.Generic.PersistentGenericSet
False;Cast;cs+class://NHibernate/Collection/Generic/SetHelpers/SetSnapShot[1];cs+interface://NHibernate/Collection/Generic/SetHelpers/ISetSnapshot[1];GetOrphans in NHibernate.Collection.Generic.PersistentGenericSet
False;Return;cs+class://NHibernate/Collection/Generic/SetHelpers/SetSnapShot[1];cs+interface://NHibernate/Collection/Generic/SetHelpers/ISetSnapshot[1];GetOrphans in NHibernate.Collection.Generic.PersistentGenericSet
False;Parameter;cs+class://NHibernate/Collection/Generic/SetHelpers/SetSnapShot[1];cs+interface://NHibernate/Collection/Generic/SetHelpers/ISetSnapshot[1];GetOrphans in NHibernate.Collection.Generic.PersistentGenericSet
True;ThisChangingType;cs+class://NHibernate/Connection/DriverConnectionProvider;cs+class://NHibernate/Connection/ConnectionProvider;Dispose in NHibernate.Connection.ConnectionProvider
False;Assignment;cs+class://NHibernate/Connection/DriverConnectionProvider;cs+class://NHibernate/Connection/ConnectionProvider;NewConnectionProvider in NHibernate.Connection.ConnectionProviderFactory
True;ThisChangingType;cs+class://NHibernate/Connection/UserSuppliedConnectionProvider;cs+class://NHibernate/Connection/ConnectionProvider;Dispose in NHibernate.Connection.ConnectionProvider
False;Assignment;cs+class://NHibernate/Connection/UserSuppliedConnectionProvider;cs+class://NHibernate/Connection/ConnectionProvider;NewConnectionProvider in NHibernate.Connection.ConnectionProviderFactory
True;ThisChangingType;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;ApplyLocksToSql in NHibernate.Dialect.Dialect
True;ThisChangingType;cs+class://NHibernate/Dialect/DB2Dialect;cs+class://NHibernate/Dialect/Dialect;CreateCaseFragment in NHibernate.Dialect.Dialect
True;Cast;cs+class://NHibernate/Dialect/Dialect/QuotedAndParenthesisStringTokenizer;cs+interface://System/Collections/Generic/IEnumerable[1];GetEnumerator in NHibernate.Dialect.Dialect.QuotedAndParenthesisStringTokenizer
True;Parameter;cs+class://NHibernate/Dialect/Dialect/QuotedAndParenthesisStringTokenizer;cs+interface://System/Collections/Generic/IEnumerable[1];GetTokens in NHibernate.Dialect.Dialect.QuotedAndParenthesisStringTokenizer
True;ThisChangingType;cs+class://NHibernate/Dialect/FirebirdDialect;cs+class://NHibernate/Dialect/Dialect;ApplyLocksToSql in NHibernate.Dialect.Dialect
True;ThisChangingType;cs+class://NHibernate/Dialect/FirebirdDialect;cs+class://NHibernate/Dialect/Dialect;CreateCaseFragment in NHibernate.Dialect.Dialect
False;Parameter;cs+class://NHibernate/Dialect/FirebirdDialect/CastedFunction;cs+class://NHibernate/Dialect/Function/NoArgSQLFunction;OverrideStandardHQLFunctions in NHibernate.Dialect.FirebirdDialect
False;Parameter;cs+class://NHibernate/Dialect/FirebirdDialect/CastedFunction;cs+class://NHibernate/Dialect/Function/NoArgSQLFunction;RegisterFirebirdServerEmbeddedFunctions in NHibernate.Dialect.FirebirdDialect
False;Parameter;cs+class://NHibernate/Dialect/FirebirdDialect/CastedFunction;cs+class://NHibernate/Dialect/Function/NoArgSQLFunction;RegisterFirebirdServerEmbeddedFunctions in NHibernate.Dialect.FirebirdDialect
False;Parameter;cs+class://NHibernate/Dialect/FirebirdDialect/CastedFunction;cs+class://NHibernate/Dialect/Function/NoArgSQLFunction;RegisterFirebirdServerEmbeddedFunctions in NHibernate.Dialect.FirebirdDialect
False;Parameter;cs+class://NHibernate/Dialect/FirebirdDialect/CastedFunction;cs+class://NHibernate/Dialect/Function/NoArgSQLFunction;RegisterFirebirdServerEmbeddedFunctions in NHibernate.Dialect.FirebirdDialect
False;Parameter;cs+class://NHibernate/Dialect/FirebirdDialect/CurrentTimeStamp;cs+class://NHibernate/Dialect/Function/NoArgSQLFunction;OverrideStandardHQLFunctions in NHibernate.Dialect.FirebirdDialect
True;Parameter;cs+class://NHibernate/Dialect/FirebirdDialect/PositionFunction;cs+interface://NHibernate/Dialect/Function/ISQLFunction;RegisterStringAndCharFunctions in NHibernate.Dialect.FirebirdDialect
False;Assignment;cs+class://NHibernate/Dialect/Function/AvgQueryFunctionInfo;cs+class://NHibernate/Dialect/Function/ClassicAggregateFunction;Dialect in NHibernate.Dialect.Dialect
False;Parameter;cs+class://NHibernate/Dialect/Function/EmulatedLengthSubstringFunction;cs+class://NHibernate/Dialect/Function/StandardSQLFunction;RegisterFunctions in NHibernate.Dialect.MsSql2000Dialect
False;Parameter;cs+class://NHibernate/Dialect/Function/EmulatedLengthSubstringFunction;cs+class://NHibernate/Dialect/Function/StandardSQLFunction;SybaseASE15Dialect in NHibernate.Dialect.SybaseASE15Dialect
False;Parameter;cs+class://NHibernate/Dialect/Function/EmulatedLengthSubstringFunction;cs+class://NHibernate/Dialect/Function/StandardSQLFunction;MsSqlCeDialect in NHibernate.Dialect.MsSqlCeDialect
False;Assignment;cs+class://NHibernate/Dialect/Function/CountQueryFunctionInfo;cs+class://NHibernate/Dialect/Function/ClassicAggregateFunction;Dialect in NHibernate.Dialect.Dialect
False;Assignment;cs+class://NHibernate/Dialect/Function/SumQueryFunctionInfo;cs+class://NHibernate/Dialect/Function/ClassicAggregateFunction;Dialect in NHibernate.Dialect.Dialect
True;Assignment;cs+class://NHibernate/Dialect/GenericDialect;cs+class://NHibernate/Dialect/Dialect;BuildSettings in NHibernate.Cfg.SettingsFactory
True;ThisChangingType;cs+class://NHibernate/Dialect/GenericDialect;cs+class://NHibernate/Dialect/Dialect;ApplyLocksToSql in NHibernate.Dialect.Dialect
