From;To;Source
cs+class://NHibernate/ADOException;cs+class://NHibernate/HibernateException;(not implemented)
cs+class://NHibernate/AdoNet/MySqlClientBatchingBatcher;cs+class://NHibernate/AdoNet/AbstractBatcher;(not implemented)
cs+class://NHibernate/AssertionFailure;cs+class://System/ApplicationException;(not implemented)
cs+class://NHibernate/Cache/CacheException;cs+class://NHibernate/HibernateException;(not implemented)
cs+class://NHibernate/CallbackException;cs+class://NHibernate/HibernateException;(not implemented)
cs+class://NHibernate/Dialect/FirebirdDialect/CastedFunction;cs+class://NHibernate/Dialect/Function/NoArgSQLFunction;(not implemented)
cs+class://NHibernate/Dialect/FirebirdDialect/CurrentTimeStamp;cs+class://NHibernate/Dialect/Function/NoArgSQLFunction;(not implemented)
cs+class://NHibernate/Dialect/Function/AvgQueryFunctionInfo;cs+class://NHibernate/Dialect/Function/ClassicAggregateFunction;(not implemented)
cs+class://NHibernate/Dialect/Function/EmulatedLengthSubstringFunction;cs+class://NHibernate/Dialect/Function/StandardSQLFunction;(not implemented)
cs+class://NHibernate/Dialect/Function/CountQueryFunctionInfo;cs+class://NHibernate/Dialect/Function/ClassicAggregateFunction;(not implemented)
cs+class://NHibernate/Dialect/Function/SumQueryFunctionInfo;cs+class://NHibernate/Dialect/Function/ClassicAggregateFunction;(not implemented)
cs+class://NHibernate/Dialect/GenericDialect;cs+class://NHibernate/Dialect/Dialect;(not implemented)
cs+class://NHibernate/Dialect/MsSql2000Dialect/CountBigQueryFunction;cs+class://NHibernate/Dialect/Function/ClassicAggregateFunction;(not implemented)
cs+class://NHibernate/Dialect/Schema/PostgreSQLDataBaseMetadata;cs+class://NHibernate/Dialect/Schema/AbstractDataBaseSchema;(not implemented)
cs+class://NHibernate/Dialect/Schema/PostgreSQLTableMetadata;cs+class://NHibernate/Dialect/Schema/AbstractTableMetadata;(not implemented)
cs+class://NHibernate/Dialect/Schema/PostgreSQLColumnMetadata;cs+class://NHibernate/Dialect/Schema/AbstractColumnMetaData;(not implemented)
cs+class://NHibernate/Dialect/Schema/PostgreSQLIndexMetadata;cs+class://NHibernate/Dialect/Schema/AbstractIndexMetadata;(not implemented)
cs+class://NHibernate/Dialect/Schema/PostgreSQLForeignKeyMetadata;cs+class://NHibernate/Dialect/Schema/AbstractForeignKeyMetadata;(not implemented)
cs+class://NHibernate/Dialect/SybaseSQLAnywhere11Dialect;cs+class://NHibernate/Dialect/SybaseSQLAnywhere10Dialect;(not implemented)
cs+class://NHibernate/Dialect/SybaseSQLAnywhere12Dialect;cs+class://NHibernate/Dialect/SybaseSQLAnywhere11Dialect;(not implemented)
cs+class://NHibernate/Driver/DB2Driver;cs+class://NHibernate/Driver/ReflectionBasedDriver;(not implemented)
cs+class://NHibernate/Driver/DotConnectMySqlDriver;cs+class://NHibernate/Driver/ReflectionBasedDriver;(not implemented)
cs+class://NHibernate/Driver/MySqlDataDriver;cs+class://NHibernate/Driver/ReflectionBasedDriver;(not implemented)
cs+class://NHibernate/Driver/NpgsqlDriver;cs+class://NHibernate/Driver/ReflectionBasedDriver;(not implemented)
cs+class://NHibernate/Driver/OracleClientDriver;cs+class://NHibernate/Driver/ReflectionBasedDriver;(not implemented)
cs+class://NHibernate/Driver/OracleDataClientDriver;cs+class://NHibernate/Driver/ReflectionBasedDriver;(not implemented)
cs+class://NHibernate/Driver/OracleManagedDataClientDriver;cs+class://NHibernate/Driver/ReflectionBasedDriver;(not implemented)
cs+class://NHibernate/Driver/SybaseAsaClientDriver;cs+class://NHibernate/Driver/ReflectionBasedDriver;(not implemented)
cs+class://NHibernate/Driver/SybaseAseClientDriver;cs+class://NHibernate/Driver/ReflectionBasedDriver;(not implemented)
cs+class://NHibernate/Driver/SybaseSQLAnywhereDotNet4Driver;cs+class://NHibernate/Driver/ReflectionBasedDriver;(not implemented)
cs+class://NHibernate/Driver/SybaseSQLAnywhereDriver;cs+class://NHibernate/Driver/ReflectionBasedDriver;(not implemented)
cs+class://NHibernate/Criterion/AndExpression;cs+class://NHibernate/Criterion/LogicalExpression;(not implemented)
cs+class://NHibernate/Criterion/EqPropertyExpression;cs+class://NHibernate/Criterion/PropertyExpression;(not implemented)
cs+class://NHibernate/Criterion/LePropertyExpression;cs+class://NHibernate/Criterion/PropertyExpression;(not implemented)
cs+class://NHibernate/Criterion/LtPropertyExpression;cs+class://NHibernate/Criterion/PropertyExpression;(not implemented)
cs+class://NHibernate/Criterion/MatchMode/ExactMatchMode;cs+class://NHibernate/Criterion/MatchMode;(not implemented)
cs+class://NHibernate/Criterion/MatchMode/StartMatchMode;cs+class://NHibernate/Criterion/MatchMode;(not implemented)
cs+class://NHibernate/Criterion/MatchMode/EndMatchMode;cs+class://NHibernate/Criterion/MatchMode;(not implemented)
