type;from;to;direct;marker;constants;systemType
II;cs+interface://OpenSim/IApplicationPlugin;cs+interface://OpenSim/Framework/IPlugin;True;False;False;True
CC;cs+class://OpenSim/ApplicationPluginInitialiser;cs+class://OpenSim/Framework/PluginInitialiserBase;True;False;False;True
CC;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;True;False;False;True
CC;cs+class://OpenSim/OpenSimBackground;cs+class://OpenSim/OpenSim;True;False;False;True
CC;cs+class://OpenSim/OpenSimBase;cs+class://OpenSim/Region/ClientStack/RegionApplicationBase;True;False;False;True
CC;cs+class://OpenSim/OpenSimBase/SimStatusHandler;cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;True;False;False;True
CC;cs+class://OpenSim/OpenSimBase/XSimStatusHandler;cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;True;False;False;True
CC;cs+class://OpenSim/OpenSimBase/UXSimStatusHandler;cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;True;False;False;True
CC;cs+class://OpenSim/Groups/ExtendedGroupRecord;cs+class://OpenSim/Framework/GroupRecord;True;False;False;True
CC;cs+class://OpenSim/Groups/ExtendedGroupMembershipData;cs+class://OpenSim/Framework/GroupMembershipData;True;False;False;True
CI;cs+class://OpenSim/Groups/GroupsMessagingModule;cs+interface://OpenSim/Region/Framework/Interfaces/ISharedRegionModule;True;False;False;True
CI;cs+class://OpenSim/Groups/GroupsMessagingModule;cs+interface://OpenSim/Region/Framework/Interfaces/IGroupsMessagingModule;True;False;False;True
CI;cs+class://OpenSim/Groups/GroupsModule;cs+interface://OpenSim/Region/Framework/Interfaces/ISharedRegionModule;True;False;False;True
CI;cs+class://OpenSim/Groups/GroupsModule;cs+interface://OpenSim/Region/Framework/Interfaces/IGroupsModule;True;False;False;True
CI;cs+class://OpenSim/Groups/GroupsServiceHGConnectorModule;cs+interface://OpenSim/Region/Framework/Interfaces/ISharedRegionModule;True;False;False;True
CI;cs+class://OpenSim/Groups/GroupsServiceHGConnectorModule;cs+interface://OpenSim/Groups/IGroupsServicesConnector;True;False;False;True
CC;cs+class://OpenSim/Groups/HGGroupsServiceRobustConnector;cs+class://OpenSim/Server/Handlers/Base/ServiceConnector;True;False;False;True
CC;cs+class://OpenSim/Groups/HGGroupsServicePostHandler;cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;True;False;False;True
CI;cs+class://OpenSim/Groups/GroupsServiceLocalConnectorModule;cs+interface://OpenSim/Region/Framework/Interfaces/ISharedRegionModule;True;False;False;True
CI;cs+class://OpenSim/Groups/GroupsServiceLocalConnectorModule;cs+interface://OpenSim/Groups/IGroupsServicesConnector;True;False;False;True
