direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;ReadExtraConfigSettings;cs+class://OpenSim/OpenSim/ReadExtraConfigSettings
False;FieldAccess;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;m_console;cs+class://OpenSim/OpenSim/StartupSpecific
False;FieldAccess;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;m_console;cs+class://OpenSim/OpenSim/StartupSpecific
False;FieldAccess;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;m_console;cs+class://OpenSim/OpenSim/StartupSpecific
False;FieldAccess;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;Config;cs+class://OpenSim/OpenSim/StartupSpecific
False;FieldAccess;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;m_console;cs+class://OpenSim/OpenSim/StartupSpecific
False;FieldAccess;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;m_console;cs+class://OpenSim/OpenSim/StartupSpecific
False;MethodCall;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;LogEnvironmentInformation;cs+class://OpenSim/OpenSim/StartupSpecific
False;MethodCall;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;RegisterCommonAppenders;cs+class://OpenSim/OpenSim/StartupSpecific
True;MethodCall;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;StartupSpecific;cs+class://OpenSim/OpenSim/StartupSpecific
True;FieldAccess;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;userStatsURI;cs+class://OpenSim/OpenSim/StartupSpecific
True;FieldAccess;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;managedStatsURI;cs+class://OpenSim/OpenSim/StartupSpecific
True;FieldAccess;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;managedStatsURI;cs+class://OpenSim/OpenSim/StartupSpecific
False;FieldAccess;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;m_console;cs+class://OpenSim/OpenSim/StartupSpecific
False;FieldAccess;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;m_httpServer;cs+class://OpenSim/OpenSim/StartupSpecific
False;MethodCall;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;RunCommandScript;cs+class://OpenSim/OpenSim/StartupSpecific
False;FieldAccess;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;m_console;cs+class://OpenSim/OpenSim/RegisterConsoleCommands
False;MethodCall;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;RunCommandScript;cs+class://OpenSim/OpenSim/ShutdownSpecific
True;MethodCall;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;ShutdownSpecific;cs+class://OpenSim/OpenSim/ShutdownSpecific
False;MethodCall;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;RunCommandScript;cs+class://OpenSim/OpenSim/RunAutoTimerScript
True;MethodCall;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;PopulateRegionEstateInfo;cs+class://OpenSim/OpenSim/HandleCreateRegion
True;MethodCall;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;CreateRegion;cs+class://OpenSim/OpenSim/HandleCreateRegion
True;MethodCall;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;RemoveRegion;cs+class://OpenSim/OpenSim/RunCommand
True;MethodCall;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;RemoveRegion;cs+class://OpenSim/OpenSim/RunCommand
True;MethodCall;cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;HandleRestartRegion;cs+class://OpenSim/OpenSim/HandleRestartRegion
