From;To;Source
cs+class://OpenSim/OpenSim;cs+class://OpenSim/OpenSimBase;(not implemented)
cs+class://OpenSim/OpenSimBackground;cs+class://OpenSim/OpenSim;(not implemented)
cs+class://OpenSim/OpenSimBase;cs+class://OpenSim/Region/ClientStack/RegionApplicationBase;(not implemented)
cs+class://OpenSim/OpenSimBase/SimStatusHandler;cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;(not implemented)
cs+class://OpenSim/OpenSimBase/XSimStatusHandler;cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;(not implemented)
cs+class://OpenSim/OpenSimBase/UXSimStatusHandler;cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;(not implemented)
cs+class://OpenSim/Groups/HGGroupsServiceRobustConnector;cs+class://OpenSim/Server/Handlers/Base/ServiceConnector;(not implemented)
cs+class://OpenSim/Groups/HGGroupsServicePostHandler;cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;(not implemented)
cs+class://OpenSim/Groups/GroupsServiceRobustConnector;cs+class://OpenSim/Server/Handlers/Base/ServiceConnector;(not implemented)
cs+class://OpenSim/Groups/GroupsServicePostHandler;cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;(not implemented)
cs+class://OpenSim/Groups/GroupsService;cs+class://OpenSim/Groups/GroupsServiceBase;(not implemented)
cs+class://OpenSim/Groups/GroupsServiceBase;cs+class://OpenSim/Services/Base/ServiceBase;(not implemented)
cs+class://OpenSim/Groups/HGGroupsService;cs+class://OpenSim/Groups/GroupsService;(not implemented)
cs+class://OpenSim/OfflineIM/OfflineIMServiceRobustConnector;cs+class://OpenSim/Server/Handlers/Base/ServiceConnector;(not implemented)
cs+class://OpenSim/OfflineIM/OfflineIMServicePostHandler;cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;(not implemented)
cs+class://OpenSim/OfflineIM/OfflineIMService;cs+class://OpenSim/OfflineIM/OfflineIMServiceBase;(not implemented)
cs+class://OpenSim/OfflineIM/OfflineIMServiceBase;cs+class://OpenSim/Services/Base/ServiceBase;(not implemented)
cs+class://OpenSim/Framework/Capabilities/LLSDStreamhandler[2];cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;(not implemented)
cs+class://OpenSim/Framework/Capabilities/OSDMap;cs+class://OpenSim/Framework/Capabilities/LLSDType;(not implemented)
cs+class://OpenSim/Capabilities/Handlers/AvatarPickerSearchHandler;cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;(not implemented)
cs+class://OpenSim/Capabilities/Handlers/FetchInventory2ServerConnector;cs+class://OpenSim/Server/Handlers/Base/ServiceConnector;(not implemented)
cs+class://OpenSim/Capabilities/Handlers/GetMeshServerConnector;cs+class://OpenSim/Server/Handlers/Base/ServiceConnector;(not implemented)
cs+class://OpenSim/Capabilities/Handlers/GetTextureHandler;cs+class://OpenSim/Framework/Servers/HttpServer/BaseStreamHandler;(not implemented)
cs+class://OpenSim/Capabilities/Handlers/GetTextureServerConnector;cs+class://OpenSim/Server/Handlers/Base/ServiceConnector;(not implemented)
cs+class://OpenSim/Capabilities/Handlers/UploadBakedTextureServerConnector;cs+class://OpenSim/Server/Handlers/Base/ServiceConnector;(not implemented)
cs+class://OpenSim/Capabilities/Handlers/WebFetchInvDescServerConnector;cs+class://OpenSim/Server/Handlers/Base/ServiceConnector;(not implemented)
cs+class://OpenSim/Data/MSSQL/MSSQLAvatarData;cs+class://OpenSim/Data/MSSQL/MSSQLGenericTableHandler[1];(not implemented)
