fromType;toType;fromMethod;toMethod;calledFrom
cs+class://OpenTK/Platform/Egl/EglUnixContext;cs+class://OpenTK/Platform/Egl/EglContext;IntPtr GetStaticAddress(IntPtr, UnknownType);IntPtr GetStaticAddress(IntPtr, UnknownType);GetAddress
cs+class://OpenTK/Platform/Egl/EglUnixContext;cs+class://OpenTK/Platform/Egl/EglContext;Void Dispose(Boolean);Void Dispose(Boolean);Dispose
cs+class://OpenTK/Platform/Egl/EglUnixContext;cs+class://OpenTK/Platform/Egl/EglContext;Void Dispose(Boolean);Void Dispose(Boolean);(field initializer)
cs+class://OpenTK/Platform/Egl/EglWinContext;cs+class://OpenTK/Platform/Egl/EglContext;IntPtr GetStaticAddress(IntPtr, UnknownType);IntPtr GetStaticAddress(IntPtr, UnknownType);GetAddress
cs+class://OpenTK/Platform/Egl/EglWinContext;cs+class://OpenTK/Platform/Egl/EglContext;Void Dispose(Boolean);Void Dispose(Boolean);Dispose
cs+class://OpenTK/Platform/Egl/EglWinContext;cs+class://OpenTK/Platform/Egl/EglContext;Void Dispose(Boolean);Void Dispose(Boolean);(field initializer)
cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;Void Dispose();Void Dispose();Dispose
cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;Void OnClosing(CancelEventArgs);Void OnClosing(CancelEventArgs);OnClosingInternal
cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;Void OnResize(EventArgs);Void OnResize(EventArgs);OnResizeInternal
cs+class://OpenTK/Platform/Dummy/DummyGLContext;cs+class://OpenTK/Platform/DesktopGraphicsContext;Void Dispose(Boolean);Void Dispose(Boolean);Dispose
cs+class://OpenTK/Platform/Dummy/DummyGLContext;cs+class://OpenTK/Platform/DesktopGraphicsContext;Void Dispose(Boolean);Void Dispose(Boolean);(field initializer)
cs+class://OpenTK/Platform/Egl/EglContext;cs+class://OpenTK/Platform/EmbeddedGraphicsContext;Void Dispose(Boolean);Void Dispose(Boolean);Dispose
cs+class://OpenTK/Platform/Egl/EglContext;cs+class://OpenTK/Platform/EmbeddedGraphicsContext;Void Dispose(Boolean);Void Dispose(Boolean);(field initializer)
cs+class://OpenTK/Platform/MacOS/MacOSFactory;cs+class://OpenTK/Platform/PlatformFactoryBase;Void Dispose(Boolean);Void Dispose(Boolean);Dispose
cs+class://OpenTK/Platform/MacOS/MacOSFactory;cs+class://OpenTK/Platform/PlatformFactoryBase;Void Dispose(Boolean);Void Dispose(Boolean);(field initializer)
cs+class://OpenTK/Platform/Windows/WinFactory;cs+class://OpenTK/Platform/PlatformFactoryBase;Void Dispose(Boolean);Void Dispose(Boolean);Dispose
cs+class://OpenTK/Platform/Windows/WinFactory;cs+class://OpenTK/Platform/PlatformFactoryBase;Void Dispose(Boolean);Void Dispose(Boolean);(field initializer)
cs+class://OpenTK/Platform/Windows/WinRawInput;cs+class://OpenTK/Platform/Windows/WinInputBase;Void CreateDrivers();Void CreateDrivers();ProcessEvents
cs+class://OpenTK/Platform/Windows/WinRawInput;cs+class://OpenTK/Platform/Windows/WinInputBase;IntPtr WindowProcedure(IntPtr, UnknownType, IntPtr, IntPtr);IntPtr WindowProcedure(IntPtr, UnknownType, IntPtr, IntPtr);WndProcHandler
cs+class://OpenTK/Platform/Windows/WinRawInput;cs+class://OpenTK/Platform/Windows/WinInputBase;Void Dispose(Boolean);Void Dispose(Boolean);Dispose
cs+class://OpenTK/Platform/Windows/WinRawInput;cs+class://OpenTK/Platform/Windows/WinInputBase;Void Dispose(Boolean);Void Dispose(Boolean);(field initializer)
cs+class://OpenTK/Platform/Windows/WinGLNative;cs+class://OpenTK/Platform/NativeWindowBase;Void Dispose(Boolean);Void Dispose(Boolean);Dispose
cs+class://OpenTK/Platform/Windows/WinGLNative;cs+class://OpenTK/Platform/NativeWindowBase;Void Dispose(Boolean);Void Dispose(Boolean);(field initializer)
cs+class://OpenTK/Platform/Windows/WinGLContext;cs+class://OpenTK/Platform/DesktopGraphicsContext;Void Dispose(Boolean);Void Dispose(Boolean);Dispose
cs+class://OpenTK/Platform/Windows/WinGLContext;cs+class://OpenTK/Platform/DesktopGraphicsContext;Void Dispose(Boolean);Void Dispose(Boolean);(field initializer)
cs+class://OpenTK/Platform/X11/X11GLNative;cs+class://OpenTK/Platform/NativeWindowBase;Void Dispose(Boolean);Void Dispose(Boolean);Dispose
cs+class://OpenTK/Platform/X11/X11GLNative;cs+class://OpenTK/Platform/NativeWindowBase;Void Dispose(Boolean);Void Dispose(Boolean);(field initializer)
cs+class://OpenTK/Platform/X11/X11GLContext;cs+class://OpenTK/Platform/DesktopGraphicsContext;Void Dispose(Boolean);Void Dispose(Boolean);Dispose
cs+class://OpenTK/Platform/X11/X11GLContext;cs+class://OpenTK/Platform/DesktopGraphicsContext;Void Dispose(Boolean);Void Dispose(Boolean);(field initializer)
cs+class://OpenTK/Platform/X11/X11Factory;cs+class://OpenTK/Platform/PlatformFactoryBase;Void Dispose(Boolean);Void Dispose(Boolean);Dispose
