type;from;to;direct;marker;constants;systemType
CI;cs+class://OpenTK/Graphics/GraphicsModeComparer;cs+interface://System/Collections/Generic/IComparer[1];True;False;False;False
CI;cs+class://OpenTK/Input/GamePadThumbSticks;cs+interface://System/IEquatable[1];True;False;False;False
CI;cs+class://OpenTK/Input/GamePadTriggers;cs+interface://System/IEquatable[1];True;False;False;False
II;cs+interface://OpenTK/Input/IInputDriver2;cs+interface://System/IDisposable;True;False;False;False
CI;cs+class://OpenTK/Input/JoystickCapabilities;cs+interface://System/IEquatable[1];True;False;False;False
CI;cs+class://OpenTK/Input/JoystickState;cs+interface://System/IEquatable[1];True;False;False;False
CI;cs+class://OpenTK/Matrix2;cs+interface://System/IEquatable[1];True;False;False;False
CI;cs+class://OpenTK/Matrix2d;cs+interface://System/IEquatable[1];True;False;False;False
CI;cs+class://OpenTK/Matrix2x3;cs+interface://System/IEquatable[1];True;False;False;False
CI;cs+class://OpenTK/Matrix2x3d;cs+interface://System/IEquatable[1];True;False;False;False
CI;cs+class://OpenTK/Matrix2x4;cs+interface://System/IEquatable[1];True;False;False;False
CI;cs+class://OpenTK/Matrix2x4d;cs+interface://System/IEquatable[1];True;False;False;False
CI;cs+class://OpenTK/Matrix3;cs+interface://System/IEquatable[1];True;False;False;False
CI;cs+class://OpenTK/Matrix3x2;cs+interface://System/IEquatable[1];True;False;False;False
CI;cs+class://OpenTK/Matrix3x2d;cs+interface://System/IEquatable[1];True;False;False;False
CI;cs+class://OpenTK/Matrix3x4;cs+interface://System/IEquatable[1];True;False;False;False
CI;cs+class://OpenTK/Matrix3x4d;cs+interface://System/IEquatable[1];True;False;False;False
CI;cs+class://OpenTK/Matrix4x2;cs+interface://System/IEquatable[1];True;False;False;False
CI;cs+class://OpenTK/Matrix4x2d;cs+interface://System/IEquatable[1];True;False;False;False
CI;cs+class://OpenTK/Matrix4x3;cs+interface://System/IEquatable[1];True;False;False;False
CI;cs+class://OpenTK/Matrix4x3d;cs+interface://System/IEquatable[1];True;False;False;False
CI;cs+class://OpenTK/Platform/DisplayDeviceBase;cs+interface://OpenTK/Platform/IDisplayDeviceDriver;True;False;False;True
