direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://OpenTK/Platform/Egl/EglUnixContext;cs+class://OpenTK/Platform/Egl/EglContext;Dispose;cs+class://OpenTK/Platform/Egl/EglUnixContext/Dispose
True;MethodCall;cs+class://OpenTK/Platform/Egl/EglWinContext;cs+class://OpenTK/Platform/Egl/EglContext;Dispose;cs+class://OpenTK/Platform/Egl/EglWinContext/Dispose
True;FieldAccess;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;WindowInfo;cs+class://OpenTK/GameWindow/(field initializer)
True;FieldAccess;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;WindowInfo;cs+class://OpenTK/GameWindow/(field initializer)
True;MethodCall;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;Dispose;cs+class://OpenTK/GameWindow/(field initializer)
True;MethodCall;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;Dispose;cs+class://OpenTK/GameWindow/Dispose
True;MethodCall;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;Dispose;cs+class://OpenTK/GameWindow/Dispose
True;MethodCall;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;Close;cs+class://OpenTK/GameWindow/Exit
True;MethodCall;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;EnsureUndisposed;cs+class://OpenTK/GameWindow/MakeCurrent
True;FieldAccess;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;WindowInfo;cs+class://OpenTK/GameWindow/MakeCurrent
True;MethodCall;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;OnClosing;cs+class://OpenTK/GameWindow/OnClosing
True;MethodCall;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;EnsureUndisposed;cs+class://OpenTK/GameWindow/Run
True;FieldAccess;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;Visible;cs+class://OpenTK/GameWindow/Run
True;MethodCall;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;ProcessEvents;cs+class://OpenTK/GameWindow/Run
True;FieldAccess;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;Exists;cs+class://OpenTK/GameWindow/Run
True;FieldAccess;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;Move;cs+class://OpenTK/GameWindow/Run
True;FieldAccess;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;Resize;cs+class://OpenTK/GameWindow/Run
True;FieldAccess;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;Exists;cs+class://OpenTK/GameWindow/Run
True;MethodCall;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;EnsureUndisposed;cs+class://OpenTK/GameWindow/SwapBuffers
True;MethodCall;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;EnsureUndisposed;cs+class://OpenTK/GameWindow/(field initializer)
True;MethodCall;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;EnsureUndisposed;cs+class://OpenTK/GameWindow/(field initializer)
True;MethodCall;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;EnsureUndisposed;cs+class://OpenTK/GameWindow/(field initializer)
True;MethodCall;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;EnsureUndisposed;cs+class://OpenTK/GameWindow/(field initializer)
True;MethodCall;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;EnsureUndisposed;cs+class://OpenTK/GameWindow/(field initializer)
True;MethodCall;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;EnsureUndisposed;cs+class://OpenTK/GameWindow/(field initializer)
True;MethodCall;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;EnsureUndisposed;cs+class://OpenTK/GameWindow/(field initializer)
True;MethodCall;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;EnsureUndisposed;cs+class://OpenTK/GameWindow/(field initializer)
True;MethodCall;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;EnsureUndisposed;cs+class://OpenTK/GameWindow/(field initializer)
True;MethodCall;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;EnsureUndisposed;cs+class://OpenTK/GameWindow/(field initializer)
True;MethodCall;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;EnsureUndisposed;cs+class://OpenTK/GameWindow/(field initializer)
True;MethodCall;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;EnsureUndisposed;cs+class://OpenTK/GameWindow/(field initializer)
