direct?;source;from;to;from declaration
True;Cast;cs+interface://OpenTK/Input/IInputDriver2;cs+interface://System/IDisposable;Dispose in OpenTK.Platform.X11.X11Factory
False;Return;cs+class://OpenTK/Platform/Egl/EglUnixContext;cs+class://OpenTK/Platform/Egl/EglContext;CreateGLContext in OpenTK.Platform.Egl.EglX11PlatformFactory
False;Return;cs+class://OpenTK/Platform/Egl/EglUnixContext;cs+class://OpenTK/Platform/Egl/EglContext;CreateGLContext in OpenTK.Platform.Egl.EglX11PlatformFactory
False;ThisChangingType;cs+class://OpenTK/Platform/Egl/EglUnixContext;cs+class://OpenTK/Platform/Egl/EglContext;Implementation in OpenTK.Graphics.GraphicsContextBase
False;ThisChangingType;cs+class://OpenTK/Platform/Egl/EglUnixContext;cs+class://OpenTK/Platform/Egl/EglContext;Dispose in OpenTK.Graphics.GraphicsContextBase
False;Return;cs+class://OpenTK/Platform/Egl/EglWinContext;cs+class://OpenTK/Platform/Egl/EglContext;CreateGLContext in OpenTK.Platform.Egl.EglWinPlatformFactory
False;Return;cs+class://OpenTK/Platform/Egl/EglWinContext;cs+class://OpenTK/Platform/Egl/EglContext;CreateGLContext in OpenTK.Platform.Egl.EglWinPlatformFactory
False;ThisChangingType;cs+class://OpenTK/Platform/Egl/EglWinContext;cs+class://OpenTK/Platform/Egl/EglContext;Implementation in OpenTK.Graphics.GraphicsContextBase
False;ThisChangingType;cs+class://OpenTK/Platform/Egl/EglWinContext;cs+class://OpenTK/Platform/Egl/EglContext;Dispose in OpenTK.Graphics.GraphicsContextBase
True;Assignment;cs+class://OpenTK/Platform/MappedGamePadDriver;cs+interface://OpenTK/Input/IGamePadDriver;CreateDrivers in OpenTK.Platform.Windows.WinRawInput
True;Return;cs+class://OpenTK/Platform/MappedGamePadDriver;cs+interface://OpenTK/Input/IGamePadDriver;CreateGamePadDriver in OpenTK.Platform.PlatformFactoryBase
True;VariableInitializer;cs+class://OpenTK/Platform/MappedGamePadDriver;cs+interface://OpenTK/Input/IGamePadDriver;(field initializer) in OpenTK.Platform.X11.X11Input
True;VariableInitializer;cs+class://OpenTK/Platform/MappedGamePadDriver;cs+interface://OpenTK/Input/IGamePadDriver;(field initializer) in OpenTK.Platform.X11.XI2Input
True;Assignment;cs+class://OpenTK/Platform/Windows/XInputJoystick;cs+interface://OpenTK/Input/IGamePadDriver;CreateDrivers in OpenTK.Platform.Windows.WinRawInput
True;VariableInitializer;cs+class://OpenTK/NativeWindow;cs+interface://OpenTK/INativeWindow;ConstructMessageWindow in OpenTK.Platform.Windows.WinInputBase
False;Parameter;cs+class://OpenTK/NativeWindow;cs+interface://OpenTK/INativeWindow;NativeWindow in OpenTK.NativeWindow
True;Assignment;cs+class://OpenTK/NativeWindow;cs+interface://OpenTK/INativeWindow;WinGLContext in OpenTK.Platform.Windows.WinGLContext
True;VariableInitializer;cs+class://OpenTK/NativeWindow;cs+interface://OpenTK/INativeWindow;StartAsync in Examples.WinForms.Extensions
True;ThisChangingType;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;NativeWindow in OpenTK.NativeWindow
True;ThisChangingType;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;Dispose in OpenTK.NativeWindow
True;ThisChangingType;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;OnClosed in OpenTK.NativeWindow
True;ThisChangingType;cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;OnClosing in OpenTK.NativeWindow
