From;To;Source
cs+class://OpenTK/Platform/Egl/EglUnixContext;cs+class://OpenTK/Platform/Egl/EglContext;(not implemented)
cs+class://OpenTK/Platform/Egl/EglWinContext;cs+class://OpenTK/Platform/Egl/EglContext;(not implemented)
cs+class://OpenTK/GameWindow;cs+class://OpenTK/NativeWindow;(not implemented)
cs+class://OpenTK/PlatformException;cs+class://System/Exception;(not implemented)
cs+class://OpenTK/Platform/MacOS/MacOSException;cs+class://System/Exception;(not implemented)
cs+class://OpenTK/Platform/Windows/WinRawInput;cs+class://OpenTK/Platform/Windows/WinInputBase;(not implemented)
cs+class://OpenTK/GraphicsException;cs+class://System/Exception;(not implemented)
cs+class://OpenTK/Graphics/GraphicsErrorException;cs+class://OpenTK/GraphicsException;(not implemented)
cs+class://OpenTK/Graphics/GraphicsModeException;cs+class://System/Exception;(not implemented)
cs+class://OpenTK/Graphics/GraphicsContextMissingException;cs+class://OpenTK/Graphics/GraphicsContextException;(not implemented)
cs+class://OpenTK/Graphics/GraphicsContextException;cs+class://System/Exception;(not implemented)
cs+class://OpenTK/Input/JoystickDevice[1];cs+class://OpenTK/Input/JoystickDevice;(not implemented)
cs+class://OpenTK/Audio/AudioDeviceException;cs+class://OpenTK/Audio/AudioException;(not implemented)
cs+class://OpenTK/Audio/AudioContextException;cs+class://OpenTK/Audio/AudioException;(not implemented)
cs+class://OpenTK/Audio/AudioValueException;cs+class://OpenTK/Audio/AudioException;(not implemented)
cs+class://OpenTK/Audio/AudioException;cs+class://System/Exception;(not implemented)
cs+class://OpenTK/Platform/LegacyJoystickDriver/LegacyJoystickDevice;cs+class://OpenTK/Input/JoystickDevice;(not implemented)
cs+class://OpenTK/MouseCursor;cs+class://OpenTK/WindowIcon;(not implemented)
cs+class://OpenTK/Input/MouseMoveEventArgs;cs+class://OpenTK/Input/MouseEventArgs;(not implemented)
cs+class://OpenTK/Input/MouseButtonEventArgs;cs+class://OpenTK/Input/MouseEventArgs;(not implemented)
cs+class://OpenTK/Input/MouseWheelEventArgs;cs+class://OpenTK/Input/MouseEventArgs;(not implemented)
cs+class://OpenTK/Platform/Linux/LinuxWindowInfo;cs+class://OpenTK/Platform/Egl/EglWindowInfo;(not implemented)
cs+class://OpenTK/Platform/Linux/LinuxGraphicsContext;cs+class://OpenTK/Platform/Egl/EglUnixContext;(not implemented)
cs+class://OpenTK/Platform/Linux/LinuxInput/KeyboardDevice;cs+class://OpenTK/Platform/Linux/LinuxInput/DeviceBase;(not implemented)
cs+class://OpenTK/Platform/Linux/LinuxInput/MouseDevice;cs+class://OpenTK/Platform/Linux/LinuxInput/DeviceBase;(not implemented)
cs+class://OpenTK/TexturePackerFullException;cs+class://System/Exception;(not implemented)
cs+class://OpenTK/Graphics/DisplayListTextHandle;cs+class://OpenTK/Graphics/TextHandle;(not implemented)
cs+class://OpenTK/Graphics/VboTextHandle;cs+class://OpenTK/Graphics/TextHandle;(not implemented)
cs+class://OpenTK/Graphics/AlphaTexture2D;cs+class://OpenTK/Graphics/Texture2D;(not implemented)
cs+class://OpenTK/Graphics/GraphicsResourceException;cs+class://System/Exception;(not implemented)
cs+class://OpenTK/Graphics/RgbaTexture2D;cs+class://OpenTK/Graphics/Texture2D;(not implemented)
cs+class://OpenTK/Graphics/Text/TexturePackerFullException;cs+class://System/Exception;(not implemented)
cs+class://OpenTK/Audio/AudioReaderException;cs+class://OpenTK/Audio/AudioException;(not implemented)
cs+class://Examples/Tutorial/Anaglyph;cs+class://OpenTK/GameWindow;(not implemented)
cs+class://Examples/Tutorial/GLDiagnostics;cs+class://OpenTK/GameWindow;(not implemented)
cs+class://Examples/Tutorial/TextRendering;cs+class://OpenTK/GameWindow;(not implemented)
cs+class://Examples/Tutorial/MouseCursorSimple;cs+class://OpenTK/GameWindow;(not implemented)
cs+class://Examples/Tutorial/TestShaderUtf8Support;cs+class://OpenTK/GameWindow;(not implemented)
cs+class://Examples/Tutorial/T07_Display_Lists_Flower;cs+class://OpenTK/GameWindow;(not implemented)
cs+class://Examples/Tutorial/StencilCSG;cs+class://OpenTK/GameWindow;(not implemented)
cs+class://Examples/Tutorial/T02_Vertex_Arrays;cs+class://OpenTK/GameWindow;(not implemented)
cs+class://Examples/Tutorial/T04_Vertex_Lighting;cs+class://OpenTK/GameWindow;(not implemented)
cs+class://Examples/Tutorial/Textures;cs+class://OpenTK/GameWindow;(not implemented)
cs+class://Examples/Tutorial/T09_VBO_Dynamic;cs+class://OpenTK/GameWindow;(not implemented)
cs+class://Examples/Tutorial/SimpleFBO;cs+class://OpenTK/GameWindow;(not implemented)
cs+class://Examples/Tutorial/T03_Immediate_Mode_Cube;cs+class://OpenTK/GameWindow;(not implemented)
cs+class://Examples/Tutorial/T08_VBO;cs+class://OpenTK/GameWindow;(not implemented)
cs+class://Examples/Tutorial/TextureMatrix;cs+class://OpenTK/GameWindow;(not implemented)
cs+class://Examples/Tutorial/Picking;cs+class://OpenTK/GameWindow;(not implemented)
cs+class://Examples/Tutorial/T10_GLSL_Cube;cs+class://OpenTK/GameWindow;(not implemented)
cs+class://Examples/Tutorial/SimpleGeometryShader;cs+class://OpenTK/GameWindow;(not implemented)
cs+class://Examples/Tutorial/T13_GLSL_Earth;cs+class://OpenTK/GameWindow;(not implemented)
