direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://Microsoft/DbContextPackage/Extensions/CompilerErrorException;cs+class://System/Exception;GetObjectData;cs+class://Microsoft/DbContextPackage/Extensions/CompilerErrorException/GetObjectData
True;MethodCall;cs+class://Microsoft/DbContextPackage/Extensions/EdmSchemaErrorException;cs+class://System/Exception;GetObjectData;cs+class://Microsoft/DbContextPackage/Extensions/EdmSchemaErrorException/GetObjectData
True;MethodCall;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGeneratorBase;Write;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator/TransformText
True;MethodCall;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGeneratorBase;ToStringHelper;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator/TransformText
True;MethodCall;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGeneratorBase;Write;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator/TransformText
True;MethodCall;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGeneratorBase;Write;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator/TransformText
True;MethodCall;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGeneratorBase;ToStringHelper;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator/TransformText
True;MethodCall;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGeneratorBase;Write;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator/TransformText
True;MethodCall;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGeneratorBase;Write;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator/TransformText
True;MethodCall;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGeneratorBase;ToStringHelper;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator/TransformText
True;MethodCall;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGeneratorBase;Write;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator/TransformText
True;MethodCall;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGeneratorBase;Write;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator/TransformText
True;MethodCall;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGeneratorBase;ToStringHelper;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator/TransformText
True;MethodCall;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGeneratorBase;Write;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator/TransformText
True;MethodCall;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGeneratorBase;Write;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator/TransformText
True;MethodCall;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGeneratorBase;Write;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator/TransformText
True;MethodCall;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGeneratorBase;ToStringHelper;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator/TransformText
True;MethodCall;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGeneratorBase;Write;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator/TransformText
True;MethodCall;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGeneratorBase;ToStringHelper;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator/TransformText
True;MethodCall;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGeneratorBase;Write;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator/TransformText
True;MethodCall;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGeneratorBase;Write;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator/TransformText
True;MethodCall;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGeneratorBase;Write;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator/TransformText
True;MethodCall;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGeneratorBase;Write;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator/TransformText
True;MethodCall;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGeneratorBase;ToStringHelper;cs+class://Microsoft/DbContextPackage/Utilities/VBViewGenerator/TransformText
