fromType;toType;fromMethod;toMethod;calledFrom
cs+class://Raven/Database/Client/Aws/RavenAwsGlacierClient;cs+class://Raven/Database/Client/Aws/RavenAwsClient;String GetHost(String);String GetHost(String);ConvertToHeaders
cs+class://Raven/Database/Client/Aws/RavenAwsGlacierClient;cs+class://Raven/Database/Client/Aws/RavenAwsClient;String GetHost(String);String GetHost(String);GetUrl
cs+class://Raven/Database/Client/Aws/RavenAwsS3Client;cs+class://Raven/Database/Client/Aws/RavenAwsClient;String GetHost(String);String GetHost(String);ConvertToHeaders
cs+class://Raven/Database/Client/Aws/RavenAwsS3Client;cs+class://Raven/Database/Client/Aws/RavenAwsClient;String GetHost(String);String GetHost(String);GetUrl
cs+class://Raven/Database/Impl/DTC/DtcNotSupportedTransactionalState;cs+class://Raven/Database/Impl/DTC/InFlightTransactionalState;Void Rollback(String);Void Rollback(String);AddToTransactionState
cs+class://Raven/Database/Bundles/ScriptedIndexResults/ScriptedIndexResultsJsonPatcherScope;cs+class://Raven/Database/Json/DefaultScriptedJsonPatcherOperationScope;Void ValidateDocument(UnknownType);Void ValidateDocument(UnknownType);PutDocument
cs+class://Raven/Bundles/Encryption/Plugin/DocumentEncryption;cs+class://Raven/Database/Plugins/AbstractDocumentCodec;Void Initialize();Void Initialize();Initialize
cs+class://Raven/Bundles/Replication/Responders/AttachmentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];UnknownType TryGetExisting(String, UnknownType, UnknownType, UnknownType);UnknownType TryGetExisting(String, UnknownType, UnknownType, UnknownType);Replicate
cs+class://Raven/Bundles/Replication/Responders/AttachmentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Void AddWithoutConflict(String, UnknownType, UnknownType, UnknownType);Void AddWithoutConflict(String, UnknownType, UnknownType, UnknownType);Replicate
cs+class://Raven/Bundles/Replication/Responders/AttachmentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Void AddWithoutConflict(String, UnknownType, UnknownType, UnknownType);Void AddWithoutConflict(String, UnknownType, UnknownType, UnknownType);Replicate
cs+class://Raven/Bundles/Replication/Responders/AttachmentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Boolean TryResolveConflict(String, UnknownType, UnknownType, UnknownType, UnknownType, UnknownType);Boolean TryResolveConflict(String, UnknownType, UnknownType, UnknownType, UnknownType, UnknownType);Replicate
cs+class://Raven/Bundles/Replication/Responders/AttachmentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Void DeleteItem(String, UnknownType);Void DeleteItem(String, UnknownType);Replicate
cs+class://Raven/Bundles/Replication/Responders/AttachmentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Void MarkAsDeleted(String, UnknownType);Void MarkAsDeleted(String, UnknownType);Replicate
cs+class://Raven/Bundles/Replication/Responders/AttachmentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Void AddWithoutConflict(String, UnknownType, UnknownType, UnknownType);Void AddWithoutConflict(String, UnknownType, UnknownType, UnknownType);Replicate
cs+class://Raven/Bundles/Replication/Responders/AttachmentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];CreatedConflict AppendToCurrentItemConflicts(String, String, UnknownType, UnknownType);CreatedConflict AppendToCurrentItemConflicts(String, String, UnknownType, UnknownType);Replicate
cs+class://Raven/Bundles/Replication/Responders/AttachmentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];CreatedConflict CreateConflict(String, String, String, UnknownType, UnknownType);CreatedConflict CreateConflict(String, String, String, UnknownType, UnknownType);Replicate
cs+class://Raven/Bundles/Replication/Responders/AttachmentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Void AddWithoutConflict(String, UnknownType, UnknownType, UnknownType);Void AddWithoutConflict(String, UnknownType, UnknownType, UnknownType);SaveConflictedItem
cs+class://Raven/Bundles/Replication/Responders/AttachmentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];UnknownType TryGetExisting(String, UnknownType, UnknownType, UnknownType);UnknownType TryGetExisting(String, UnknownType, UnknownType, UnknownType);ReplicateDelete
cs+class://Raven/Bundles/Replication/Responders/AttachmentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Void MarkAsDeleted(String, UnknownType);Void MarkAsDeleted(String, UnknownType);ReplicateDelete
cs+class://Raven/Bundles/Replication/Responders/AttachmentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Void DeleteItem(String, UnknownType);Void DeleteItem(String, UnknownType);ReplicateDelete
cs+class://Raven/Bundles/Replication/Responders/AttachmentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Void MarkAsDeleted(String, UnknownType);Void MarkAsDeleted(String, UnknownType);ReplicateDelete
cs+class://Raven/Bundles/Replication/Responders/AttachmentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];CreatedConflict AppendToCurrentItemConflicts(String, String, UnknownType, UnknownType);CreatedConflict AppendToCurrentItemConflicts(String, String, UnknownType, UnknownType);ReplicateDelete
cs+class://Raven/Bundles/Replication/Responders/AttachmentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Boolean TryResolveConflict(String, UnknownType, UnknownType, UnknownType, UnknownType, UnknownType);Boolean TryResolveConflict(String, UnknownType, UnknownType, UnknownType, UnknownType, UnknownType);ReplicateDelete
cs+class://Raven/Bundles/Replication/Responders/AttachmentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Void AddWithoutConflict(String, UnknownType, UnknownType, UnknownType);Void AddWithoutConflict(String, UnknownType, UnknownType, UnknownType);ReplicateDelete
cs+class://Raven/Bundles/Replication/Responders/AttachmentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];CreatedConflict CreateConflict(String, String, String, UnknownType, UnknownType);CreatedConflict CreateConflict(String, String, String, UnknownType, UnknownType);ReplicateDelete
cs+class://Raven/Bundles/Replication/Responders/DocumentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];UnknownType TryGetExisting(String, UnknownType, UnknownType, UnknownType);UnknownType TryGetExisting(String, UnknownType, UnknownType, UnknownType);Replicate
cs+class://Raven/Bundles/Replication/Responders/DocumentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Void AddWithoutConflict(String, UnknownType, UnknownType, UnknownType);Void AddWithoutConflict(String, UnknownType, UnknownType, UnknownType);Replicate
cs+class://Raven/Bundles/Replication/Responders/DocumentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Void AddWithoutConflict(String, UnknownType, UnknownType, UnknownType);Void AddWithoutConflict(String, UnknownType, UnknownType, UnknownType);Replicate
cs+class://Raven/Bundles/Replication/Responders/DocumentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Boolean TryResolveConflict(String, UnknownType, UnknownType, UnknownType, UnknownType, UnknownType);Boolean TryResolveConflict(String, UnknownType, UnknownType, UnknownType, UnknownType, UnknownType);Replicate
cs+class://Raven/Bundles/Replication/Responders/DocumentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Void DeleteItem(String, UnknownType);Void DeleteItem(String, UnknownType);Replicate
cs+class://Raven/Bundles/Replication/Responders/DocumentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Void MarkAsDeleted(String, UnknownType);Void MarkAsDeleted(String, UnknownType);Replicate
cs+class://Raven/Bundles/Replication/Responders/DocumentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Void AddWithoutConflict(String, UnknownType, UnknownType, UnknownType);Void AddWithoutConflict(String, UnknownType, UnknownType, UnknownType);Replicate
cs+class://Raven/Bundles/Replication/Responders/DocumentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];CreatedConflict AppendToCurrentItemConflicts(String, String, UnknownType, UnknownType);CreatedConflict AppendToCurrentItemConflicts(String, String, UnknownType, UnknownType);Replicate
cs+class://Raven/Bundles/Replication/Responders/DocumentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];CreatedConflict CreateConflict(String, String, String, UnknownType, UnknownType);CreatedConflict CreateConflict(String, String, String, UnknownType, UnknownType);Replicate
cs+class://Raven/Bundles/Replication/Responders/DocumentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Void AddWithoutConflict(String, UnknownType, UnknownType, UnknownType);Void AddWithoutConflict(String, UnknownType, UnknownType, UnknownType);SaveConflictedItem
cs+class://Raven/Bundles/Replication/Responders/DocumentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];UnknownType TryGetExisting(String, UnknownType, UnknownType, UnknownType);UnknownType TryGetExisting(String, UnknownType, UnknownType, UnknownType);ReplicateDelete
cs+class://Raven/Bundles/Replication/Responders/DocumentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Void MarkAsDeleted(String, UnknownType);Void MarkAsDeleted(String, UnknownType);ReplicateDelete
cs+class://Raven/Bundles/Replication/Responders/DocumentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Void DeleteItem(String, UnknownType);Void DeleteItem(String, UnknownType);ReplicateDelete
cs+class://Raven/Bundles/Replication/Responders/DocumentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Void MarkAsDeleted(String, UnknownType);Void MarkAsDeleted(String, UnknownType);ReplicateDelete
cs+class://Raven/Bundles/Replication/Responders/DocumentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];CreatedConflict AppendToCurrentItemConflicts(String, String, UnknownType, UnknownType);CreatedConflict AppendToCurrentItemConflicts(String, String, UnknownType, UnknownType);ReplicateDelete
cs+class://Raven/Bundles/Replication/Responders/DocumentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Boolean TryResolveConflict(String, UnknownType, UnknownType, UnknownType, UnknownType, UnknownType);Boolean TryResolveConflict(String, UnknownType, UnknownType, UnknownType, UnknownType, UnknownType);ReplicateDelete
cs+class://Raven/Bundles/Replication/Responders/DocumentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];Void AddWithoutConflict(String, UnknownType, UnknownType, UnknownType);Void AddWithoutConflict(String, UnknownType, UnknownType, UnknownType);ReplicateDelete
cs+class://Raven/Bundles/Replication/Responders/DocumentReplicationBehavior;cs+class://Raven/Bundles/Replication/Responders/SingleItemReplicationBehavior[2];CreatedConflict CreateConflict(String, String, String, UnknownType, UnknownType);CreatedConflict CreateConflict(String, String, String, UnknownType, UnknownType);ReplicateDelete
cs+class://Raven/Database/Bundles/SqlReplication/SqlReplicationScriptedJsonPatcher;cs+class://Raven/Database/Json/ScriptedJsonPatcher;Void RemoveEngineCustomizations(Engine, ScriptedJsonPatcherOperationScope);Void RemoveEngineCustomizations(Engine, ScriptedJsonPatcherOperationScope);CleanupEngine
cs+class://Raven/Database/Bundles/SqlReplication/SqlReplicationScriptedJsonPatcher;cs+class://Raven/Database/Json/ScriptedJsonPatcher;Void CustomizeEngine(Engine, ScriptedJsonPatcherOperationScope);Void CustomizeEngine(Engine, ScriptedJsonPatcherOperationScope);PrepareEngine
cs+class://Raven/Database/Impl/DTC/EsentInFlightTransactionalState;cs+class://Raven/Database/Impl/DTC/InFlightTransactionalState;Void Rollback(String);Void Rollback(String);AddToTransactionState
cs+class://Raven/Database/Indexing/IndependentBatchSizeAutoTuner;cs+class://Raven/Database/Indexing/BaseBatchSizeAutoTuner;Void RecordAmountOfItems(Int32);Void RecordAmountOfItems(Int32);AutoThrottleBatchSize
cs+class://Raven/Database/Indexing/IndependentBatchSizeAutoTuner;cs+class://Raven/Database/Indexing/BaseBatchSizeAutoTuner;IEnumerable GetLastAmountOfItems();IEnumerable GetLastAmountOfItems();ConsiderIncreasingBatchSize
cs+class://Raven/Database/Indexing/IndependentBatchSizeAutoTuner;cs+class://Raven/Database/Indexing/BaseBatchSizeAutoTuner;IEnumerable GetLastAmountOfItems();IEnumerable GetLastAmountOfItems();ConsiderDecreasingBatchSize
cs+class://Raven/Database/Linq/Ast/ThrowOnInvalidMethodCallsInReduce;cs+class://Raven/Database/Linq/Ast/ThrowOnInvalidMethodCalls;Void AssertInvocationExpression(InvocationExpression);Void AssertInvocationExpression(InvocationExpression);VisitInvocationExpression
cs+class://Raven/Database/Linq/Ast/ThrowOnInvalidMethodCallsInReduce;cs+class://Raven/Database/Linq/Ast/ThrowOnInvalidMethodCalls;Void AssertInvocationExpression(InvocationExpression, ParameterDeclaration);Void AssertInvocationExpression(InvocationExpression, ParameterDeclaration);HandleGroupBy
cs+class://Raven/Database/Server/Controllers/RavenDbApiController;cs+class://Raven/Database/Server/Controllers/RavenBaseApiController;HttpResponseMessage GetMessageWithObject(Object, UnknownType, UnknownType);HttpResponseMessage GetMessageWithObject(Object, UnknownType, UnknownType);GetMessageWithObjectAsTask
cs+class://Raven/Database/Server/Controllers/RavenDbApiController;cs+class://Raven/Database/Server/Controllers/RavenBaseApiController;HttpResponseMessage GetMessageWithString(String, UnknownType, UnknownType);HttpResponseMessage GetMessageWithString(String, UnknownType, UnknownType);GetMessageWithStringAsTask
cs+class://Raven/Database/Server/Controllers/RavenDbApiController;cs+class://Raven/Database/Server/Controllers/RavenBaseApiController;HttpResponseMessage GetEmptyMessage(UnknownType, UnknownType);HttpResponseMessage GetEmptyMessage(UnknownType, UnknownType);GetEmptyMessageAsTask
cs+class://Raven/Database/Server/Controllers/RavenDbApiController;cs+class://Raven/Database/Server/Controllers/RavenBaseApiController;HttpResponseMessage GetEmptyMessage(UnknownType, UnknownType);HttpResponseMessage GetEmptyMessage(UnknownType, UnknownType);WriteData
cs+class://Raven/Database/Server/Controllers/RavenDbApiController;cs+class://Raven/Database/Server/Controllers/RavenBaseApiController;HttpResponseMessage GetEmptyMessage(UnknownType, UnknownType);HttpResponseMessage GetEmptyMessage(UnknownType, UnknownType);WriteFileFromZip
cs+class://Raven/Database/Server/Controllers/RavenDbApiController;cs+class://Raven/Database/Server/Controllers/RavenBaseApiController;HttpResponseMessage GetEmptyMessage(UnknownType, UnknownType);HttpResponseMessage GetEmptyMessage(UnknownType, UnknownType);WriteFile
cs+class://Raven/Database/Server/Controllers/RavenDbApiController;cs+class://Raven/Database/Server/Controllers/RavenBaseApiController;HttpResponseMessage GetEmptyMessage(UnknownType, UnknownType);HttpResponseMessage GetEmptyMessage(UnknownType, UnknownType);WriteEmbeddedFileOfType
cs+class://Raven/Database/Server/Controllers/RavenDbApiController;cs+class://Raven/Database/Server/Controllers/RavenBaseApiController;HttpResponseMessage GetMessageWithObject(Object, UnknownType, UnknownType);HttpResponseMessage GetMessageWithObject(Object, UnknownType, UnknownType);EmbeddedFileNotFound
cs+class://Raven/Database/Server/RavenFS/Util/SynchronizingFileStream;cs+class://Raven/Database/Server/RavenFS/Util/StorageStream;Void Flush();Void Flush();Write
cs+class://Raven/Database/Server/RavenFS/Util/SynchronizingFileStream;cs+class://Raven/Database/Server/RavenFS/Util/StorageStream;Void Flush();Void Flush();Dispose
cs+class://Lucene/Net/Search/Vectorhighlight/ScoreOrderFragmentsBuilder;cs+class://Lucene/Net/Search/Vectorhighlight/BaseFragmentsBuilder;List GetWeightedFragInfoList(List);List GetWeightedFragInfoList(List);CreateFragments
cs+class://Lucene/Net/Search/Vectorhighlight/SimpleFragmentsBuilder;cs+class://Lucene/Net/Search/Vectorhighlight/BaseFragmentsBuilder;List GetWeightedFragInfoList(List);List GetWeightedFragInfoList(List);CreateFragments
cs+class://Raven/Database/Indexing/LowerCaseWhitespaceAnalyzer;cs+class://Raven/Database/Indexing/LowerCaseKeywordAnalyzer;TokenStream TokenStream(String, TextReader);TokenStream TokenStream(String, TextReader);ReusableTokenStream
cs+class://Raven/Database/Indexing/LowerCaseWhitespaceTokenizer;cs+class://Raven/Database/Indexing/LowerCaseKeywordTokenizer;Boolean IsTokenChar(Char);Boolean IsTokenChar(Char);IncrementToken
cs+class://Raven/Database/Bundles/MoreLikeThis/RavenMoreLikeThis;cs+class://Lucene/Net/Search/Similar/MoreLikeThis;PriorityQueue RetrieveTerms(Int32);PriorityQueue RetrieveTerms(Int32);Like
