direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;Destinations;cs+class://Raven/Database/Bundles/Replication/Impl/ReplicationTopologyDiscoverer/Discover
True;MethodCall;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;Sources;cs+class://Raven/Database/Bundles/Replication/Impl/ReplicationTopologyDiscoverer/Discover
True;MethodCall;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;Errors;cs+class://Raven/Database/Bundles/Replication/Impl/ReplicationTopologyDiscoverer/HandleSources
True;MethodCall;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;Destinations;cs+class://Raven/Database/Bundles/Replication/Impl/ReplicationTopologyDiscoverer/HandleSource
True;MethodCall;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;Sources;cs+class://Raven/Database/Bundles/Replication/Impl/ReplicationTopologyDiscoverer/HandleSource
True;MethodCall;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;Errors;cs+class://Raven/Database/Bundles/Replication/Impl/ReplicationTopologyDiscoverer/HandleSource
True;MethodCall;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;Errors;cs+class://Raven/Database/Bundles/Replication/Impl/ReplicationTopologyDiscoverer/HandleDestinations
True;MethodCall;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;Destinations;cs+class://Raven/Database/Bundles/Replication/Impl/ReplicationTopologyDiscoverer/HandleDestination
True;MethodCall;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;Sources;cs+class://Raven/Database/Bundles/Replication/Impl/ReplicationTopologyDiscoverer/HandleDestination
True;MethodCall;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;Errors;cs+class://Raven/Database/Bundles/Replication/Impl/ReplicationTopologyDiscoverer/HandleDestination
