type;from;to;direct;marker;constants;systemType
CC;cs+class://Raven/Database/Actions/AttachmentActions;cs+class://Raven/Database/Actions/ActionsBase;True;False;False;True
CC;cs+class://Raven/Database/Actions/MaintenanceActions;cs+class://Raven/Database/Actions/ActionsBase;True;False;False;True
CC;cs+class://Raven/Database/Actions/DocumentActions;cs+class://Raven/Database/Actions/ActionsBase;True;False;False;True
CC;cs+class://Raven/Database/Actions/IndexActions;cs+class://Raven/Database/Actions/ActionsBase;True;False;False;True
CC;cs+class://Raven/Database/Actions/NotificationActions;cs+class://Raven/Database/Actions/ActionsBase;True;False;False;True
CC;cs+class://Raven/Database/Actions/PatchActions;cs+class://Raven/Database/Actions/ActionsBase;True;False;False;True
CC;cs+class://Raven/Database/Actions/QueryActions;cs+class://Raven/Database/Actions/ActionsBase;True;False;False;True
CI;cs+class://Raven/Database/Actions/QueryActions/DatabaseQueryOperation;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://Raven/Database/Actions/TaskActions;cs+class://Raven/Database/Actions/ActionsBase;True;False;False;True
CC;cs+class://Raven/Database/Actions/TaskActions/PendingTaskDescriptionAndStatus;cs+class://Raven/Database/Actions/TaskActions/PendingTaskDescription;True;False;False;True
CC;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyRootNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;True;False;False;True
CC;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyDestinationNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNode;True;False;False;True
CC;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologySourceNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNode;True;False;False;True
CC;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNode;cs+class://Raven/Database/Bundles/Replication/Data/ReplicationTopologyNodeBase;True;False;False;True
CC;cs+class://Raven/Database/Server/Connections/HttpTracePushContent;cs+class://System/Net/Http/HttpContent;True;False;False;False
CI;cs+class://Raven/Database/Server/Connections/HttpTracePushContent;cs+interface://Raven/Database/Server/Connections/IEventsTransport;True;False;False;True
CC;cs+class://Raven/Database/Server/Controllers/HttpTraceController;cs+class://Raven/Database/Server/Controllers/RavenDbApiController;True;False;False;True
II;cs+interface://Raven/Database/Server/Connections/ILogsTransport;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://Raven/Database/Server/Connections/LogsPushContent;cs+class://System/Net/Http/HttpContent;True;False;False;False
