fromType;toType;fromMethod;toMethod;calledFrom
cs+class://NDesk/Options/OptionSet/ActionOption;cs+class://NDesk/Options/Option;Void OnParseComplete(OptionContext);Void OnParseComplete(OptionContext);Invoke
cs+class://NDesk/Options/OptionSet/ActionOption[1];cs+class://NDesk/Options/Option;Void OnParseComplete(OptionContext);Void OnParseComplete(OptionContext);Invoke
cs+class://NDesk/Options/OptionSet/ActionOption[2];cs+class://NDesk/Options/Option;Void OnParseComplete(OptionContext);Void OnParseComplete(OptionContext);Invoke
cs+class://Raven/Bundles/Authorization/Triggers/AuthorizationDeleteTrigger;cs+class://Raven/Database/Plugins/AbstractDeleteTrigger;Void Initialize();Void Initialize();Initialize
cs+class://Raven/Bundles/Authorization/Triggers/AuthorizationPutTrigger;cs+class://Raven/Database/Plugins/AbstractPutTrigger;Void Initialize();Void Initialize();Initialize
cs+class://Raven/Bundles/Authorization/Triggers/AuthorizationReadTrigger;cs+class://Raven/Database/Plugins/AbstractReadTrigger;Void Initialize();Void Initialize();Initialize
cs+class://Raven/Database/Client/Aws/RavenAwsGlacierClient;cs+class://Raven/Database/Client/Aws/RavenAwsClient;String GetHost(String);String GetHost(String);ConvertToHeaders
cs+class://Raven/Database/Client/Aws/RavenAwsGlacierClient;cs+class://Raven/Database/Client/Aws/RavenAwsClient;String GetHost(String);String GetHost(String);GetUrl
cs+class://Raven/Database/Client/Aws/RavenAwsS3Client;cs+class://Raven/Database/Client/Aws/RavenAwsClient;String GetHost(String);String GetHost(String);ConvertToHeaders
cs+class://Raven/Database/Client/Aws/RavenAwsS3Client;cs+class://Raven/Database/Client/Aws/RavenAwsClient;String GetHost(String);String GetHost(String);GetUrl
cs+class://Raven/Database/Impl/DTC/DtcNotSupportedTransactionalState;cs+class://Raven/Database/Impl/DTC/InFlightTransactionalState;Void Rollback(String);Void Rollback(String);AddToTransactionState
cs+class://Raven/Database/Bundles/ScriptedIndexResults/ScriptedIndexResultsJsonPatcherScope;cs+class://Raven/Database/Json/DefaultScriptedJsonPatcherOperationScope;Void ValidateDocument(UnknownType);Void ValidateDocument(UnknownType);PutDocument
