type;from;to;direct;marker;constants;systemType
CI;cs+class://NDesk/Options/OptionValueCollection;cs+interface://System/Collections/IList;True;False;False;False
CI;cs+class://NDesk/Options/OptionValueCollection;cs+interface://System/Collections/Generic/IList[1];True;False;False;False
CC;cs+class://NDesk/Options/OptionException;cs+class://System/Exception;True;False;False;False
CC;cs+class://NDesk/Options/OptionSet;cs+class://System/Collections/ObjectModel/KeyedCollection[2];True;False;False;False
CC;cs+class://NDesk/Options/OptionSet/ActionOption;cs+class://NDesk/Options/Option;True;False;False;True
CC;cs+class://NDesk/Options/OptionSet/ActionOption[1];cs+class://NDesk/Options/Option;True;False;False;True
CC;cs+class://NDesk/Options/OptionSet/ActionOption[2];cs+class://NDesk/Options/Option;True;False;False;True
CC;cs+class://Raven/Server/ProjectInstaller;cs+class://System/Configuration/Install/Installer;True;False;False;False
CC;cs+class://Raven/Server/RavenService;cs+class://System/ServiceProcess/ServiceBase;True;False;False;False
CI;cs+class://Raven/Tests/Abstractions/Logging/LogProviders/Log4NetLogManagerLoggingDisabledTests;cs+interface://System/IDisposable;True;False;False;False
CI;cs+class://Raven/Tests/Abstractions/Logging/LogProviders/Log4NetLogManagerLoggingEnabledTests;cs+interface://System/IDisposable;True;False;False;False
CI;cs+class://Raven/Tests/Abstractions/Logging/LogProviders/NLogLogManagerLoggingDisabedTests;cs+interface://System/IDisposable;True;False;False;False
CI;cs+class://Raven/Tests/Abstractions/Logging/LogProviders/NLogLogProviderLoggingEnabledTests;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://Raven/Tests/Bugs/AvoidRaceConditionWhenWeLoadTheDataNotPatched/CaseManagerOf;cs+class://Raven/Tests/Bugs/AvoidRaceConditionWhenWeLoadTheDataNotPatched/Relation;True;False;False;True
CC;cs+class://Raven/Tests/Bugs/AvoidRaceConditionWhenWeLoadTheDataNotPatched/HasCaseManager;cs+class://Raven/Tests/Bugs/AvoidRaceConditionWhenWeLoadTheDataNotPatched/Relation;True;False;False;True
CC;cs+class://Raven/Tests/Bugs/AvoidRaceConditionWhenWeLoadTheDataNotPatched/InnovationProfile;cs+class://Raven/Tests/Bugs/AvoidRaceConditionWhenWeLoadTheDataNotPatched/Profile;True;False;False;True
CC;cs+class://Raven/Tests/Bugs/AvoidRaceConditionWhenWeLoadTheDataNotPatched/UserProfile;cs+class://Raven/Tests/Bugs/AvoidRaceConditionWhenWeLoadTheDataNotPatched/Profile;True;False;False;True
CI;cs+class://Raven/Tests/Bugs/CanUseLuceneCodecDirectory;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://Raven/Tests/Bugs/DefaultOperatorTest;cs+class://Raven/Tests/Helpers/RavenTestBase;True;False;False;True
CC;cs+class://Raven/Tests/Bugs/RavenTestSample;cs+class://Raven/Tests/Helpers/RavenTestBase;True;False;False;True
CC;cs+class://Raven/Tests/Bugs/NullableDateTimeOffsetFromDateTimeParse;cs+class://Raven/Tests/Helpers/RavenTestBase;True;False;False;True
CC;cs+class://Raven/Tests/Bugs/SyncAsync;cs+class://Raven/Tests/Helpers/RavenTestBase;True;False;False;True
CC;cs+class://Raven/Tests/Bugs/DamianPutSnapshot/PutTrigger;cs+class://Raven/Database/Plugins/AbstractPutTrigger;True;False;False;True
CC;cs+class://Raven/Tests/Bugs/Identifiers/SpecialCharactersOnIIS;cs+class://Raven/Tests/WithNLog;True;False;False;True
CC;cs+class://Raven/Tests/Bugs/Indexing/QueryWithStaticIndexesAndCommonBaseClass/Root;cs+class://Raven/Tests/Bugs/Indexing/QueryWithStaticIndexesAndCommonBaseClass/Identifiable;True;False;False;True
CC;cs+class://Raven/Tests/Bugs/Indexing/QueryWithStaticIndexesAndCommonBaseClass/UserReference;cs+class://Raven/Tests/Bugs/Indexing/QueryWithStaticIndexesAndCommonBaseClass/Identifiable;True;False;False;True
CC;cs+class://Raven/Tests/Bugs/Indexing/IndexBuilderShouldCastNull/NullableIndex/Result;cs+class://Raven/Tests/Bugs/Indexing/IndexBuilderShouldCastNull/Nullable;True;False;False;True
CC;cs+class://Raven/Tests/Bugs/Indexing/IndexBuilderShouldCastNull/AnonymousNullableIndex/Result;cs+class://Raven/Tests/Bugs/Indexing/IndexBuilderShouldCastNull/Nullable;True;False;False;True
CI;cs+class://Raven/Tests/Bugs/CanCustomizeConventionsBeforeInitializingTheStore;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://Raven/Tests/Bugs/MultiMapSearch/Organization;cs+class://Raven/Tests/Bugs/MultiMapSearch/Account;True;False;False;True
CC;cs+class://Raven/Tests/Bugs/MultiMapSearch/Person;cs+class://Raven/Tests/Bugs/MultiMapSearch/Account;True;False;False;True
CI;cs+class://Raven/Tests/Bugs/MultiMap/MultiMapWithCustomProperties/Cat;cs+interface://Raven/Tests/Bugs/MultiMap/MultiMapWithCustomProperties/IHaveName;True;False;False;True
CI;cs+class://Raven/Tests/Bugs/MultiMap/MultiMapWithCustomProperties/Dog;cs+interface://Raven/Tests/Bugs/MultiMap/MultiMapWithCustomProperties/IHaveName;True;False;False;True
CI;cs+class://Raven/Tests/Bugs/MultiMap/SimpleMultiMap/Cat;cs+interface://Raven/Tests/Bugs/MultiMap/SimpleMultiMap/IHaveName;True;False;False;True
CI;cs+class://Raven/Tests/Bugs/MultiMap/SimpleMultiMap/Dog;cs+interface://Raven/Tests/Bugs/MultiMap/SimpleMultiMap/IHaveName;True;False;False;True
CI;cs+class://Raven/Tests/Bugs/Queries/CanIncludeValueType;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://Raven/Tests/Bugs/RecursiveQueries/CategoryHeaderWithParents;cs+class://Raven/Tests/Bugs/RecursiveQueries/CategoryHeader;True;False;False;True
CC;cs+class://Raven/Tests/Bugs/SerializingAndDeserializingWithRaven/TestObj;cs+class://Raven/Tests/Bugs/SerializingAndDeserializingWithRaven/AggregateRoot;True;False;False;True
CC;cs+class://Raven/Tests/Bugs/CustomDynamicObject/Customer;cs+class://System/Dynamic/DynamicObject;True;False;False;False
CI;cs+class://Raven/Tests/Bugs/CustomDynamicObject/Customer;cs+interface://System/Collections/Generic/IDictionary[2];True;False;False;False
CC;cs+class://Raven/Tests/Bugs/Indexing/IndexingEachFieldInEachDocumentSeparately/MyAnalyzerGenerator;cs+class://Raven/Database/Plugins/AbstractAnalyzerGenerator;True;False;False;True
CC;cs+class://Raven/Tests/Bugs/Indexing/ThrowingAnalyzer/ThrowingAnalyzerImpl;cs+class://Lucene/Net/Analysis/Analyzer;True;False;False;False
CI;cs+class://Raven/Tests/Bugs/LiveProjection;cs+interface://System/IDisposable;True;False;False;False
CI;cs+class://Raven/Tests/Bugs/MultiTenancy/Basic;cs+interface://System/IDisposable;True;False;False;False
CI;cs+class://Raven/Tests/Bugs/MultiTenancy/CreatingIndexes;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://Raven/Tests/Bugs/OperationHeaders/RecordOperationHeaders;cs+class://Raven/Database/Plugins/AbstractPutTrigger;True;False;False;True
CI;cs+class://Raven/Tests/Bugs/OverwriteIndexRemotely;cs+interface://System/IDisposable;True;False;False;False
CI;cs+class://Raven/Tests/Bugs/Polymorphic/Carrot;cs+interface://Raven/Tests/Bugs/Polymorphic/IVegetable;True;True;False;True
CI;cs+class://Raven/Tests/Bugs/Polymorphic/Potato;cs+interface://Raven/Tests/Bugs/Polymorphic/IVegetable;True;True;False;True
CI;cs+class://Raven/Tests/Bugs/SerializingEntities/Foo;cs+interface://System/ComponentModel/INotifyPropertyChanged;True;False;False;False
CI;cs+class://Raven/Tests/LicenseProviderPluginTest/TestLicenseProvider;cs+interface://Raven/Database/Plugins/ILicenseProvider;True;False;False;True
CI;cs+class://Raven/Tests/DatabaseMemoryTargetTests;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://Raven/Tests/Linq/OfTypeSupport/IronBar;cs+class://Raven/Tests/Linq/OfTypeSupport/Bar;True;False;False;True
CC;cs+class://Raven/Tests/Linq/OfTypeSupport/ChocolateBar;cs+class://Raven/Tests/Linq/OfTypeSupport/Bar;True;False;False;True
CI;cs+class://Raven/Tests/NoNonDisposableTests;cs+interface://System/IDisposable;True;False;False;False
CI;cs+class://Raven/Tests/Querying/HighlightesTests/EventsItem;cs+interface://Raven/Tests/Querying/HighlightesTests/ISearchable;True;False;False;True
CC;cs+class://Raven/Tests/Spatial/BoundingBoxIndexTests;cs+class://Raven/Tests/Helpers/RavenTestBase;True;False;False;True
CC;cs+class://Raven/Tests/Bugs/Stacey/Aspects/Aspect;cs+class://Raven/Tests/Bugs/Stacey/Aspects/Entity;True;False;False;True
CC;cs+class://Raven/Tests/Bugs/Stacey/Aspects/Currency;cs+class://Raven/Tests/Bugs/Stacey/Aspects/Entity;True;False;False;True
CC;cs+class://Raven/Tests/Bugs/WhereEntityIs/Dog;cs+class://Raven/Tests/Bugs/WhereEntityIs/Animal;True;False;False;True
CC;cs+class://Raven/Tests/Bugs/WhereEntityIs/Cat;cs+class://Raven/Tests/Bugs/WhereEntityIs/Animal;True;False;False;True
CC;cs+class://Raven/Tests/Document/AsyncEmbeddedDocumentStoreServerTests;cs+class://Raven/Tests/Document/AsyncDocumentStoreServerTests;True;False;False;True
CC;cs+class://Raven/Tests/Document/AsyncRemoteDocumentStoreServerTests;cs+class://Raven/Tests/Document/AsyncDocumentStoreServerTests;True;False;False;True
CI;cs+class://Raven/Tests/Document/AsyncDocumentStoreServerTests;cs+interface://System/IDisposable;True;False;False;False
CI;cs+class://Raven/Tests/Document/DocumentStoreEmbeddedGranularTests;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://Raven/Tests/Document/CustomDynamicClass;cs+class://System/Dynamic/DynamicObject;True;False;False;False
CI;cs+class://Raven/Tests/Document/Inheritance/WindowsServer;cs+interface://Raven/Tests/Document/Inheritance/IServer;True;False;False;True
CI;cs+class://Raven/Tests/Document/Inheritance/LinuxServer;cs+interface://Raven/Tests/Document/Inheritance/IServer;True;False;False;True
CC;cs+class://Raven/Tests/Indexes/CustomAnalyzer;cs+class://Lucene/Net/Analysis/KeywordAnalyzer;True;False;False;False
CC;cs+class://Raven/Tests/Indexes/MapOnlyView;cs+class://Raven/Database/Linq/AbstractViewGenerator;True;False;False;True
CC;cs+class://Raven/Tests/Indexes/ShoppingCartEventsToShopingCart;cs+class://Raven/Database/Linq/AbstractViewGenerator;True;False;False;True
CI;cs+class://Raven/Tests/Linq/WhereClause;cs+interface://System/IDisposable;True;False;False;False
CI;cs+class://Raven/Tests/Linq/WhereClause/Dog;cs+interface://Raven/Tests/Linq/WhereClause/IAnimal;True;True;False;True
CC;cs+class://Raven/Tests/Spatial/Afif/HawthornEast;cs+class://Raven/Tests/Spatial/Afif/Location;True;False;False;True
CC;cs+class://Raven/Tests/Spatial/Afif/Darwin;cs+class://Raven/Tests/Spatial/Afif/Location;True;False;False;True
CC;cs+class://Raven/Tests/Spatial/Afif/CanGetFacetsOnVehicleSpatialSearch;cs+class://Raven/Tests/Spatial/Afif/UsingEmbeddedRavenStoreWithVehicles;True;False;False;True
CC;cs+class://Raven/Tests/Spatial/Afif/UsingEmbeddedRavenStoreWithVehicles;cs+class://Raven/Tests/Spatial/Afif/UsingEmbeddedRavenStore;True;False;False;True
CI;cs+class://Raven/Tests/Spatial/Afif/UsingEmbeddedRavenStore;cs+interface://System/IDisposable;True;False;False;False
CI;cs+class://Raven/Tests/Suggestions/SuggestionsUsingAnIndex;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://Raven/Tests/Shard/BlogModel/CanMapReduce;cs+class://Raven/Tests/Shard/BlogModel/ShardingScenario;True;False;False;True
CC;cs+class://Raven/Tests/Shard/BlogModel/CanQueryOnlyUsers;cs+class://Raven/Tests/Shard/BlogModel/ShardingScenario;True;False;False;True
CC;cs+class://Raven/Tests/Shard/BlogModel/CanQueryOnlyPosts;cs+class://Raven/Tests/Shard/BlogModel/ShardingScenario;True;False;False;True
CC;cs+class://Raven/Tests/Shard/BlogModel/SupportLazyOperations;cs+class://Raven/Tests/Shard/BlogModel/ShardingScenario;True;False;False;True
CC;cs+class://Raven/Tests/Shard/BlogModel/ShardedDocumentSessionIsWorking;cs+class://Raven/Tests/Shard/BlogModel/ShardingScenario;True;False;False;True
CI;cs+class://Raven/Tests/Linq/UsingRavenQueryProvider/OrderItemCostComparer;cs+interface://System/Collections/Generic/IEqualityComparer[1];True;False;False;False
CI;cs+class://Raven/Tests/Linq/PerformingQueries;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://Raven/Tests/Linq/PerformingQueries/SampleDynamicCompilationExtension;cs+class://Raven/Database/Plugins/AbstractDynamicCompilationExtension;True;False;False;True
CI;cs+class://Raven/Tests/Suggestions/Suggestions;cs+interface://System/IDisposable;True;False;False;False
CI;cs+class://Raven/Tests/Track/AsyncProjectionShouldWork;cs+interface://System/IDisposable;True;False;False;False
CC;cs+class://Raven/Tests/Triggers/AttachmentDeleteTrigger/RefuseAttachmentDeleteTrigger;cs+class://Raven/Database/Plugins/AbstractAttachmentDeleteTrigger;True;False;False;True
CC;cs+class://Raven/Tests/Triggers/AttachmentReadTrigger/HideAttachmentByCaseReadTrigger;cs+class://Raven/Database/Plugins/AbstractAttachmentReadTrigger;True;False;False;True
CC;cs+class://Raven/Tests/Triggers/AuditAttachmentPutTrigger;cs+class://Raven/Database/Plugins/AbstractAttachmentPutTrigger;True;False;False;True
CC;cs+class://Raven/Tests/Triggers/AuditPutTrigger;cs+class://Raven/Database/Plugins/AbstractPutTrigger;True;False;False;True
CC;cs+class://Raven/Tests/Triggers/Bugs/AuditTrigger;cs+class://Raven/Database/Plugins/AbstractPutTrigger;True;False;False;True
CC;cs+class://Raven/Tests/Triggers/CascadeDeleteTrigger;cs+class://Raven/Database/Plugins/AbstractDeleteTrigger;True;False;False;True
CC;cs+class://Raven/Tests/Triggers/IndexToDataTable;cs+class://Raven/Database/Plugins/AbstractIndexUpdateTrigger;True;False;False;True
CC;cs+class://Raven/Tests/Triggers/IndexToDataTable/DataTableBatcher;cs+class://Raven/Database/Plugins/AbstractIndexUpdateTriggerBatcher;True;False;False;True
CC;cs+class://Raven/Tests/Triggers/RefuseBigAttachmentPutTrigger;cs+class://Raven/Database/Plugins/AbstractAttachmentPutTrigger;True;False;False;True
CC;cs+class://Raven/Tests/Triggers/VetoCapitalNamesPutTrigger;cs+class://Raven/Database/Plugins/AbstractPutTrigger;True;False;False;True
CI;cs+class://Raven/Client/MvcIntegration/RavenProfilingHandler;cs+interface://System/Web/Routing/IRouteHandler;True;False;False;False
CI;cs+class://Raven/Client/MvcIntegration/RavenProfilingHandler;cs+interface://System/Web/IHttpHandler;True;False;False;False
CC;cs+class://Raven/Client/MvcIntegration/RecordCurrentControllerContextFilter;cs+class://System/Web/Mvc/ActionFilterAttribute;True;False;False;False
CC;cs+class://Raven/Bundles/Authorization/Controllers/IsAllowedController;cs+class://Raven/Database/Server/Controllers/RavenDbApiController;True;False;False;True
CI;cs+class://Raven/Bundles/Authorization/Model/DocumentPermission;cs+interface://Raven/Bundles/Authorization/Model/IPermission;True;False;False;True
