direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://NDesk/Options/OptionException;cs+class://System/Exception;GetObjectData;cs+class://NDesk/Options/OptionException/GetObjectData
True;MethodCall;cs+class://NDesk/Options/OptionSet;cs+class://System/Collections/ObjectModel/KeyedCollection[2];InsertItem;cs+class://NDesk/Options/OptionSet/InsertItem
True;MethodCall;cs+class://NDesk/Options/OptionSet;cs+class://System/Collections/ObjectModel/KeyedCollection[2];RemoveItem;cs+class://NDesk/Options/OptionSet/RemoveItem
True;MethodCall;cs+class://NDesk/Options/OptionSet;cs+class://System/Collections/ObjectModel/KeyedCollection[2];SetItem;cs+class://NDesk/Options/OptionSet/SetItem
True;MethodCall;cs+class://NDesk/Options/OptionSet;cs+class://System/Collections/ObjectModel/KeyedCollection[2];Contains;cs+class://NDesk/Options/OptionSet/Parse
True;MethodCall;cs+class://NDesk/Options/OptionSet;cs+class://System/Collections/ObjectModel/KeyedCollection[2];Contains;cs+class://NDesk/Options/OptionSet/Parse
True;MethodCall;cs+class://NDesk/Options/OptionSet;cs+class://System/Collections/ObjectModel/KeyedCollection[2];Contains;cs+class://NDesk/Options/OptionSet/ParseBool
True;MethodCall;cs+class://NDesk/Options/OptionSet;cs+class://System/Collections/ObjectModel/KeyedCollection[2];Contains;cs+class://NDesk/Options/OptionSet/ParseBundledValue
True;MethodCall;cs+class://NDesk/Options/OptionSet/ActionOption[1];cs+class://NDesk/Options/Option;Parse;cs+class://NDesk/Options/OptionSet/ActionOption[1]/OnParseComplete
True;MethodCall;cs+class://NDesk/Options/OptionSet/ActionOption[2];cs+class://NDesk/Options/Option;Parse;cs+class://NDesk/Options/OptionSet/ActionOption[2]/OnParseComplete
True;MethodCall;cs+class://NDesk/Options/OptionSet/ActionOption[2];cs+class://NDesk/Options/Option;Parse;cs+class://NDesk/Options/OptionSet/ActionOption[2]/OnParseComplete
True;MethodCall;cs+class://Raven/Server/ProjectInstaller;cs+class://System/Configuration/Install/Installer;Installers;cs+class://Raven/Server/ProjectInstaller/InitializeComponent
True;MethodCall;cs+class://Raven/Server/RavenService;cs+class://System/ServiceProcess/ServiceBase;RequestAdditionalTime;cs+class://Raven/Server/RavenService/OnStop
True;MethodCall;cs+class://Raven/Server/RavenService;cs+class://System/ServiceProcess/ServiceBase;OnCustomCommand;cs+class://Raven/Server/RavenService/OnCustomCommand
True;MethodCall;cs+class://Raven/Server/RavenService;cs+class://System/ServiceProcess/ServiceBase;Stop;cs+class://Raven/Server/RavenService/OnCustomCommand
True;MethodCall;cs+class://Raven/Server/RavenService;cs+class://System/ServiceProcess/ServiceBase;Dispose;cs+class://Raven/Server/RavenService/Dispose
True;MethodCall;cs+class://Raven/Server/RavenService;cs+class://System/ServiceProcess/ServiceBase;ServiceName;cs+class://Raven/Server/RavenService/InitializeComponent
True;MethodCall;cs+class://Raven/Server/RavenService;cs+class://System/ServiceProcess/ServiceBase;CanShutdown;cs+class://Raven/Server/RavenService/InitializeComponent
True;MethodCall;cs+class://Raven/Tests/Bugs/DefaultOperatorTest;cs+class://Raven/Tests/Helpers/RavenTestBase;NewDocumentStore;cs+class://Raven/Tests/Bugs/DefaultOperatorTest/SetupSampleData
True;MethodCall;cs+class://Raven/Tests/Bugs/RavenTestSample;cs+class://Raven/Tests/Helpers/RavenTestBase;NewDocumentStore;cs+class://Raven/Tests/Bugs/RavenTestSample/PatchRequestShouldCreateDocIfNotExists
True;MethodCall;cs+class://Raven/Tests/Bugs/NullableDateTimeOffsetFromDateTimeParse;cs+class://Raven/Tests/Helpers/RavenTestBase;NewDocumentStore;cs+class://Raven/Tests/Bugs/NullableDateTimeOffsetFromDateTimeParse/Query_on_index_with_nullable_DateTimeOffset_property_and_DateTimeParse_in_index_should_work
