direct?;source;from;to;from declaration
True;VariableInitializer;cs+class://NDesk/Options/OptionSet/ActionOption;cs+class://NDesk/Options/Option;Add in NDesk.Options.OptionSet
True;VariableInitializer;cs+class://NDesk/Options/OptionSet/ActionOption;cs+class://NDesk/Options/Option;Add in NDesk.Options.OptionSet
True;Parameter;cs+class://NDesk/Options/OptionSet/ActionOption[1];cs+class://NDesk/Options/Option;Add in NDesk.Options.OptionSet
True;Parameter;cs+class://NDesk/Options/OptionSet/ActionOption[2];cs+class://NDesk/Options/Option;Add in NDesk.Options.OptionSet
True;Parameter;cs+class://Raven/Server/RavenService;cs+class://System/ServiceProcess/ServiceBase;Main in Raven.Server.Program
True;VariableInitializer;cs+class://Raven/Tests/Bugs/AvoidRaceConditionWhenWeLoadTheDataNotPatched/CaseManagerOf;cs+class://Raven/Tests/Bugs/AvoidRaceConditionWhenWeLoadTheDataNotPatched/Relation;Establish in Raven.Tests.Bugs.AvoidRaceConditionWhenWeLoadTheDataNotPatched
True;VariableInitializer;cs+class://Raven/Tests/Bugs/AvoidRaceConditionWhenWeLoadTheDataNotPatched/HasCaseManager;cs+class://Raven/Tests/Bugs/AvoidRaceConditionWhenWeLoadTheDataNotPatched/Relation;Establish in Raven.Tests.Bugs.AvoidRaceConditionWhenWeLoadTheDataNotPatched
True;ThisChangingType;cs+class://Raven/Tests/Bugs/DefaultOperatorTest;cs+class://Raven/Tests/Helpers/RavenTestBase;Dispose in Raven.Tests.Helpers.RavenTestBase
True;ThisChangingType;cs+class://Raven/Tests/Bugs/RavenTestSample;cs+class://Raven/Tests/Helpers/RavenTestBase;Dispose in Raven.Tests.Helpers.RavenTestBase
True;ThisChangingType;cs+class://Raven/Tests/Bugs/NullableDateTimeOffsetFromDateTimeParse;cs+class://Raven/Tests/Helpers/RavenTestBase;Dispose in Raven.Tests.Helpers.RavenTestBase
True;ThisChangingType;cs+class://Raven/Tests/Bugs/SyncAsync;cs+class://Raven/Tests/Helpers/RavenTestBase;Dispose in Raven.Tests.Helpers.RavenTestBase
True;ThisChangingType;cs+class://Raven/Tests/Spatial/BoundingBoxIndexTests;cs+class://Raven/Tests/Helpers/RavenTestBase;Dispose in Raven.Tests.Helpers.RavenTestBase
True;Parameter;cs+class://Raven/Tests/Indexes/MapOnlyView;cs+class://Raven/Database/Linq/AbstractViewGenerator;Isolated in Raven.Tests.Bugs.Indexing.WiseShrek
True;ThisChangingType;cs+class://Raven/Tests/Indexes/MapOnlyView;cs+class://Raven/Database/Linq/AbstractViewGenerator;CreateField in Raven.Database.Linq.AbstractViewGenerator
True;ThisChangingType;cs+class://Raven/Tests/Indexes/ShoppingCartEventsToShopingCart;cs+class://Raven/Database/Linq/AbstractViewGenerator;CreateField in Raven.Database.Linq.AbstractViewGenerator
True;Return;cs+class://Raven/Tests/Triggers/IndexToDataTable/DataTableBatcher;cs+class://Raven/Database/Plugins/AbstractIndexUpdateTriggerBatcher;CreateBatcher in Raven.Tests.Triggers.IndexToDataTable
True;Parameter;cs+class://Raven/Client/MvcIntegration/RavenProfilingHandler;cs+interface://System/Web/Routing/IRouteHandler;InitializeFor in Raven.Client.MvcIntegration.RavenProfiler
True;Return;cs+class://Raven/Client/MvcIntegration/RavenProfilingHandler;cs+interface://System/Web/IHttpHandler;GetHttpHandler in Raven.Client.MvcIntegration.RavenProfilingHandler
True;ThisChangingType;cs+class://Raven/Bundles/Authorization/Controllers/IsAllowedController;cs+class://Raven/Database/Server/Controllers/RavenDbApiController;ExecuteAsync in Raven.Database.Server.Controllers.RavenDbApiController
True;ThisChangingType;cs+class://Raven/Bundles/Authorization/Controllers/IsAllowedController;cs+class://Raven/Database/Server/Controllers/RavenDbApiController;ExecuteAsync in Raven.Database.Server.Controllers.RavenDbApiController
True;ThisChangingType;cs+class://Raven/Bundles/Authorization/Controllers/IsAllowedController;cs+class://Raven/Database/Server/Controllers/RavenDbApiController;ExecuteActualRequest in Raven.Database.Server.Controllers.RavenDbApiController
True;ThisChangingType;cs+class://Raven/Bundles/Authorization/Controllers/IsAllowedController;cs+class://Raven/Database/Server/Controllers/RavenDbApiController;GetEmptyMessage in Raven.Database.Server.Controllers.RavenDbApiController
