From;To;Source
cs+class://NDesk/Options/OptionException;cs+class://System/Exception;(not implemented)
cs+class://NDesk/Options/OptionSet/ActionOption;cs+class://NDesk/Options/Option;(not implemented)
cs+class://NDesk/Options/OptionSet/ActionOption[1];cs+class://NDesk/Options/Option;(not implemented)
cs+class://NDesk/Options/OptionSet/ActionOption[2];cs+class://NDesk/Options/Option;(not implemented)
cs+class://Raven/Tests/Bugs/AvoidRaceConditionWhenWeLoadTheDataNotPatched/CaseManagerOf;cs+class://Raven/Tests/Bugs/AvoidRaceConditionWhenWeLoadTheDataNotPatched/Relation;(not implemented)
cs+class://Raven/Tests/Bugs/AvoidRaceConditionWhenWeLoadTheDataNotPatched/HasCaseManager;cs+class://Raven/Tests/Bugs/AvoidRaceConditionWhenWeLoadTheDataNotPatched/Relation;(not implemented)
cs+class://Raven/Tests/Bugs/SerializingAndDeserializingWithRaven/TestObj;cs+class://Raven/Tests/Bugs/SerializingAndDeserializingWithRaven/AggregateRoot;(not implemented)
cs+class://Raven/Tests/Spatial/Afif/HawthornEast;cs+class://Raven/Tests/Spatial/Afif/Location;(not implemented)
cs+class://Raven/Tests/Spatial/Afif/Darwin;cs+class://Raven/Tests/Spatial/Afif/Location;(not implemented)
cs+class://Raven/Database/Actions/AttachmentActions;cs+class://Raven/Database/Actions/ActionsBase;(not implemented)
cs+class://Raven/Database/Actions/MaintenanceActions;cs+class://Raven/Database/Actions/ActionsBase;(not implemented)
cs+class://Raven/Database/Actions/DocumentActions;cs+class://Raven/Database/Actions/ActionsBase;(not implemented)
cs+class://Raven/Database/Actions/IndexActions;cs+class://Raven/Database/Actions/ActionsBase;(not implemented)
cs+class://Raven/Database/Actions/NotificationActions;cs+class://Raven/Database/Actions/ActionsBase;(not implemented)
cs+class://Raven/Database/Actions/PatchActions;cs+class://Raven/Database/Actions/ActionsBase;(not implemented)
cs+class://Raven/Database/Actions/QueryActions;cs+class://Raven/Database/Actions/ActionsBase;(not implemented)
cs+class://Raven/Database/Actions/TaskActions;cs+class://Raven/Database/Actions/ActionsBase;(not implemented)
cs+class://Raven/Database/Actions/TransformerActions;cs+class://Raven/Database/Actions/ActionsBase;(not implemented)
cs+class://Raven/Database/Client/Aws/RavenAwsGlacierClient;cs+class://Raven/Database/Client/Aws/RavenAwsClient;(not implemented)
