From;To;Source
cs+class://Microsoft/CodeAnalysis/UnitTests/MetadataReferenceTests/MyReference;cs+class://Microsoft/CodeAnalysis/PortableExecutableReference;(not implemented)
cs+class://Microsoft/CodeAnalysis/UnitTests/MetadataReferenceTests/MyReference2;cs+class://Microsoft/CodeAnalysis/PortableExecutableReference;(not implemented)
cs+class://Microsoft/CodeAnalysis/UnitTests/StrongNameProviderTests/VirtualizedStrongNameProvider;cs+class://Microsoft/CodeAnalysis/DesktopStrongNameProvider;(not implemented)
cs+class://Microsoft/CodeAnalysis/CodeGen/ArrayMethods/ArrayConstructor;cs+class://Microsoft/CodeAnalysis/CodeGen/ArrayMethod;(not implemented)
cs+class://Microsoft/CodeAnalysis/CodeGen/ArrayMethods/ArrayGet;cs+class://Microsoft/CodeAnalysis/CodeGen/ArrayMethod;(not implemented)
cs+class://Microsoft/CodeAnalysis/CodeGen/ArrayMethods/ArrayAddress;cs+class://Microsoft/CodeAnalysis/CodeGen/ArrayMethod;(not implemented)
cs+class://Microsoft/CodeAnalysis/CodeGen/ArrayMethods/ArraySet;cs+class://Microsoft/CodeAnalysis/CodeGen/ArrayMethod;(not implemented)
cs+class://Microsoft/CodeAnalysis/CodeGen/ArraySetValueParameterInfo;cs+class://Microsoft/CodeAnalysis/CodeGen/ArrayMethodParameterInfo;(not implemented)
cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/BasicBlockWithHandlerScope;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/BasicBlock;(not implemented)
cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/ExceptionHandlerLeaderBlock;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/BasicBlockWithHandlerScope;(not implemented)
cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/SwitchBlock;cs+class://Microsoft/CodeAnalysis/CodeGen/ILBuilder/BasicBlockWithHandlerScope;(not implemented)
cs+class://Microsoft/CodeAnalysis/CachingFactory[2];cs+class://Microsoft/CodeAnalysis/CachingBase[1];(not implemented)
cs+class://Microsoft/CodeAnalysis/CachingIdentityFactory[2];cs+class://Microsoft/CodeAnalysis/CachingBase[1];(not implemented)
cs+class://Microsoft/CodeAnalysis/ConcurrentCache[2];cs+class://Microsoft/CodeAnalysis/CachingBase[1];(not implemented)
cs+class://Microsoft/CodeAnalysis/IdentifierCollection/CaseSensitiveCollection;cs+class://Microsoft/CodeAnalysis/IdentifierCollection/CollectionBase;(not implemented)
cs+class://Microsoft/CodeAnalysis/IdentifierCollection/CaseInsensitiveCollection;cs+class://Microsoft/CodeAnalysis/IdentifierCollection/CollectionBase;(not implemented)
cs+class://Microsoft/CodeAnalysis/SmallDictionary/NodeLinked;cs+class://Microsoft/CodeAnalysis/SmallDictionary/Node;(not implemented)
cs+class://Microsoft/CodeAnalysis/SmallDictionary/AvlNodeHead;cs+class://Microsoft/CodeAnalysis/SmallDictionary/AvlNode[2];(not implemented)
cs+class://Microsoft/CodeAnalysis/SmallDictionary/HashedNode;cs+class://Microsoft/CodeAnalysis/SmallDictionary/Node;(not implemented)
cs+class://Microsoft/CodeAnalysis/SmallDictionary/AvlNode[2];cs+class://Microsoft/CodeAnalysis/SmallDictionary/HashedNode;(not implemented)
cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDefault;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDiscriminated;(not implemented)
cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDecimalZero;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDefault;(not implemented)
cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDoubleZero;cs+class://Microsoft/CodeAnalysis/ConstantValue/ConstantValueDefault;(not implemented)
