type;from;to;direct;marker;constants;systemType
CI;cs+class://ICSharpCode/SharpDevelop/BuildWorker/EventSource;cs+interface://Microsoft/Build/Framework/IEventSource;True;False;False;False
CI;cs+class://ICSharpCode/SharpDevelop/BuildWorker/EventSource;cs+interface://Microsoft/Build/Framework/IEventRedirector;True;False;False;False
CI;cs+class://ICSharpCode/SharpDevelop/BuildWorker/Program/ForwardingLogger;cs+interface://Microsoft/Build/Framework/ILogger;True;False;False;False
CC;cs+class://ICSharpCode/SharpDevelop/BuildWorker/EventSource/UnknownBuildEventArgs;cs+class://Microsoft/Build/Framework/CustomBuildEventArgs;True;False;False;False
CC;cs+class://ICSharpCode/Core/AddInLoadException;cs+class://ICSharpCode/Core/CoreException;True;False;False;True
CI;cs+class://ICSharpCode/Core/NegatedCondition;cs+interface://ICSharpCode/Core/ICondition;True;False;False;True
CI;cs+class://ICSharpCode/Core/AndCondition;cs+interface://ICSharpCode/Core/ICondition;True;False;False;True
CI;cs+class://ICSharpCode/Core/OrCondition;cs+interface://ICSharpCode/Core/ICondition;True;False;False;True
CI;cs+class://ICSharpCode/Core/Condition;cs+interface://ICSharpCode/Core/ICondition;True;False;False;True
II;cs+interface://ICSharpCode/Core/ICheckableMenuCommand;cs+interface://System/Windows/Input/ICommand;True;False;False;False
II;cs+interface://ICSharpCode/Core/ISubmenuBuilder;cs+interface://ICSharpCode/Core/IMenuItemBuilder;True;False;False;True
CI;cs+class://ICSharpCode/Core/ServiceDoozer;cs+interface://ICSharpCode/Core/IDoozer;True;False;False;True
CI;cs+class://ICSharpCode/Core/StaticDoozer;cs+interface://ICSharpCode/Core/IDoozer;True;False;False;True
CI;cs+class://ICSharpCode/Core/CompareConditionEvaluator;cs+interface://ICSharpCode/Core/IConditionEvaluator;True;False;False;True
CI;cs+class://ICSharpCode/Core/LazyConditionEvaluator;cs+interface://ICSharpCode/Core/IConditionEvaluator;True;False;False;True
CI;cs+class://ICSharpCode/Core/OwnerStateConditionEvaluator;cs+interface://ICSharpCode/Core/IConditionEvaluator;True;False;False;True
CI;cs+class://ICSharpCode/Core/ClassDoozer;cs+interface://ICSharpCode/Core/IDoozer;True;False;False;True
CI;cs+class://ICSharpCode/Core/FileFilterDoozer;cs+interface://ICSharpCode/Core/IDoozer;True;False;False;True
CI;cs+class://ICSharpCode/Core/IconDoozer;cs+interface://ICSharpCode/Core/IDoozer;True;False;False;True
CI;cs+class://ICSharpCode/Core/LazyLoadDoozer;cs+interface://ICSharpCode/Core/IDoozer;True;False;False;True
CI;cs+class://ICSharpCode/Core/MenuItemDoozer;cs+interface://ICSharpCode/Core/IDoozer;True;False;False;True
CI;cs+class://ICSharpCode/Core/ToolbarItemDoozer;cs+interface://ICSharpCode/Core/IDoozer;True;False;False;True
CI;cs+class://ICSharpCode/Core/AddInTreeImpl;cs+interface://ICSharpCode/Core/IAddInTree;True;False;False;True
CC;cs+class://ICSharpCode/Core/TreePathNotFoundException;cs+class://ICSharpCode/Core/CoreException;True;False;False;True
