direct?;source;from;to;from declaration;to declaration
False;FieldAccess;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;name;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver/(field initializer)
False;FieldAccess;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;parent;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver/(field initializer)
False;FieldAccess;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;deviceStatus;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver/(field initializer)
True;MethodCall;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;CreateIOPort;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver/(field initializer)
True;MethodCall;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;CreateIOPort;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver/(field initializer)
True;MethodCall;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;CreateIOPort;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver/(field initializer)
True;MethodCall;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;CreateIOPort;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver/(field initializer)
True;MethodCall;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;CreateIOPort;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver/(field initializer)
True;MethodCall;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;CreateIOPort;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver/(field initializer)
True;MethodCall;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;CreateDMAChannel;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver/(field initializer)
True;MethodCall;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;CreateIRQHandler;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver/(field initializer)
False;FieldAccess;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;name;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver/Initialize
False;FieldAccess;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;name;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver/Initialize
False;FieldAccess;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;deviceStatus;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver/Initialize
False;FieldAccess;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/IDEDiskDriver;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;name;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/IDEDiskDriver/(field initializer)
False;FieldAccess;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/IDEDiskDriver;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;parent;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/IDEDiskDriver/(field initializer)
False;FieldAccess;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/IDEDiskDriver;cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;deviceStatus;cs+class://SharpOS/Kernel/DeviceSystem/DiskController/IDEDiskDriver/(field initializer)
