From;To;Source
cs+class://SharpOS/Kernel/FileSystem/FATFileSystem/FAT;cs+class://SharpOS/Kernel/FileSystem/GenericFileSystem;(not implemented)
cs+class://SharpOS/Kernel/FileSystem/FATFileSystem/VfsDirectory;cs+class://SharpOS/Kernel/Vfs/DirectoryNode;(not implemented)
cs+class://SharpOS/Kernel/FileSystem/FATFileSystem/VfsFile;cs+class://SharpOS/Kernel/Vfs/NodeBase;(not implemented)
cs+class://SharpOS/Korlib/Runtime/FieldMetadata;cs+class://SharpOS/Korlib/Runtime/Metadata;(not implemented)
cs+class://SharpOS/Korlib/Runtime/Signature;cs+class://SharpOS/Korlib/Runtime/Metadata;(not implemented)
cs+class://SharpOS/Korlib/Runtime/FieldSignature;cs+class://SharpOS/Korlib/Runtime/Signature;(not implemented)
cs+class://SharpOS/Korlib/Runtime/SigClassType;cs+class://SharpOS/Korlib/Runtime/SigType;(not implemented)
cs+class://SharpOS/Korlib/Runtime/SigValueType;cs+class://SharpOS/Korlib/Runtime/SigType;(not implemented)
cs+class://SharpOS/Korlib/Runtime/TypeMetadata;cs+class://SharpOS/Korlib/Runtime/Metadata;(not implemented)
cs+class://InternalSystem/ArgumentException;cs+class://InternalSystem/SystemException;(not implemented)
cs+class://InternalSystem/ArgumentNullException;cs+class://InternalSystem/ArgumentException;(not implemented)
cs+class://InternalSystem/ArgumentOutOfRangeException;cs+class://InternalSystem/ArgumentException;(not implemented)
cs+class://InternalSystem/InvalidOperationException;cs+class://InternalSystem/SystemException;(not implemented)
cs+class://InternalSystem/NotImplementedException;cs+class://InternalSystem/SystemException;(not implemented)
cs+class://InternalSystem/NotSupportedException;cs+class://InternalSystem/SystemException;(not implemented)
cs+class://InternalSystem/NullReferenceException;cs+class://InternalSystem/SystemException;(not implemented)
cs+class://InternalSystem/OutOfMemoryException;cs+class://InternalSystem/SystemException;(not implemented)
cs+class://InternalSystem/SystemException;cs+class://InternalSystem/Exception;(not implemented)
cs+class://SharpOS/Kernel/Vfs/DirectoryNode;cs+class://SharpOS/Kernel/Vfs/NodeBase;(not implemented)
cs+class://SharpOS/Kernel/Vfs/SymbolicLinkNode;cs+class://SharpOS/Kernel/Vfs/NodeBase;(not implemented)
cs+class://SharpOS/Tools/KeyCompiler/CompilerOptions;cs+class://Mono/GetOptions/Options;(not implemented)
cs+class://DiskImageUpdater/UpdaterOptions;cs+class://Mono/GetOptions/Options;(not implemented)
cs+class://SharpOS/AOT/IR/Instructions/Add;cs+class://SharpOS/AOT/IR/Instructions/Instruction;(not implemented)
cs+class://SharpOS/AOT/IR/Instructions/And;cs+class://SharpOS/AOT/IR/Instructions/Instruction;(not implemented)
cs+class://SharpOS/AOT/IR/Instructions/Box;cs+class://SharpOS/AOT/IR/Instructions/Instruction;(not implemented)
cs+class://SharpOS/AOT/IR/Instructions/Branch;cs+class://SharpOS/AOT/IR/Instructions/Instruction;(not implemented)
cs+class://SharpOS/AOT/IR/Instructions/Break;cs+class://SharpOS/AOT/IR/Instructions/Instruction;(not implemented)
