TypeName;SystemType
cs+class://SharpOS/Kernel/ADC/X86/Architecture;True
cs+class://SharpOS/Kernel/ADC/X86/Barrier;True
cs+class://SharpOS/Kernel/ADC/X86/BootControl;True
cs+class://SharpOS/Kernel/ADC/X86/CMOS;True
cs+class://SharpOS/Kernel/ADC/X86/DMAModeValue;True
cs+class://SharpOS/Kernel/ADC/X86/DMATransferTypeValue;True
cs+class://SharpOS/Kernel/ADC/X86/DMAAutoValue;True
cs+class://SharpOS/Kernel/ADC/X86/DMA;True
cs+class://SharpOS/Kernel/ADC/X86/DTPointer;True
cs+class://SharpOS/Kernel/ADC/X86/ExceptionHandling;True
cs+class://SharpOS/Kernel/ADC/X86/GDT;True
cs+class://SharpOS/Kernel/ADC/X86/GDT/Entry;True
cs+class://SharpOS/Kernel/ADC/X86/IDT;True
cs+class://SharpOS/Kernel/ADC/X86/IDT/IDTDescriptor;True
cs+class://SharpOS/Kernel/ADC/X86/IDT/ISRData;True
cs+class://SharpOS/Kernel/ADC/X86/IDT/Stack;True
cs+class://SharpOS/Kernel/ADC/X86/Interlocked;True
cs+class://SharpOS/Kernel/ADC/X86/IO;True
cs+class://SharpOS/Kernel/ADC/X86/IRQHandler16bit;True
cs+interface://SharpOS/Kernel/HAL/IRQHandler;True
cs+class://SharpOS/Kernel/ADC/X86/IRQHandler16bit/IRQCallBack;True
cs+class://SharpOS/Kernel/ADC/X86/Keyboard;True
cs+class://SharpOS/Kernel/ADC/X86/MemoryUtil;True
cs+class://SharpOS/Kernel/ADC/X86/Pager;True
cs+class://SharpOS/Kernel/ADC/X86/PIC;True
cs+class://SharpOS/Kernel/ADC/X86/PIT;True
cs+class://SharpOS/Kernel/ADC/X86/Processor;True
cs+interface://SharpOS/Kernel/ADC/IProcessor;True
cs+class://SharpOS/Kernel/ADC/X86/RTC;True
cs+class://SharpOS/Kernel/ADC/X86/TextMode;True
cs+class://SharpOS/Kernel/ADC/X86/Thread;True
cs+class://SharpOS/Kernel/ADC/X86/ThreadManager;True
cs+class://SharpOS/Kernel/ADC/X86/Timer;True
cs+class://SharpOS/Kernel/ADC/Architecture;True
cs+class://SharpOS/Kernel/ADC/Barrier;True
cs+class://SharpOS/Kernel/ADC/BootControl;True
cs+class://SharpOS/Kernel/ADC/Debug;True
cs+class://SharpOS/Kernel/ADC/DebugHandler;True
cs+class://SharpOS/Kernel/ADC/Dispatcher;True
cs+class://SharpOS/Kernel/ADC/StackFrame;True
cs+class://SharpOS/Kernel/ADC/ExceptionHandling;True
cs+class://SharpOS/Kernel/ADC/Interlocked;True
cs+class://SharpOS/Kernel/ADC/IO;True
cs+class://SharpOS/Kernel/ADC/ProcessorFeature;True
cs+interface://SharpOS/Kernel/ADC/IScheduler;True
cs+class://SharpOS/Kernel/ADC/Keyboard;True
cs+class://SharpOS/Kernel/ADC/MemoryManager;True
cs+class://SharpOS/Kernel/ADC/MemoryManager/Header;True
cs+class://SharpOS/Kernel/ADC/MemoryUtil;True
cs+class://SharpOS/Kernel/ADC/Pager;True
cs+class://SharpOS/Kernel/ADC/RoundRobinScheduler;True
cs+class://SharpOS/Kernel/ADC/RTC;True
cs+class://SharpOS/Kernel/ADC/SimpleEventDispatch;True
cs+class://SharpOS/Kernel/ADC/SimpleEventDispatch/Dispatch;True
cs+class://SharpOS/Kernel/ADC/SpinLock;True
cs+class://SharpOS/Kernel/ADC/TextMode;True
cs+class://SharpOS/Kernel/ADC/Thread;True
cs+class://SharpOS/Kernel/ADC/ThreadManager;True
cs+class://SharpOS/Kernel/ADC/Timer;True
cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver;True
cs+class://SharpOS/Kernel/DeviceSystem/HardwareDevice;True
cs+interface://SharpOS/Kernel/DeviceSystem/DiskController/IDiskControllerDevice;True
cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver/FIFOCommand;True
cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver/DORFlags;True
cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver/FDC;True
cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver/FloppyDriveInfo;True
cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver/FloppyMediaInfo;True
cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver/LastSeek;True
cs+class://SharpOS/Kernel/DeviceSystem/DiskController/FloppyDiskDriver/TrackCache;True
cs+class://SharpOS/Kernel/DeviceSystem/DiskController/IDEDiskDriver;True
cs+class://SharpOS/Kernel/DeviceSystem/DiskController/IDEDiskDriver/IDECommand;True
