fromType;toType;fromMethod;toMethod;calledFrom
cs+class://Spring/Caching/NonExpiringCache;cs+class://Spring/Caching/AbstractCache;Void Remove(Object);Void Remove(Object);RemoveAll
cs+class://Spring/Caching/NonExpiringCache;cs+class://Spring/Caching/AbstractCache;Void RemoveAll(ICollection);Void RemoveAll(ICollection);Clear
cs+class://Spring/Caching/NonExpiringCache;cs+class://Spring/Caching/AbstractCache;Void DoInsert(Object, Object, TimeSpan);Void DoInsert(Object, Object, TimeSpan);Insert
cs+class://Spring/Collections/DictionarySet;cs+class://Spring/Collections/Set;Boolean AddAll(ICollection);Boolean AddAll(ICollection);Union
cs+class://Spring/Collections/DictionarySet;cs+class://Spring/Collections/Set;Boolean RetainAll(ICollection);Boolean RetainAll(ICollection);Intersect
cs+class://Spring/Collections/DictionarySet;cs+class://Spring/Collections/Set;Void Clear();Void Clear();Intersect
cs+class://Spring/Collections/DictionarySet;cs+class://Spring/Collections/Set;Boolean RemoveAll(ICollection);Boolean RemoveAll(ICollection);Minus
cs+class://Spring/Collections/DictionarySet;cs+class://Spring/Collections/Set;Boolean Contains(Object);Boolean Contains(Object);ExclusiveOr
cs+class://Spring/Collections/DictionarySet;cs+class://Spring/Collections/Set;Boolean Remove(Object);Boolean Remove(Object);ExclusiveOr
cs+class://Spring/Collections/DictionarySet;cs+class://Spring/Collections/Set;Boolean Add(Object);Boolean Add(Object);ExclusiveOr
cs+class://Spring/Collections/DictionarySet;cs+class://Spring/Collections/Set;Boolean AddAll(ICollection);Boolean AddAll(ICollection);Clone
cs+class://Spring/Collections/DictionarySet;cs+class://Spring/Collections/Set;Boolean Contains(Object);Boolean Contains(Object);Equals
cs+class://Spring/Collections/Generic/DictionarySet[1];cs+class://Spring/Collections/Generic/Set[1];Boolean AddAll(ICollection);Boolean AddAll(ICollection);Union
cs+class://Spring/Collections/Generic/DictionarySet[1];cs+class://Spring/Collections/Generic/Set[1];Boolean RetainAll(ICollection);Boolean RetainAll(ICollection);Intersect
cs+class://Spring/Collections/Generic/DictionarySet[1];cs+class://Spring/Collections/Generic/Set[1];Void Clear();Void Clear();Intersect
cs+class://Spring/Collections/Generic/DictionarySet[1];cs+class://Spring/Collections/Generic/Set[1];Boolean RemoveAll(ICollection);Boolean RemoveAll(ICollection);Minus
cs+class://Spring/Collections/Generic/DictionarySet[1];cs+class://Spring/Collections/Generic/Set[1];Boolean Contains(UnknownType);Boolean Contains(UnknownType);ExclusiveOr
cs+class://Spring/Collections/Generic/DictionarySet[1];cs+class://Spring/Collections/Generic/Set[1];Boolean Remove(UnknownType);Boolean Remove(UnknownType);ExclusiveOr
cs+class://Spring/Collections/Generic/DictionarySet[1];cs+class://Spring/Collections/Generic/Set[1];Boolean Add(UnknownType);Boolean Add(UnknownType);ExclusiveOr
