type;from;to;direct;marker;constants;systemType
CC;cs+class://Spring/Caching/BaseCacheAttribute;cs+class://System/Attribute;True;False;False;False
CI;cs+class://Spring/Caching/AbstractCache;cs+interface://Spring/Caching/ICache;True;False;False;True
CC;cs+class://Spring/Caching/CacheResultAttribute;cs+class://Spring/Caching/BaseCacheAttribute;True;False;False;True
CC;cs+class://Spring/Caching/CacheResultItemsAttribute;cs+class://Spring/Caching/BaseCacheAttribute;True;False;False;True
CC;cs+class://Spring/Caching/CacheParameterAttribute;cs+class://Spring/Caching/BaseCacheAttribute;True;False;False;True
CC;cs+class://Spring/Caching/InvalidateCacheAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://Spring/Caching/NonExpiringCache;cs+class://Spring/Caching/AbstractCache;True;False;False;True
CI;cs+class://Spring/Collections/AbstractQueue;cs+interface://Spring/Collections/IQueue;True;False;False;True
CC;cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;True;False;False;False
CC;cs+class://Spring/Collections/DictionarySet;cs+class://Spring/Collections/Set;True;False;False;True
CI;cs+class://Spring/Collections/DictionarySet/DictionarySetEnumerator;cs+interface://System/Collections/IEnumerator;True;False;False;False
CC;cs+class://Spring/Collections/Generic/DictionarySet[1];cs+class://Spring/Collections/Generic/Set[1];True;False;False;True
CC;cs+class://Spring/Collections/Generic/HashedSet[1];cs+class://Spring/Collections/Generic/DictionarySet[1];True;False;False;True
CC;cs+class://Spring/Collections/Generic/ImmutableSet[1];cs+class://Spring/Collections/Generic/Set[1];True;False;False;True
II;cs+interface://Spring/Collections/Generic/ISet[1];cs+interface://System/Collections/Generic/ICollection[1];True;False;False;False
II;cs+interface://Spring/Collections/Generic/ISet[1];cs+interface://System/Collections/Generic/IEnumerable[1];True;False;False;False
II;cs+interface://Spring/Collections/Generic/ISet[1];cs+interface://System/Collections/IEnumerable;True;False;False;False
II;cs+interface://Spring/Collections/Generic/ISet[1];cs+interface://System/ICloneable;True;False;False;False
CC;cs+class://Spring/Collections/Generic/OrderedSet[1];cs+class://Spring/Collections/Generic/DictionarySet[1];True;False;False;True
CI;cs+class://Spring/Collections/Generic/ReadOnlyDictionary[2];cs+interface://System/Collections/Generic/IDictionary[2];True;False;False;False
CI;cs+class://Spring/Collections/Generic/ReadOnlyDictionary[2];cs+interface://System/Collections/IDictionary;True;False;False;False
CI;cs+class://Spring/Collections/Generic/ReadOnlyDictionary[2];cs+interface://System/Runtime/Serialization/ISerializable;True;False;False;False
CI;cs+class://Spring/Collections/Generic/ReadOnlyDictionary[2];cs+interface://System/Runtime/Serialization/IDeserializationCallback;True;False;False;False
CI;cs+class://Spring/Collections/Generic/Set[1];cs+interface://Spring/Collections/Generic/ISet[1];True;False;False;True
CI;cs+class://Spring/Collections/Generic/Set[1];cs+interface://System/Collections/Generic/ICollection[1];True;False;False;False
CI;cs+class://Spring/Collections/Generic/Set[1];cs+interface://System/Collections/Generic/IEnumerable[1];True;False;False;False
CI;cs+class://Spring/Collections/Generic/Set[1];cs+interface://Spring/Collections/ISet;True;False;False;True
CI;cs+class://Spring/Collections/Generic/Set[1];cs+interface://System/Collections/ICollection;True;False;False;False
CI;cs+class://Spring/Collections/Generic/Set[1];cs+interface://System/Collections/IEnumerable;True;False;False;False
CI;cs+class://Spring/Collections/Generic/Set[1];cs+interface://System/ICloneable;True;False;False;False
CC;cs+class://Spring/Collections/Generic/SortedSet[1];cs+class://Spring/Collections/Generic/DictionarySet[1];True;False;False;True
CC;cs+class://Spring/Collections/Generic/SynchronizedSet[1];cs+class://Spring/Collections/Generic/Set[1];True;False;False;True
CC;cs+class://Spring/Collections/HashedSet;cs+class://Spring/Collections/DictionarySet;True;False;False;True
CC;cs+class://Spring/Collections/HybridSet;cs+class://Spring/Collections/DictionarySet;True;False;False;True
CC;cs+class://Spring/Collections/ImmutableSet;cs+class://Spring/Collections/Set;True;False;False;True
II;cs+interface://Spring/Collections/IQueue;cs+interface://System/Collections/ICollection;True;False;False;False
II;cs+interface://Spring/Collections/ISet;cs+interface://System/Collections/ICollection;True;False;False;False
II;cs+interface://Spring/Collections/ISet;cs+interface://System/ICloneable;True;False;False;False
CI;cs+class://Spring/Collections/LinkedList;cs+interface://System/Collections/IList;True;False;False;False
CI;cs+class://Spring/Collections/LinkedList/LinkedListEnumerator;cs+interface://System/Collections/IEnumerator;True;False;False;False
CC;cs+class://Spring/Collections/ListSet;cs+class://Spring/Collections/DictionarySet;True;False;False;True
CC;cs+class://Spring/Collections/NoElementsException;cs+class://System/ApplicationException;True;False;False;False
CC;cs+class://Spring/Collections/PriorityQueue;cs+class://Spring/Collections/AbstractQueue;True;False;False;True
CI;cs+class://Spring/Collections/PriorityQueue;cs+interface://System/Runtime/Serialization/ISerializable;True;False;False;False
CI;cs+class://Spring/Collections/PriorityQueue/PriorityQueueEnumerator;cs+interface://System/Collections/IEnumerator;True;False;False;False
CI;cs+class://Spring/Collections/Set;cs+interface://Spring/Collections/ISet;True;False;False;True
CC;cs+class://Spring/Collections/SortedSet;cs+class://Spring/Collections/DictionarySet;True;False;False;True
CC;cs+class://Spring/Collections/SynchronizedDictionaryEnumerator;cs+class://Spring/Collections/SynchronizedEnumerator;True;False;False;True
CI;cs+class://Spring/Collections/SynchronizedDictionaryEnumerator;cs+interface://System/Collections/IDictionaryEnumerator;True;False;False;False
CI;cs+class://Spring/Collections/SynchronizedEnumerator;cs+interface://System/Collections/IEnumerator;True;False;False;False
CI;cs+class://Spring/Collections/SynchronizedHashtable;cs+interface://System/Collections/IDictionary;True;False;False;False
CI;cs+class://Spring/Collections/SynchronizedHashtable;cs+interface://System/Collections/ICollection;True;False;False;False
CI;cs+class://Spring/Collections/SynchronizedHashtable;cs+interface://System/Collections/IEnumerable;True;False;False;False
CI;cs+class://Spring/Collections/SynchronizedHashtable;cs+interface://System/ICloneable;True;False;False;False
CC;cs+class://Spring/Collections/SynchronizedSet;cs+class://Spring/Collections/Set;True;False;False;True
CC;cs+class://Spring/Context/ApplicationContextException;cs+class://Spring/Objects/FatalObjectException;True;False;False;True
CC;cs+class://Spring/Context/ApplicationEventArgs;cs+class://System/EventArgs;True;False;False;False
CC;cs+class://Spring/Context/Attributes/AssemblyObjectDefinitionScanner;cs+class://Spring/Context/Attributes/RequiredConstraintAssemblyTypeScanner;True;False;False;True
CI;cs+class://Spring/Context/Attributes/AssemblyTypeScanner;cs+interface://Spring/Context/Attributes/IAssemblyTypeScanner;True;False;False;True
CI;cs+class://Spring/Context/Attributes/AssemblyTypeSource;cs+interface://System/Collections/Generic/IEnumerable[1];True;False;False;False
CI;cs+class://Spring/Context/Attributes/AttributeObjectNameGenerator;cs+interface://Spring/Objects/Factory/Support/IObjectNameGenerator;True;False;False;True
CC;cs+class://Spring/Context/Attributes/ConfigurationAttribute;cs+class://Spring/Stereotype/ComponentAttribute;True;False;False;True
CC;cs+class://Spring/Context/Attributes/ConfigurationClass/SealedConfigurationProblem;cs+class://Spring/Objects/Factory/Parsing/Problem;True;False;False;True
