direct?;source;from;to;from declaration;to declaration
False;MethodCall;cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;GetEnumerator;cs+class://Spring/Collections/CaseInsensitiveHashtable/(field initializer)
True;MethodCall;cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;Add;cs+class://Spring/Collections/CaseInsensitiveHashtable/(field initializer)
True;MethodCall;cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;GetObjectData;cs+class://Spring/Collections/CaseInsensitiveHashtable/GetObjectData
False;MethodCall;cs+class://Spring/Collections/DictionarySet;cs+class://Spring/Collections/Set;Count;cs+class://Spring/Collections/DictionarySet/(field initializer)
True;MethodCall;cs+class://Spring/Collections/DictionarySet;cs+class://Spring/Collections/Set;Contains;cs+class://Spring/Collections/DictionarySet/RetainAll
True;MethodCall;cs+class://Spring/Collections/DictionarySet;cs+class://Spring/Collections/Set;Add;cs+class://Spring/Collections/DictionarySet/RetainAll
False;MethodCall;cs+class://Spring/Collections/DictionarySet;cs+class://Spring/Collections/Set;Count;cs+class://Spring/Collections/DictionarySet/(field initializer)
False;MethodCall;cs+class://Spring/Collections/DictionarySet;cs+class://Spring/Collections/Set;SyncRoot;cs+class://Spring/Collections/DictionarySet/(field initializer)
False;MethodCall;cs+class://Spring/Collections/DictionarySet;cs+class://Spring/Collections/Set;GetEnumerator;cs+class://Spring/Collections/DictionarySet/GetEnumerator
False;MethodCall;cs+class://Spring/Collections/Generic/DictionarySet[1];cs+class://Spring/Collections/Generic/Set[1];Clear;cs+class://Spring/Collections/Generic/DictionarySet[1]/Clear
False;MethodCall;cs+class://Spring/Collections/Generic/DictionarySet[1];cs+class://Spring/Collections/Generic/Set[1];Count;cs+class://Spring/Collections/Generic/DictionarySet[1]/(field initializer)
True;MethodCall;cs+class://Spring/Collections/Generic/DictionarySet[1];cs+class://Spring/Collections/Generic/Set[1];Contains;cs+class://Spring/Collections/Generic/DictionarySet[1]/RetainAll
True;MethodCall;cs+class://Spring/Collections/Generic/DictionarySet[1];cs+class://Spring/Collections/Generic/Set[1];Add;cs+class://Spring/Collections/Generic/DictionarySet[1]/RetainAll
False;MethodCall;cs+class://Spring/Collections/Generic/DictionarySet[1];cs+class://Spring/Collections/Generic/Set[1];CopyTo;cs+class://Spring/Collections/Generic/DictionarySet[1]/CopyTo
False;MethodCall;cs+class://Spring/Collections/Generic/DictionarySet[1];cs+class://Spring/Collections/Generic/Set[1];Count;cs+class://Spring/Collections/Generic/DictionarySet[1]/(field initializer)
False;MethodCall;cs+class://Spring/Collections/Generic/DictionarySet[1];cs+class://Spring/Collections/Generic/Set[1];SyncRoot;cs+class://Spring/Collections/Generic/DictionarySet[1]/(field initializer)
False;MethodCall;cs+class://Spring/Collections/Generic/DictionarySet[1];cs+class://Spring/Collections/Generic/Set[1];GetEnumerator;cs+class://Spring/Collections/Generic/DictionarySet[1]/GetEnumerator
False;MethodCall;cs+class://Spring/Collections/Generic/DictionarySet[1];cs+class://Spring/Collections/Generic/Set[1];IsReadOnly;cs+class://Spring/Collections/Generic/DictionarySet[1]/(field initializer)
