direct?;source;from;to;from declaration
False;Assignment;cs+class://Spring/Caching/NonExpiringCache;cs+class://Spring/Caching/AbstractCache;SetUp in Spring.Aspects.Cache.CacheResultAdviceTests
False;Assignment;cs+class://Spring/Caching/NonExpiringCache;cs+class://Spring/Caching/AbstractCache;SetUp in Spring.Aspects.Cache.CacheResultAdviceTests
False;Assignment;cs+class://Spring/Caching/NonExpiringCache;cs+class://Spring/Caching/AbstractCache;SetUp in Spring.Aspects.Cache.CacheParameterAdviceTests
False;VariableInitializer;cs+class://Spring/Caching/NonExpiringCache;cs+class://Spring/Caching/AbstractCache;TestCaching in Spring.Aspects.Cache.CacheAspectIntegrationTests
False;VariableInitializer;cs+class://Spring/Caching/NonExpiringCache;cs+class://Spring/Caching/AbstractCache;TestCacheResultDoesNotReturnInvalidType in Spring.Aspects.Cache.CacheAspectIntegrationTests
False;VariableInitializer;cs+class://Spring/Caching/NonExpiringCache;cs+class://Spring/Caching/AbstractCache;NoCacheKeySpecified in Spring.Aspects.Cache.CacheAspectIntegrationTests
False;VariableInitializer;cs+class://Spring/Caching/NonExpiringCache;cs+class://Spring/Caching/AbstractCache;UseMethodInfoForKeyGeneration in Spring.Aspects.Cache.CacheAspectIntegrationTests
False;Assignment;cs+class://Spring/Caching/NonExpiringCache;cs+class://Spring/Caching/AbstractCache;SetUp in Spring.Aspects.Cache.InvalidateCacheAdviceTests
False;Parameter;cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;Clone in Spring.Collections.CaseInsensitiveHashtable
False;Assignment;cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;NamespaceParserRegistry in Spring.Objects.Factory.Xml.NamespaceParserRegistry
True;VariableInitializer;cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;(field initializer) in Spring.Util.DynamicCodeManager
True;VariableInitializer;cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;(field initializer) in Spring.Context.Support.WebApplicationContext
False;VariableInitializer;cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;(field initializer) in Spring.Web.Support.ResultFactoryRegistry
False;Return;cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;CreateCaseInsensitiveDictionary in Spring.Objects.Factory.Support.WebObjectFactory
False;VariableInitializer;cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;(field initializer) in Spring.Web.Support.AbstractHandlerFactory
False;Assignment;cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;GetRedirectUri in Spring.Web.Support.Result
False;Assignment;cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;ParseParameters in Spring.Web.Support.Result
False;Assignment;cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;Args in Spring.Web.UI.MasterPage
