From;To;Source
cs+class://Spring/Caching/CacheResultAttribute;cs+class://Spring/Caching/BaseCacheAttribute;(not implemented)
cs+class://Spring/Caching/CacheResultItemsAttribute;cs+class://Spring/Caching/BaseCacheAttribute;(not implemented)
cs+class://Spring/Caching/CacheParameterAttribute;cs+class://Spring/Caching/BaseCacheAttribute;(not implemented)
cs+class://Spring/Collections/CaseInsensitiveHashtable;cs+class://System/Collections/Hashtable;(not implemented)
cs+class://Spring/Collections/NoElementsException;cs+class://System/ApplicationException;(not implemented)
cs+class://Spring/Collections/SynchronizedDictionaryEnumerator;cs+class://Spring/Collections/SynchronizedEnumerator;(not implemented)
cs+class://Spring/Context/ApplicationContextException;cs+class://Spring/Objects/FatalObjectException;(not implemented)
cs+class://Spring/Context/Attributes/ConfigurationClass/SealedConfigurationProblem;cs+class://Spring/Objects/Factory/Parsing/Problem;(not implemented)
cs+class://Spring/Context/Attributes/ConfigurationClass/ObjectMethodOverloadingProblem;cs+class://Spring/Objects/Factory/Parsing/Problem;(not implemented)
cs+class://Spring/Context/Attributes/ConfigurationClassEnhancer/ConfigurationClassProxyMethodBuilder;cs+class://Spring/Proxy/AbstractProxyMethodBuilder;(not implemented)
cs+class://Spring/Context/Attributes/ConfigurationClassMethod/MethodWithParametersError;cs+class://Spring/Objects/Factory/Parsing/Problem;(not implemented)
cs+class://Spring/Context/Attributes/ConfigurationClassMethod/NonVirtualMethodError;cs+class://Spring/Objects/Factory/Parsing/Problem;(not implemented)
cs+class://Spring/Context/Attributes/ConfigurationClassMethod/StaticMethodError;cs+class://Spring/Objects/Factory/Parsing/Problem;(not implemented)
cs+class://Spring/Context/Attributes/ConfigurationClassParser/CircularImportProblem;cs+class://Spring/Objects/Factory/Parsing/Problem;(not implemented)
cs+class://Spring/Context/Events/ContextRefreshedEventArgs;cs+class://Spring/Context/Events/ContextEventArgs;(not implemented)
cs+class://Spring/Context/Events/ContextClosedEventArgs;cs+class://Spring/Context/Events/ContextEventArgs;(not implemented)
cs+class://Spring/Context/NoSuchMessageException;cs+class://System/ApplicationException;(not implemented)
cs+class://Spring/Context/Support/AbstractXmlApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;(not implemented)
cs+class://Spring/Context/Support/CodeConfigApplicationContext;cs+class://Spring/Context/Support/GenericApplicationContext;(not implemented)
cs+class://Spring/Context/Support/ContextHandler/RootContextInstantiator;cs+class://Spring/Context/Support/ContextHandler/ContextInstantiator;(not implemented)
cs+class://Spring/Context/Support/ContextHandler/DescendantContextInstantiator;cs+class://Spring/Context/Support/ContextHandler/ContextInstantiator;(not implemented)
