type;from;to;direct;marker;constants;systemType
CC;cs+class://Umbraco/Web/BatchedServerMessenger;cs+class://Umbraco/Core/Sync/DefaultServerMessenger;True;False;False;True
CC;cs+class://Umbraco/Web/Cache/ApplicationCacheRefresher;cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];True;False;False;True
CC;cs+class://Umbraco/Web/Cache/ApplicationTreeCacheRefresher;cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];True;False;False;True
CC;cs+class://Umbraco/Web/Cache/ContentTypeCacheRefresher;cs+class://Umbraco/Core/Cache/JsonCacheRefresherBase[1];True;False;False;True
CC;cs+class://Umbraco/Web/Cache/DataTypeCacheRefresher;cs+class://Umbraco/Core/Cache/JsonCacheRefresherBase[1];True;False;False;True
CC;cs+class://Umbraco/Web/Cache/DictionaryCacheRefresher;cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];True;False;False;True
CC;cs+class://Umbraco/Web/Cache/CacheRefresherEventHandler;cs+class://Umbraco/Core/ApplicationEventHandler;True;False;False;True
CC;cs+class://Umbraco/Web/Cache/DomainCacheRefresher;cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];True;False;False;True
CC;cs+class://Umbraco/Web/Cache/LanguageCacheRefresher;cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];True;False;False;True
CC;cs+class://Umbraco/Web/Cache/MacroCacheRefresher;cs+class://Umbraco/Core/Cache/JsonCacheRefresherBase[1];True;False;False;True
CC;cs+class://Umbraco/Web/Cache/MediaCacheRefresher;cs+class://Umbraco/Core/Cache/JsonCacheRefresherBase[1];True;False;False;True
CC;cs+class://Umbraco/Web/Cache/MemberCacheRefresher;cs+class://Umbraco/Core/Cache/TypedCacheRefresherBase[2];True;False;False;True
CC;cs+class://Umbraco/Web/Cache/MemberGroupCacheRefresher;cs+class://Umbraco/Core/Cache/JsonCacheRefresherBase[1];True;False;False;True
CC;cs+class://Umbraco/Web/Cache/PageCacheRefresher;cs+class://Umbraco/Core/Cache/TypedCacheRefresherBase[2];True;False;False;True
CC;cs+class://Umbraco/Web/Cache/PublicAccessCacheRefresher;cs+class://Umbraco/Core/Cache/JsonCacheRefresherBase[1];True;False;False;True
CC;cs+class://Umbraco/Web/Cache/StylesheetCacheRefresher;cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];True;False;False;True
CC;cs+class://Umbraco/Web/Cache/StylesheetPropertyCacheRefresher;cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];True;False;False;True
CC;cs+class://Umbraco/Web/Cache/TemplateCacheRefresher;cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];True;False;False;True
CC;cs+class://Umbraco/Web/Cache/UnpublishedPageCacheRefresher;cs+class://Umbraco/Core/Cache/TypedCacheRefresherBase[2];True;False;False;True
CI;cs+class://Umbraco/Web/Cache/UnpublishedPageCacheRefresher;cs+interface://Umbraco/Core/Cache/IJsonCacheRefresher;True;False;False;True
CC;cs+class://Umbraco/Web/Cache/UserCacheRefresher;cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];True;False;False;True
CC;cs+class://Umbraco/Web/Cache/UserPermissionsCacheRefresher;cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];True;False;False;True
CC;cs+class://Umbraco/Web/Cache/UserTypeCacheRefresher;cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];True;False;False;True
CC;cs+class://Umbraco/Web/Editors/AuthenticationController;cs+class://Umbraco/Web/WebApi/UmbracoApiController;True;False;False;True
CC;cs+class://Umbraco/Web/Controllers/UmbProfileController;cs+class://Umbraco/Web/Mvc/SurfaceController;True;False;False;True
CC;cs+class://Umbraco/Web/Editors/ContentController;cs+class://Umbraco/Web/Editors/ContentControllerBase;True;False;False;True
CC;cs+class://Umbraco/Web/Controllers/UmbLoginStatusController;cs+class://Umbraco/Web/Mvc/SurfaceController;True;False;False;True
CC;cs+class://Umbraco/Web/Editors/ContentPostValidateAttribute;cs+class://System/Web/Http/Filters/ActionFilterAttribute;True;False;False;False
CC;cs+class://Umbraco/Web/Editors/DashboardController;cs+class://Umbraco/Web/Editors/UmbracoAuthorizedJsonController;True;False;False;True
CC;cs+class://Umbraco/Web/Editors/DataTypeController;cs+class://Umbraco/Web/Editors/UmbracoAuthorizedJsonController;True;False;False;True
CC;cs+class://Umbraco/Web/Editors/DataTypeValidateAttribute;cs+class://System/Web/Http/Filters/ActionFilterAttribute;True;False;False;False
CC;cs+class://Umbraco/Web/Editors/EntityControllerActionSelector;cs+class://System/Web/Http/Controllers/ApiControllerActionSelector;True;False;False;False
CC;cs+class://Umbraco/Web/Editors/EntityControllerConfigurationAttribute;cs+class://System/Attribute;True;False;False;False
CI;cs+class://Umbraco/Web/Editors/EntityControllerConfigurationAttribute;cs+interface://System/Web/Http/Controllers/IControllerConfiguration;True;False;False;False
