direct?;source;from;to;from declaration;to declaration
True;FieldAccess;cs+class://Umbraco/Web/BatchedServerMessenger;cs+class://Umbraco/Core/Sync/DefaultServerMessenger;Login;cs+class://Umbraco/Web/BatchedServerMessenger/SendMessages
True;FieldAccess;cs+class://Umbraco/Web/BatchedServerMessenger;cs+class://Umbraco/Core/Sync/DefaultServerMessenger;Password;cs+class://Umbraco/Web/BatchedServerMessenger/SendMessages
True;MethodCall;cs+class://Umbraco/Web/BatchedServerMessenger;cs+class://Umbraco/Core/Sync/DefaultServerMessenger;GetAsyncResults;cs+class://Umbraco/Web/BatchedServerMessenger/SendMessages
True;MethodCall;cs+class://Umbraco/Web/Cache/ApplicationCacheRefresher;cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];RefreshAll;cs+class://Umbraco/Web/Cache/ApplicationCacheRefresher/RefreshAll
True;MethodCall;cs+class://Umbraco/Web/Cache/ApplicationCacheRefresher;cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];Refresh;cs+class://Umbraco/Web/Cache/ApplicationCacheRefresher/Refresh
True;MethodCall;cs+class://Umbraco/Web/Cache/ApplicationCacheRefresher;cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];Remove;cs+class://Umbraco/Web/Cache/ApplicationCacheRefresher/Remove
True;MethodCall;cs+class://Umbraco/Web/Cache/ApplicationTreeCacheRefresher;cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];RefreshAll;cs+class://Umbraco/Web/Cache/ApplicationTreeCacheRefresher/RefreshAll
True;MethodCall;cs+class://Umbraco/Web/Cache/ApplicationTreeCacheRefresher;cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];Refresh;cs+class://Umbraco/Web/Cache/ApplicationTreeCacheRefresher/Refresh
True;MethodCall;cs+class://Umbraco/Web/Cache/ApplicationTreeCacheRefresher;cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];Remove;cs+class://Umbraco/Web/Cache/ApplicationTreeCacheRefresher/Remove
False;MethodCall;cs+class://Umbraco/Web/Cache/ContentTypeCacheRefresher;cs+class://Umbraco/Core/Cache/JsonCacheRefresherBase[1];RefreshAll;cs+class://Umbraco/Web/Cache/ContentTypeCacheRefresher/RefreshAll
False;MethodCall;cs+class://Umbraco/Web/Cache/ContentTypeCacheRefresher;cs+class://Umbraco/Core/Cache/JsonCacheRefresherBase[1];Refresh;cs+class://Umbraco/Web/Cache/ContentTypeCacheRefresher/Refresh
False;MethodCall;cs+class://Umbraco/Web/Cache/ContentTypeCacheRefresher;cs+class://Umbraco/Core/Cache/JsonCacheRefresherBase[1];Remove;cs+class://Umbraco/Web/Cache/ContentTypeCacheRefresher/Remove
True;MethodCall;cs+class://Umbraco/Web/Cache/ContentTypeCacheRefresher;cs+class://Umbraco/Core/Cache/JsonCacheRefresherBase[1];Refresh;cs+class://Umbraco/Web/Cache/ContentTypeCacheRefresher/Refresh
False;MethodCall;cs+class://Umbraco/Web/Cache/ContentTypeCacheRefresher;cs+class://Umbraco/Core/Cache/JsonCacheRefresherBase[1];RefreshAll;cs+class://Umbraco/Web/Cache/ContentTypeCacheRefresher/ClearContentTypeCache
True;MethodCall;cs+class://Umbraco/Web/Cache/DataTypeCacheRefresher;cs+class://Umbraco/Core/Cache/JsonCacheRefresherBase[1];Refresh;cs+class://Umbraco/Web/Cache/DataTypeCacheRefresher/Refresh
True;MethodCall;cs+class://Umbraco/Web/Cache/DictionaryCacheRefresher;cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];Refresh;cs+class://Umbraco/Web/Cache/DictionaryCacheRefresher/Refresh
True;MethodCall;cs+class://Umbraco/Web/Cache/DictionaryCacheRefresher;cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];Remove;cs+class://Umbraco/Web/Cache/DictionaryCacheRefresher/Remove
True;MethodCall;cs+class://Umbraco/Web/Cache/DomainCacheRefresher;cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];Refresh;cs+class://Umbraco/Web/Cache/DomainCacheRefresher/Refresh
True;MethodCall;cs+class://Umbraco/Web/Cache/DomainCacheRefresher;cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];Remove;cs+class://Umbraco/Web/Cache/DomainCacheRefresher/Remove
True;MethodCall;cs+class://Umbraco/Web/Cache/LanguageCacheRefresher;cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];Refresh;cs+class://Umbraco/Web/Cache/LanguageCacheRefresher/Refresh
True;MethodCall;cs+class://Umbraco/Web/Cache/LanguageCacheRefresher;cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];Remove;cs+class://Umbraco/Web/Cache/LanguageCacheRefresher/Remove
False;MethodCall;cs+class://Umbraco/Web/Cache/MacroCacheRefresher;cs+class://Umbraco/Core/Cache/JsonCacheRefresherBase[1];RefreshAll;cs+class://Umbraco/Web/Cache/MacroCacheRefresher/RefreshAll
True;MethodCall;cs+class://Umbraco/Web/Cache/MacroCacheRefresher;cs+class://Umbraco/Core/Cache/JsonCacheRefresherBase[1];Refresh;cs+class://Umbraco/Web/Cache/MacroCacheRefresher/Refresh
True;MethodCall;cs+class://Umbraco/Web/Cache/MediaCacheRefresher;cs+class://Umbraco/Core/Cache/JsonCacheRefresherBase[1];Refresh;cs+class://Umbraco/Web/Cache/MediaCacheRefresher/Refresh
False;MethodCall;cs+class://Umbraco/Web/Cache/MediaCacheRefresher;cs+class://Umbraco/Core/Cache/JsonCacheRefresherBase[1];Refresh;cs+class://Umbraco/Web/Cache/MediaCacheRefresher/Refresh
False;MethodCall;cs+class://Umbraco/Web/Cache/MediaCacheRefresher;cs+class://Umbraco/Core/Cache/JsonCacheRefresherBase[1];Remove;cs+class://Umbraco/Web/Cache/MediaCacheRefresher/Remove
False;MethodCall;cs+class://Umbraco/Web/Cache/MemberCacheRefresher;cs+class://Umbraco/Core/Cache/TypedCacheRefresherBase[2];Refresh;cs+class://Umbraco/Web/Cache/MemberCacheRefresher/Refresh
False;MethodCall;cs+class://Umbraco/Web/Cache/MemberCacheRefresher;cs+class://Umbraco/Core/Cache/TypedCacheRefresherBase[2];Remove;cs+class://Umbraco/Web/Cache/MemberCacheRefresher/Remove
True;MethodCall;cs+class://Umbraco/Web/Cache/MemberCacheRefresher;cs+class://Umbraco/Core/Cache/TypedCacheRefresherBase[2];Refresh;cs+class://Umbraco/Web/Cache/MemberCacheRefresher/Refresh
