direct?;source;from;to;from declaration
False;Parameter;cs+class://Umbraco/Web/BatchedServerMessenger;cs+class://Umbraco/Core/Sync/DefaultServerMessenger;InitializeResolvers in Umbraco.Web.WebBootManager
False;ThisChangingType;cs+class://Umbraco/Web/Models/ContentEditing/ContentBaseItemSave[1];cs+class://Umbraco/Web/Models/ContentEditing/ContentItemBasic[2];Equals in Umbraco.Web.Models.ContentEditing.ContentItemBasic
False;ThisChangingType;cs+class://Umbraco/Web/Models/ContentEditing/MediaItemSave;cs+class://Umbraco/Web/Models/ContentEditing/ContentBaseItemSave[1];Equals in Umbraco.Web.Models.ContentEditing.ContentItemBasic
True;Parameter;cs+class://Umbraco/Web/Models/ContentEditing/MediaItemSave;cs+class://Umbraco/Web/Models/ContentEditing/ContentBaseItemSave[1];PostSave in Umbraco.Web.Editors.MediaController
False;ThisChangingType;cs+class://Umbraco/Web/Models/ContentEditing/ListViewAwareContentItemDisplayBase[2];cs+class://Umbraco/Web/Models/ContentEditing/ContentItemDisplayBase[2];Equals in Umbraco.Web.Models.ContentEditing.ContentItemBasic
True;Return;cs+class://Umbraco/Web/Mvc/NotFoundHandler;cs+interface://System/Web/IHttpHandler;GetHttpHandler in Umbraco.Web.Mvc.UmbracoVirtualNodeRouteHandler
True;ThisChangingType;cs+class://Umbraco/Web/PublishedCache/MemberPublishedContent;cs+class://Umbraco/Web/Models/PublishedContentBase;GetProperty in Umbraco.Web.Models.PublishedContentBase
True;ThisChangingType;cs+class://Umbraco/Web/Mvc/UmbracoTemplatePage[1];cs+class://Umbraco/Web/Mvc/UmbracoViewPage[1];RenderSection in Umbraco.Web.Mvc.UmbracoViewPage
True;ThisChangingType;cs+class://Umbraco/Web/Mvc/UmbracoTemplatePage[1];cs+class://Umbraco/Web/Mvc/UmbracoViewPage[1];RenderSection in Umbraco.Web.Mvc.UmbracoViewPage
True;ThisChangingType;cs+class://Umbraco/Web/Mvc/UmbracoTemplatePage[1];cs+class://Umbraco/Web/Mvc/UmbracoViewPage[1];RenderSection in Umbraco.Web.Mvc.UmbracoViewPage
True;ThisChangingType;cs+class://Umbraco/Web/Mvc/UmbracoTemplatePage[1];cs+class://Umbraco/Web/Mvc/UmbracoViewPage[1];RenderSection in Umbraco.Web.Mvc.UmbracoViewPage
True;ThisChangingType;cs+class://Umbraco/Web/Mvc/UmbracoViewPage;cs+class://Umbraco/Web/Mvc/UmbracoViewPage[1];RenderSection in Umbraco.Web.Mvc.UmbracoViewPage
True;ThisChangingType;cs+class://Umbraco/Web/Mvc/UmbracoViewPage;cs+class://Umbraco/Web/Mvc/UmbracoViewPage[1];RenderSection in Umbraco.Web.Mvc.UmbracoViewPage
True;ThisChangingType;cs+class://Umbraco/Web/Mvc/UmbracoViewPage;cs+class://Umbraco/Web/Mvc/UmbracoViewPage[1];RenderSection in Umbraco.Web.Mvc.UmbracoViewPage
True;ThisChangingType;cs+class://Umbraco/Web/Mvc/UmbracoViewPage;cs+class://Umbraco/Web/Mvc/UmbracoViewPage[1];RenderSection in Umbraco.Web.Mvc.UmbracoViewPage
True;Parameter;cs+class://Umbraco/Web/Models/ContentEditing/MemberDisplay;cs+class://Umbraco/Web/Models/ContentEditing/ContentItemDisplayBase[2];MapGenericCustomProperties in Umbraco.Web.Models.Mapping.MemberModelMapper
True;Parameter;cs+class://Umbraco/Web/Models/ContentEditing/MemberDisplay;cs+class://Umbraco/Web/Models/ContentEditing/ContentItemDisplayBase[2];PostSave in Umbraco.Web.Editors.MemberController
False;ThisChangingType;cs+class://Umbraco/Web/Models/ContentEditing/MemberDisplay;cs+class://Umbraco/Web/Models/ContentEditing/ContentItemDisplayBase[2];Equals in Umbraco.Web.Models.ContentEditing.ContentItemBasic
True;Parameter;cs+class://Umbraco/Web/Models/ContentEditing/MemberSave;cs+class://Umbraco/Web/Models/ContentEditing/ContentBaseItemSave[1];MapPropertyValues in Umbraco.Web.Editors.MemberController
True;Parameter;cs+class://Umbraco/Web/Models/ContentEditing/MemberSave;cs+class://Umbraco/Web/Models/ContentEditing/ContentBaseItemSave[1];MapPropertyValues in Umbraco.Web.Editors.MemberController
True;Parameter;cs+class://Umbraco/Web/Models/ContentEditing/MemberSave;cs+class://Umbraco/Web/Models/ContentEditing/ContentBaseItemSave[1];RefetchMemberData in Umbraco.Web.Editors.MemberController
False;ThisChangingType;cs+class://Umbraco/Web/Models/ContentEditing/MemberSave;cs+class://Umbraco/Web/Models/ContentEditing/ContentBaseItemSave[1];Equals in Umbraco.Web.Models.ContentEditing.ContentItemBasic
False;Return;cs+class://Umbraco/Web/PropertyEditors/ColorListPreValueEditor;cs+class://Umbraco/Web/PropertyEditors/ValueListPreValueEditor;CreatePreValueEditor in Umbraco.Web.PropertyEditors.ColorPickerPropertyEditor
