TypeName;SystemType
cs+class://Umbraco/Web/ApplicationContextExtensions;True
cs+class://Umbraco/Web/AreaRegistrationContextExtensions;True
cs+class://Umbraco/Web/BatchedServerMessenger;True
cs+class://Umbraco/Core/Sync/DefaultServerMessenger;True
cs+class://Umbraco/Web/BatchedServerMessenger/Message;True
cs+class://Umbraco/Web/CacheHelperExtensions;True
cs+class://Umbraco/Web/Cache/ApplicationCacheRefresher;True
cs+class://Umbraco/Core/Cache/CacheRefresherBase[1];True
cs+class://Umbraco/Web/Cache/ApplicationTreeCacheRefresher;True
cs+class://Umbraco/Web/Cache/ContentTypeCacheRefresher;True
cs+class://Umbraco/Core/Cache/JsonCacheRefresherBase[1];True
cs+class://Umbraco/Web/Cache/ContentTypeCacheRefresher/JsonPayload;True
cs+class://Umbraco/Web/Cache/DataTypeCacheRefresher;True
cs+class://Umbraco/Web/Cache/DataTypeCacheRefresher/JsonPayload;True
cs+class://Umbraco/Web/Cache/DictionaryCacheRefresher;True
cs+class://Umbraco/Web/Cache/DistributedCache;True
cs+class://Umbraco/Web/Cache/DistributedCacheExtensions;True
cs+class://Umbraco/Web/Cache/CacheRefresherEventHandler;True
cs+class://Umbraco/Core/ApplicationEventHandler;True
cs+class://Umbraco/Web/Cache/DomainCacheRefresher;True
cs+class://Umbraco/Web/Cache/LanguageCacheRefresher;True
cs+class://Umbraco/Web/Cache/MacroCacheRefresher;True
cs+class://Umbraco/Web/Cache/MacroCacheRefresher/JsonPayload;True
cs+class://Umbraco/Web/Cache/MediaCacheRefresher;True
cs+class://Umbraco/Web/Cache/MediaCacheRefresher/JsonPayload;True
cs+class://Umbraco/Web/Cache/MemberCacheRefresher;True
cs+class://Umbraco/Core/Cache/TypedCacheRefresherBase[2];True
cs+class://Umbraco/Web/Cache/MemberGroupCacheRefresher;True
cs+class://Umbraco/Web/Cache/MemberGroupCacheRefresher/JsonPayload;True
cs+class://Umbraco/Web/Cache/PageCacheRefresher;True
cs+class://Umbraco/Web/Cache/PublicAccessCacheRefresher;True
cs+class://Umbraco/Web/Cache/PublicAccessCacheRefresher/JsonPayload;True
cs+class://Umbraco/Web/Cache/StylesheetCacheRefresher;True
cs+class://Umbraco/Web/Cache/StylesheetPropertyCacheRefresher;True
cs+class://Umbraco/Web/Cache/TemplateCacheRefresher;True
cs+class://Umbraco/Web/Cache/UnpublishedPageCacheRefresher;True
cs+interface://Umbraco/Core/Cache/IJsonCacheRefresher;True
cs+class://Umbraco/Web/Cache/UnpublishedPageCacheRefresher/JsonPayload;True
cs+class://Umbraco/Web/Cache/UserCacheRefresher;True
cs+class://Umbraco/Web/Cache/UserPermissionsCacheRefresher;True
cs+class://Umbraco/Web/Cache/UserTypeCacheRefresher;True
cs+class://Umbraco/Web/Editors/AuthenticationController;True
cs+class://Umbraco/Web/WebApi/UmbracoApiController;True
cs+class://Umbraco/Web/Controllers/UmbProfileController;True
cs+class://Umbraco/Web/Mvc/SurfaceController;True
cs+class://Umbraco/Web/Editors/ContentController;True
cs+class://Umbraco/Web/Editors/ContentControllerBase;True
cs+class://Umbraco/Web/Controllers/UmbLoginStatusController;True
cs+class://Umbraco/Web/Editors/ContentPostValidateAttribute;True
cs+class://System/Web/Http/Filters/ActionFilterAttribute;False
cs+class://System/Web/Http/Controllers/HttpActionContext;False
cs+class://System/Object;False
cs+class://System/String;False
cs+class://System/Boolean;False
cs+class://System/Int32;False
cs+class://System/Type;False
cs+class://System/Reflection/MemberInfo;False
cs+interface://System/Collections/Generic/IList[1];False
cs+interface://System/Collections/IEnumerable;False
cs+interface://System/Collections/IEnumerator;False
cs+interface://System/Collections/Generic/IEnumerable[1];False
cs+interface://System/Collections/Generic/IEnumerator[1];False
cs+interface://System/IDisposable;False
cs+class://System/Reflection/CustomAttributeData;False
cs+class://System/Reflection/Module;False
cs+class://System/Reflection/MethodBase;False
cs+class://System/RuntimeMethodHandle;False
cs+class://System/ValueType;False
cs+class://System/Runtime/Serialization/SerializationInfo;False
cs+class://System/Runtime/Serialization/SerializationInfoEnumerator;False
cs+class://System/Runtime/Serialization/SerializationEntry;False
cs+class://System/Char;False
cs+interface://System/IFormatProvider;False
cs+class://System/Globalization/CultureInfo;False
cs+class://System/Globalization/CompareInfo;False
cs+class://System/Reflection/Assembly;False
cs+class://System/Security/Policy/Evidence;False
cs+class://System/Array;False
cs+class://System/Collections/ObjectModel/ReadOnlyCollection[1];False
cs+interface://System/Collections/Generic/ICollection[1];False
cs+interface://System/Collections/IList;False
cs+interface://System/Collections/ICollection;False
cs+interface://System/Collections/Generic/IReadOnlyList[1];False
cs+interface://System/Collections/Generic/IReadOnlyCollection[1];False
cs+class://System/Int64;False
cs+interface://System/IComparable;False
cs+interface://System/IFormattable;False
cs+interface://System/IConvertible;False
cs+class://System/SByte;False
cs+interface://System/IComparable[1];False
cs+interface://System/IEquatable[1];False
cs+class://System/Byte;False
cs+class://System/Int16;False
cs+class://System/UInt16;False
cs+class://System/UInt32;False
cs+class://System/UInt64;False
cs+class://System/Single;False
cs+class://System/Double;False
cs+class://System/Decimal;False
cs+interface://System/Runtime/Serialization/IDeserializationCallback;False
cs+class://System/DateTime;False
cs+class://System/TimeSpan;False
cs+interface://System/Runtime/Serialization/ISerializable;False
cs+class://System/Runtime/Serialization/StreamingContext;False
cs+interface://System/Collections/IComparer;False
