direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://NASA/Plugins/BMNG;cs+class://System/Windows/Forms/Form;Owner;cs+class://NASA/Plugins/BmngLoader/Load
True;MethodCall;cs+class://WorldWind/CMPlugins/ExternalLayerManager/ExternalLayerManager;cs+class://System/Windows/Forms/Form;Owner;cs+class://WorldWind/CMPlugins/ExternalLayerManager/ExternalLayerManagerLoader/menuItemClicked
True;MethodCall;cs+class://GpsTracker/GpsTracker;cs+class://System/Windows/Forms/Form;Close;cs+class://GpsTracker/GpsTrackerPlugin/Unload
True;MethodCall;cs+class://GpsTracker/PlaybackControl;cs+class://System/Windows/Forms/Form;WindowState;cs+class://GpsTracker/GPSIcon/PerformSelectionAction
True;MethodCall;cs+class://GpsTracker/GpsSetup;cs+class://System/Windows/Forms/Form;WindowState;cs+class://GpsTracker/GPSIcon/PerformSelectionAction
True;MethodCall;cs+class://GpsTracker/GpsTrackerPlugin;cs+class://WorldWind/PluginEngine/Plugin;ParentApplication;cs+class://GpsTracker/GPSTrackerOverlay/(field initializer)
False;MethodCall;cs+class://GpsTracker/GPSTrackerOverlay;cs+class://WorldWind/Renderable/RenderableObjectList;IsOn;cs+class://GpsTracker/GpsTracker/Stop
True;MethodCall;cs+class://GpsTracker/GPSTrackerOverlay;cs+class://WorldWind/Renderable/RenderableObjectList;RemoveAll;cs+class://GpsTracker/GpsTracker/StartStop_Click
False;MethodCall;cs+class://GpsTracker/GPSTrackerOverlay;cs+class://WorldWind/Renderable/RenderableObjectList;IsOn;cs+class://GpsTracker/GpsTracker/StartStop_Click
True;MethodCall;cs+class://GpsTracker/GPSTrackerOverlay;cs+class://WorldWind/Renderable/RenderableObjectList;Update;cs+class://GpsTracker/GpsTrackerPlugin/pluginAddOverlay
False;MethodCall;cs+class://GpsTracker/GPSTrackerOverlay;cs+class://WorldWind/Renderable/RenderableObjectList;Name;cs+class://GpsTracker/GpsTrackerPlugin/pluginRemoveOverlay
True;MethodCall;cs+class://GpsTracker/POIName;cs+class://System/Windows/Forms/Form;ShowDialog;cs+class://GpsTracker/GPSTrackerOverlay/PerformSelectionAction
True;MethodCall;cs+class://MeasureToolNewgen/Plugins/MeasureToolLayer;cs+class://WorldWind/LineFeature;Clear;cs+class://MeasureToolNewgen/Plugins/MeasureToolNG/ClearLines
True;MethodCall;cs+class://KMLPlugin/AboutForm;cs+class://System/Windows/Forms/Form;ShowDialog;cs+class://KMLPlugin/KMLImporter/aboutMenu_Click
True;MethodCall;cs+class://MeasureTool/Plugins/MeasureTool;cs+class://WorldWind/PluginEngine/Plugin;ParentApplication;cs+class://MeasureTool/Plugins/MeasureToolLayer/(field initializer)
True;MethodCall;cs+class://MeasureTool/Plugins/MeasureToolLayer/MeasureMultiLine;cs+class://System/Collections/ArrayList;Clear;cs+class://MeasureTool/Plugins/MeasureToolLayer/MouseUp
True;MethodCall;cs+class://MeasureTool/Plugins/MeasureToolLayer/MeasureMultiLine;cs+class://System/Collections/ArrayList;Clear;cs+class://MeasureTool/Plugins/MeasureToolLayer/MouseUp
True;MethodCall;cs+class://MeasureTool/Plugins/MeasureToolLayer/MeasureMultiLine;cs+class://System/Collections/ArrayList;Count;cs+class://MeasureTool/Plugins/MeasureToolLayer/MouseUp
True;MethodCall;cs+class://MeasureTool/Plugins/MeasureToolLayer/MeasureMultiLine;cs+class://System/Collections/ArrayList;Count;cs+class://MeasureTool/Plugins/MeasureToolLayer/MouseUp
True;MethodCall;cs+class://MeasureTool/Plugins/MeasureToolLayer/MeasureMultiLine;cs+class://System/Collections/ArrayList;Count;cs+class://MeasureTool/Plugins/MeasureToolLayer/MouseUp
True;MethodCall;cs+class://MeasureTool/Plugins/MeasureToolLayer/MeasureMultiLine;cs+class://System/Collections/ArrayList;Clear;cs+class://MeasureTool/Plugins/MeasureToolLayer/MouseRightClick
True;MethodCall;cs+class://MeasureTool/Plugins/MeasureToolLayer/MeasureMultiLine;cs+class://System/Collections/ArrayList;Count;cs+class://MeasureTool/Plugins/MeasureToolLayer/MouseMove
True;MethodCall;cs+class://MeasureTool/Plugins/MeasureToolLayer/MeasureMultiLine;cs+class://System/Collections/ArrayList;Count;cs+class://MeasureTool/Plugins/MeasureToolLayer/MouseMove
True;MethodCall;cs+class://MeasureTool/Plugins/MeasureToolLayer/MeasureMultiLine;cs+class://System/Collections/ArrayList;Count;cs+class://MeasureTool/Plugins/MeasureToolLayer/SaveMultiLine/writeShape
True;MethodCall;cs+class://MeasureTool/Plugins/MeasureToolLayer/MeasureMultiLine;cs+class://System/Collections/ArrayList;Count;cs+class://MeasureTool/Plugins/MeasureToolLayer/SaveMultiLine/writeShape
True;MethodCall;cs+class://MeasureTool/Plugins/MeasureToolLayer/MeasureMultiLine;cs+class://System/Collections/ArrayList;Count;cs+class://MeasureTool/Plugins/MeasureToolLayer/SaveMultiLine/writeShape
True;MethodCall;cs+class://NASA/Plugins/NRLMontereyGlobal;cs+class://System/Windows/Forms/Form;Owner;cs+class://NASA/Plugins/NRLWeatherLoader/Load
True;MethodCall;cs+class://WorldWind/CMPlugins/OverviewForm/OverviewForm;cs+class://System/Windows/Forms/Form;Owner;cs+class://WorldWind/CMPlugins/OverviewForm/OverviewFormLoader/menuItemClicked
True;MethodCall;cs+class://WorldWind/CMPlugins/OverviewForm/OverviewFormComponent;cs+class://System/Windows/Forms/Control;Dock;cs+class://WorldWind/CMPlugins/OverviewForm/OverviewForm/(field initializer)
True;MethodCall;cs+class://WorldWind/CMPlugins/OverviewForm/OverviewFormComponent;cs+class://System/Windows/Forms/Control;Parent;cs+class://WorldWind/CMPlugins/OverviewForm/OverviewForm/(field initializer)
True;MethodCall;cs+class://WorldWind/PlaceFinder;cs+class://System/Windows/Forms/Form;Closing;cs+class://WorldWind/PlaceFinderLoader/Load
True;MethodCall;cs+class://WorldWind/PlaceFinder;cs+class://System/Windows/Forms/Form;Owner;cs+class://WorldWind/PlaceFinderLoader/Load
False;MethodCall;cs+class://WorldWind/FavoritesSettings;cs+class://WorldWind/PlaceListSettings;Load;cs+class://WorldWind/GotoDialog/GotoDialog_Load
True;FieldAccess;cs+class://WorldWind/FavoritesSettings;cs+class://WorldWind/PlaceListSettings;places;cs+class://WorldWind/GotoDialog/GotoDialog_Load
