type;from;to;direct;marker;constants;systemType
CC;cs+class://WorldWind/AboutDialog;cs+class://System/Windows/Forms/Form;True;False;False;False
CC;cs+class://Mashi/Stereo/AnaglyphStereo;cs+class://WorldWind/PluginEngine/Plugin;True;False;False;True
CC;cs+class://Mashi/Stereo/StereoLayer;cs+class://WorldWind/Renderable/RenderableObject;True;False;False;True
CC;cs+class://WorldWind/AnimatedEarthManager;cs+class://System/Windows/Forms/Form;True;False;False;False
CC;cs+class://Atmosphere/Plugin/Atmosphere;cs+class://WorldWind/PluginEngine/Plugin;True;False;False;True
CC;cs+class://Atmosphere/Plugin/AtmosphereLayer;cs+class://WorldWind/Renderable/RenderableObject;True;False;False;True
CC;cs+class://Atmosphere/Plugin/AtmosphereLayer/propertiesDialog;cs+class://System/Windows/Forms/Form;True;False;False;False
CC;cs+class://NASA/Plugins/BMNG;cs+class://System/Windows/Forms/Form;True;False;False;False
CC;cs+class://NASA/Plugins/BmngLoader;cs+class://WorldWind/PluginEngine/Plugin;True;False;False;True
CC;cs+class://NASA/Plugins/BmngAboutDialog;cs+class://System/Windows/Forms/Form;True;False;False;False
CC;cs+class://NASA/Plugins/Compass3D;cs+class://WorldWind/PluginEngine/Plugin;True;False;False;True
CI;cs+class://NASA/Plugins/Compass3DWidget;cs+interface://WorldWind/NewWidgets/IWidget;True;False;False;True
CC;cs+class://Murris/Plugins/Compass;cs+class://WorldWind/PluginEngine/Plugin;True;False;False;True
CC;cs+class://Murris/Plugins/CompassLayer;cs+class://WorldWind/Renderable/RenderableObject;True;False;False;True
CC;cs+class://Murris/Plugins/CompassLayer/propertiesDialog;cs+class://System/Windows/Forms/Form;True;False;False;False
CC;cs+class://WorldWind/DynamicCloudLayer;cs+class://WorldWind/Renderable/RenderableObject;True;False;False;True
CC;cs+class://WorldWind/DynamicClouds;cs+class://WorldWind/PluginEngine/Plugin;True;False;False;True
CC;cs+class://WorldWind/CMPlugins/ExternalLayerManager/ExternalLayerManager;cs+class://System/Windows/Forms/Form;True;False;False;False
CC;cs+class://WorldWind/CMPlugins/ExternalLayerManager/ExternalLayerManagerLoader;cs+class://WorldWind/PluginEngine/Plugin;True;False;False;True
CC;cs+class://WorldWind/FileLoader;cs+class://System/Windows/Forms/Form;True;False;False;False
