direct?;source;from;to;from declaration;to declaration
True;MethodCall;cs+class://WorldWind/AboutDialog;cs+class://System/Windows/Forms/Form;AutoScaleBaseSize;cs+class://WorldWind/AboutDialog/InitializeComponent
True;MethodCall;cs+class://WorldWind/AboutDialog;cs+class://System/Windows/Forms/Form;BackColor;cs+class://WorldWind/AboutDialog/InitializeComponent
True;MethodCall;cs+class://WorldWind/AboutDialog;cs+class://System/Windows/Forms/Form;ClientSize;cs+class://WorldWind/AboutDialog/InitializeComponent
True;MethodCall;cs+class://WorldWind/AboutDialog;cs+class://System/Windows/Forms/Form;FormBorderStyle;cs+class://WorldWind/AboutDialog/InitializeComponent
True;MethodCall;cs+class://WorldWind/AboutDialog;cs+class://System/Windows/Forms/Form;KeyPreview;cs+class://WorldWind/AboutDialog/InitializeComponent
True;MethodCall;cs+class://WorldWind/AboutDialog;cs+class://System/Windows/Forms/Form;MaximizeBox;cs+class://WorldWind/AboutDialog/InitializeComponent
True;MethodCall;cs+class://WorldWind/AboutDialog;cs+class://System/Windows/Forms/Form;MinimizeBox;cs+class://WorldWind/AboutDialog/InitializeComponent
True;MethodCall;cs+class://WorldWind/AboutDialog;cs+class://System/Windows/Forms/Form;ShowInTaskbar;cs+class://WorldWind/AboutDialog/InitializeComponent
True;MethodCall;cs+class://WorldWind/AboutDialog;cs+class://System/Windows/Forms/Form;Text;cs+class://WorldWind/AboutDialog/InitializeComponent
True;MethodCall;cs+class://WorldWind/AboutDialog;cs+class://System/Windows/Forms/Form;Close;cs+class://WorldWind/AboutDialog/OnKeyUp
True;MethodCall;cs+class://WorldWind/AboutDialog;cs+class://System/Windows/Forms/Form;Close;cs+class://WorldWind/AboutDialog/OnKeyUp
True;MethodCall;cs+class://WorldWind/AboutDialog;cs+class://System/Windows/Forms/Form;Owner;cs+class://WorldWind/AboutDialog/pictureBox_Click
True;MethodCall;cs+class://WorldWind/AboutDialog;cs+class://System/Windows/Forms/Form;Owner;cs+class://WorldWind/AboutDialog/button1_Click
True;MethodCall;cs+class://Mashi/Stereo/StereoLayer;cs+class://WorldWind/Renderable/RenderableObject;RenderPriority;cs+class://Mashi/Stereo/StereoLayer/(field initializer)
True;MethodCall;cs+class://Mashi/Stereo/StereoLayer;cs+class://WorldWind/Renderable/RenderableObject;Opacity;cs+class://Mashi/Stereo/StereoLayer/(field initializer)
True;MethodCall;cs+class://Mashi/Stereo/StereoLayer;cs+class://WorldWind/Renderable/RenderableObject;Opacity;cs+class://Mashi/Stereo/StereoLayer/(field initializer)
