Field guide:
#;alphabetical numbering per study
Domain;Categorization of the system
PVar;Proportion of 'var' keyword usage
Type;Replication study or data from original study
Language;C# or Java
Name;System name
Remaining fields;See https://www.cs.auckland.ac.nz/~ewan/qualitas/studies/inheritance/docs.html#Metrics
#;Domain;Pvar;Type;Language;Name;nExplicitCC;nCCUsed;pCCUsed;nCCDC;pCCDC;nCCSubtype;pCCSubtype;nCCExreuseNoSubtype;pCCExreuseNoSubtype;nCCUsedOnlyInRe;pCCUsedOnlyInRe;nCCUnexplSuper;pCCUnexplSuper;nCCUnexplCategory;pCCUnexplCategory;nCCUnknown;pCCUnknown;nExplicitCI;nOnlyCISubtype;pOnlyCISubtype;nExplainedCI;pExplainedCI;nCategoryExplCI;pCategoryExplCI;nUnexplainedCI;pUnexplainedCI;nExplicitII;nIISubtype;pIISubtype;nOnlyIIReuse;pOnlyIIReuse;nExplainedII;pExplainedII;nCategoryExplII;pCategoryExplII;nUnexplainedII;pUnexplainedII
1;SDK;0,070894338;Replication Study;C#;Accord.NET;175;161;0,92;95;0,542857;97;0,602484;48;0,298136;16;0,099378;5;0,028571;0;0;0;0;309;72;0,233009;16;0,051779;61;0,197411;160;0,517799;24;3;0,125;4;0,166666;6;0,25;0;0;11;0,458333
2;SDK;0;Replication Study;C#;AForge.NET;150;51;0,34;110;0,733333;15;0,294117;2;0,039215;34;0,666666;16;0,106666;0;0;0;0;112;31;0,276785;0;0;10;0,089285;71;0,633928;1;0;0;0;0;0;0;0;0;1;1
3;middleware;0,159421417;Replication Study;C#;ASP.NET;1140;916;0,803508;203;0,17807;672;0,733624;55;0,060043;189;0,206331;35;0,030701;46;0,04035;66;0,057894;510;294;0,57647;19;0,037254;119;0,233333;78;0,152941;14;13;0,928571;0;0;0;0;1;0,071428;0;0
4;tool/other;0,894795436;Replication Study;C#;Autofac;149;84;0,563758;48;0,322147;61;0,72619;5;0,059523;18;0,214285;3;0,020134;2;0,013422;25;0,167785;222;65;0,292792;74;0,333333;17;0,076576;66;0,297297;11;3;0,272727;1;0,090909;5;0,454545;2;0,181818;0;0
5;testing;0,818056513;Replication Study;C#;AutoFixture;21;14;0,666666;6;0,285714;14;1;0;0;0;0;0;0;0;0;7;0,333333;139;72;0,517985;2;0,014388;64;0,460431;1;0,007194;6;6;1;0;0;0;0;0;0;0;0
6;middleware;0,72270364;Replication Study;C#;AutoMapper;438;85;0,194063;9;0,020547;41;0,482352;17;0,2;27;0,317647;8;0,018264;28;0,063926;74;0,168949;151;61;0,403973;4;0,02649;47;0,311258;39;0,258278;18;5;0,277777;5;0,277777;2;0,111111;3;0,166666;3;0,166666
7;3D/graphics/media;0,637685741;Replication Study;C#;Axiom;593;581;0,979763;261;0,440134;518;0,891566;23;0,039586;40;0,068846;0;0;0;0;1;0,001686;288;69;0,239583;2;0,006944;7;0,024305;210;0,729166;1;0;0;0;0;0;0;0;0;1;1
8;3D/graphics/media;0,235526576;Replication Study;C#;Banshee;359;327;0,910863;98;0,27298;203;0,620795;25;0,076452;99;0,302752;17;0,047353;1;0,002785;6;0,016713;255;83;0,32549;35;0,137254;58;0,22745;79;0,309803;28;20;0,714285;1;0,035714;1;0,035714;6;0,214285;0;0
9;middleware;0,773166766;Replication Study;C#;BLToolkit.2012;909;723;0,795379;183;0,20132;532;0,735822;23;0,031811;168;0,232365;10;0,011001;47;0,051705;64;0,070407;272;152;0,558823;10;0,036764;9;0,033088;101;0,371323;24;14;0,583333;2;0,083333;0;0;0;0;8;0,333333
10;programming language;0,352645245;Replication Study;C#;Boo-VS2010;448;410;0,915178;182;0,40625;311;0,758536;5;0,012195;94;0,229268;9;0,020089;1;0,002232;23;0,051339;165;87;0,527272;0;0;29;0,175757;49;0,296969;62;46;0,741935;2;0,032258;0;0;2;0,032258;12;0,193548
11;tool/other;0,407228302;Replication Study;C#;BugNET;217;201;0,926267;38;0,175115;177;0,880597;0;0;24;0,119402;0;0;4;0,018433;12;0,055299;72;11;0,152777;0;0;0;0;61;0,847222;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
12;SDK;0,891017964;Replication Study;C#;Caliburn;149;109;0,731543;72;0,483221;69;0,633027;2;0,018348;38;0,348623;0;0;0;0;15;0,100671;131;69;0,526717;6;0,045801;14;0,10687;42;0,32061;33;12;0,363636;1;0,030303;4;0,121212;4;0,121212;12;0,363636
13;tool/other;0,766120507;Replication Study;C#;Castle.Core;286;222;0,776223;59;0,206293;129;0,581081;1;0,004504;92;0,414414;2;0,006993;5;0,017482;33;0,115384;271;128;0,472324;19;0,07011;40;0,147601;84;0,309963;112;26;0,232142;15;0,133928;25;0,223214;18;0,160714;28;0,25
14;tool/other;0,90407855;Replication Study;C#;Castle.Windsor;426;225;0,528169;114;0,267605;134;0,595555;11;0,048888;80;0,355555;17;0,039906;12;0,028169;107;0,251173;489;191;0,390593;98;0,200408;60;0,122699;140;0,286298;51;14;0,274509;0;0;9;0,17647;5;0,098039;23;0,45098
15;parsers/generators/make;0,337202252;Replication Study;C#;CruiseControl.NET;375;308;0,821333;93;0,248;217;0,704545;7;0,022727;84;0,272727;6;0,016;44;0,117333;5;0,013333;450;234;0,52;23;0,051111;95;0,211111;98;0,217777;15;6;0,4;2;0,133333;0;0;4;0,266666;3;0,2
16;SDK;0,45796309;Replication Study;C#;csla.all;91;76;0,835164;33;0,362637;54;0,710526;1;0,013157;21;0,276315;8;0,087912;1;0,010989;2;0,021978;152;64;0,421052;44;0,289473;22;0,144736;22;0,144736;71;27;0,380281;3;0,042253;12;0,169014;13;0,183098;16;0,225352
17;Persistence Object Mapper;0,599705305;Replication Study;C#;Dapper - VS2012;12;12;1;1;0,083333;6;0,5;3;0,25;3;0,25;0;0;0;0;0;0;18;10;0,555555;0;0;7;0,388888;1;0,055555;1;0;0;0;0;0;0;1;1;0;0
18;tool/other;0,001912777;Replication Study;C#;dashCommerce-VS2011;243;185;0,761316;0;0;69;0,372972;13;0,07027;103;0,556756;0;0;4;0,01646;52;0,213991;10;2;0,2;0;0;2;0,2;6;0,6;1;1;1;0;0;0;0;0;0;0;0
19;database;0,0281948;Replication Study;C#;Db4o-2010;1705;1517;0,889736;777;0,455718;1043;0,687541;11;0,007251;463;0,305207;29;0,017008;6;0,003519;41;0,024046;1870;1158;0,619251;387;0,206951;140;0,074866;185;0,09893;123;65;0,528455;5;0,04065;29;0,235772;9;0,07317;15;0,121951
20;tool/other;0;Replication Study;C#;DotNetKicks;164;126;0,768292;1;0,006097;31;0,246031;2;0,015873;93;0,738095;0;0;0;0;15;0,091463;1;1;1;0;0;0;0;0;0;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
